Строка поиска	Translation
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	Qoşulmaq üçün adı ilə <%1> redaktə port əlaqə göstərilən limanı artıq bir cədvəldə əlaqələri.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	Üçün cari mobil masa <%1> cari dəyəri bərabərdir <%2>, gözləyirdik <%3>
Для шага <%1> не найден EPF файл.	Üçün addım <%1> tapılmadı EPF fayl.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	Maddə üçün forma %1 cari dəyəri bərabərdir <%2>, gözləyirdik <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	Üçün mobil <%1> masa <%2> cari dəyəri bərabərdir <%3> isə gözləyirdik <%4>
Добавил шаг: %1	Əlavə edib addım: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Verilməlidir ən azı 1 sətir
Должна оставаться строка подключения текущего клиента	Qalmaq və simli əlaqə cari müştəri
Должно быть передано 2 строки	Gərək verilə 2 satır
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Kənar olmalıdır, ən azı 2 satır. İlk sırada adları ilə sütun, ikinci və aşağıdakı məlumatları yoxlamaq üçün.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	Dolu obyekt.Adını %1 Növü %2
Загрузил новую версию	Yükledim yeni versiyası
Загрузил снипеты из кеш	Yükledim снипеты biri кеш
Закладка с заголовком <%1> не найдена.	Bookmark ilə başlığı <%1> tapılmadı.
Закладка с именем <%1> не найдена.	Əlfəcin adı ilə <%1> tapılmadı.
Закончились фичи. Не стал назначать раннеру фичу.	Bitdi фичи. Oldu təyin раннеру фичу.
Закрытие TestClient <%1>	Bağlama TestClient <%1>
Записал файл статуса билда: %1	Qeyd fayl statusu билда: %1
Записался корректный элемент.	İsə elə düzgün tərcüməsinə element.
Записываю %1	Yazmaq %1
Запись действий пользователя закончена.	Giriş istifadəçi tədbirlər başa çatıb.
Запись действий пользователя начата.	Qeyd fəaliyyət istifadəçi başlanmışdır.
Запись действий пользователя приостановлена.	Qeyd fəaliyyət istifadəçi dayandırılıb.
Запись действий пользователя продолжена.	Giriş istifadəçi tədbirlər davam edir.
Запускаю генерацию epf.	Başlamaq nəsil epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Dəyəri (%1) dolu və gözlənilirdi незаполненность %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Dəyəri (%1) dolu və gözlənilirdi заполненность%2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	Əhəmiyyəti [%1:%2]. Gözləyirdik <%3> isə var <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	Dəyəri <%1> və ya daha çox bərabərdir, daha <%2>, gözlənilən azdır. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	Dəyəri <%1> çoxdur <%2>, gözlənilən daha az və ya bərabərdir. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	Əhəmiyyət aktiv %1: gözləyirdik <%2>, var <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	Əhəmiyyət aktiv %1: gözləyirdik подстроку <%2>, <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	Seçim dəyər таймаута gözləmə olmalıdır sayı. Verilmiş dəyəri: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	ЗначениеНеНайдено: Rekvizit <%1>: Axtarırdılar əhəmiyyət <%2>, amma tapmadı.
Изменения формы обработаны.	Dəyişiklik formalarını emal.
Изменилось имя формы: было: %1, стало: %2	Dəyişib adı formaları: idi: %1 oldu: %2
имеет длину	var uzunluğu
имеет тип	növü var
Именованная область %1 не найдена;	Именованная sahəsi %1 tapılmadı
ИмяКомпьютера <%1>; порт <%2>	ИмяКомпьютера <%1>
ИмяПроцедуры	ИмяПроцедуры
ИмяФайла	ИмяФайла
Искали в %1 подстроку %2, но не нашли.%3	Axtarış %1 подстроку %2, amma tapmadı.%3
Исключение для просмотра значения.	İstisna keçirmək üçün əhəmiyyətli.
Ищу снипеты в каталоге	Axtarıram снипеты kataloq
Ищу сценарии в каталоге	Axtarıram ssenarilər kataloq
Каталог <%1> не найден.	Kataloq <%1> tapılmadı.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Kataloq ЗаписьВидеоКаталогДляВременныхФайлов <%1> yoxdur.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Kataloq ЗаписьВидеоКаталогДляВременныхФайлов <%1> göstərilməsin.
КаталогOutputИнструкцияHTML не задан.	КаталогOutputИнструкцияHTML deyil verilib.
КаталогOutputИнструкцияMarkdown не задан.	КаталогOutputИнструкцияMarkdown deyil verilib.
КаталогOutputСкриншоты не задан.	КаталогOutputСкриншоты deyil verilib.
КаталогДляОбработки=%1	КаталогДляОбработки=%1
Кнопка панели открытых окон <%1> не найдена.	Button bar açıq pəncərə <%1> tapılmadı.
Кнопка панели разделов <%1> не найдена.	Button bar bölmələr <%1> tapılmadı.
Кнопка с именем <%1> не найдена.	Düymə adı ilə <%1> tapılmadı.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	Düymə adı ilə <%1> tapılmadı. ТекущееОкно=%2
кнопка, которую требуется нажать	düymə ki, tələb basın
Кнопка/команда с заголовком <%1> не найдена.	Düymə/komandası ilə başlığı <%1> tapılmadı.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Düymə/komandası ilə başlığı <%1> tapılmadı. ТекущееОкно=%2
Количество секунд дял подключения TestClient: %1	Sayı saniyə дял qoşulmaq TestClient: %1
Команда меню <%1> не найдена в панели функций.	Komanda menyu <%1> tapılmadı bar funksiyaları.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	Komanda ОстановитьЗаписьВидео qaytarıb kodu qaytarılması = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	Komanda birləşdirilməsi üzrə mp3 ki, icra edilmir. Файл1=%1, Файл2=%2, Файл3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	Komanda alınması üzrə faylların siyahısını kataloq ki, icra edilmir. Kataloq = %1
Команда системы реализована только под Windows.	Komanda sisteminin icra yalnız Windows altında.
Константа %1 не заполнена.	Daimi %1 doldurulur deyil.
КопироватьФайлКомандаСистемы:%1 команда:%2	КопироватьФайлКомандаСистемы:%1 komanda:%2
между	arasında
меньше	az
меньше или равно	az və ya bərabərdir
Надо сделать перезапуск фреймворка тестирования.	Etmək lazımdır restart çərçivə üzrə test.
Найден активный элемент формы	Aşkar aktiv element formaları
Найден упавший сценарий.	Aşkar упавший ssenari.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	Aşkar forması: ТекстЗаголовка=%1, ИмяФормы=%2. Pəncərə <%3>
Найдено %1 окон.	Aşkar %1 pəncərə.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	Aşkar bir çox sahələri formaları ilə başlığı <%1>. Tövsiyə axtarmaq element adı ilə.
НачатьЗаписьДействийПользователя:%1	НачатьЗаписьДействийПользователя:%1
Нашли строки в таблице <%1>:%2	Aşkar satır cədvəldə <%1>:%2
не	yoxdur
Не верный формат области <%1>. %2	Heç düzgün format sahəsində <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	Mümkün deyil açmaq forma mücərrəd bir obyekt əlavə link
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	Bütün xidmət sütun edilmişdir. Sorğu mütləq olmalıdır sütun %1
не выполнен	yerinə yetirilməmişdir
Не дождались отображения окна TestClient. Таймаут <%1>	Görmədik ekran windows TestClient. Fasilə <%1>
Не задан регистратор для записей регистра %1. Переменная %2	Heç verilib xidmətçi üçün qeydlər reyestrinin %1. Dəyişən %2
Не заполнен служебный параметр КаталогИнструментов.	Heç bir dolu xidməti seçimi КаталогИнструментов.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	Heç məşhur növü parametri ПолучитьПредставлениеПараметраПрипереводе() <%1>
Не использовать	İstifadə
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	Bilmirəm boşaltmaq status ssenarilər, t. k. verilmişdir kataloq və fayl.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	Bilmirəm boşaltmaq status ssenarilər, t. k. kataloq %1 mövcud deyil.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	Bilmirəm сфомировать hesabat Edilmişdir. Yoxdur kataloq çıxarılması üçün hesabat.
Не найден Клиент тестирования для подключения..	Tapılmadı TestClient qoşulmaq üçün.
Не найден активный элемент формы.	Tapılmadı aktiv element formaları.
НЕ найден инструмент по созданию скриншотов.	Tapılmadı alət yaradılması ekran.
Не найден каталог библиотеки: %1	Tapılmadı kataloq kitabxananın: %1
Не найден каталог инструментов: %1	Tapılmadı kataloq alətləri: %1
Не найден лог перегенерации EPF.	Tapılmadı günlük перегенерации EPF.
Не найден макет %1 ошибка: %2	Tapılmadı layout %1 səhv: %2
Не найден перевод для шага <%1>	Tapılmadı tərcümə üçün addım <%1>
Не найден пользователь ИБ по имени <%1>	Tapılmadı istifadəçi İT adı ilə <%1>
Не найден профиль Клиента тестирования <%1>	Tapılmadı profil TestClient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	Tapılmadı fayl yolu JSON. Seçimi: VBParams.
Не найден тип шага <%1>	Tapılmadı növü addım <%1>
Не найден файл <%1>	Faylı tapılmadı <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	Faylı tapılmadı layout <%1> kataloqda layihənin <%2>
Не найден файл после распаковки: %1	Faylı tapılmadı sonra açıldığı: %1
Не найден файл словаря замен. <%1>	Tapılmadı lüğət fayl dəyişdirmə. <%1>
Не найден файл служебной базы. <%1>	Faylı tapılmadı xidməti bazası. <%1>
Не найден файл толстого клиента <%1>	Faylı tapılmadı tolstoyun müştəri <%1>
Не найден элемент дерева по данным поиска	Tapılmadı ağac maddə məlumatına görə axtarış
Не найден элемент Статистика на форме VB.	Tapılmadı element Statistika şəkildə VB.
Не найден эталон макета <%1>. Пустой каталог проекта.	Tapılmadı plitələrin layout <%1>. Boş kataloq layihəsinin.
Не найдена активная форма.	Tapılmadı aktiv forması.
Не найдена группа командного интерфейса <%1>	Tapılmadı qrupu komandan interfeysi <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	Tapılmadı simli cədvəldə ДанныеКлиентовТестирования ilə <Name=müştəri, Bu>
Не найдена строка примеров во вложенной структуре сценария. <%1>	Tapılmadı sıra misallar zamanı investisiya strukturunda ssenari. <%1>
Не найдена строка сценария.	Tapılmadı simli ssenari.
Не найдена таблица для редактирования.	Tapılmadı masa və redaktə etmək üçün.
Не найдена установка VLC.	Tapılmadı quraşdırılması VLC.
Не найдено ключевое слово <%1>  для языка <%2>	Tapılmadı söz <%1> üçün dil <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	Heç bir aşkar nə də bir windows, 1C. Bunu normal ekran.
Не найдено ни одного сообщения пользователю.	Heç bir aşkar nə də bir mesaj istifadəçi.
Не найдено ни одного сценария. Запись видео невозможна.	Tapılmadı, heç bir ssenari. Video çəkmək mümkün deyil.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	Heç bir aşkar nə də bir sıra cədvəldə müştəri test edən содержала <runner>
Не найдено окно VanessaAutomation в раннере %1	Tapılmadı pəncərə VanessaBehavior bu раннере %1
Не найдено окно VanessaAutomation.	Tapılmadı pəncərə VanessaBehavior.
Не найдено окно предупреждения.	Tapılmadı pəncərə xəbərdarlıq.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	Tapılmadı əhəmiyyət rekvizit var спр: ИмяСпр=%1 Adı=%2, Adı=%3, СтроковокПредставление=%4
Не нашел колонку: %1	Tapılmadı sütun: %1
Не нашел профиля TestClient с именем <%1>	Tapılmadı profil TestClient adı ilə <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	Tapılmadı profil TestClient adı ilə <%1>, baxmayaraq ki, o olmalıdır fəal an.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	Tapılmadı profil TestClient adı ilə <%1> etmək üçün onu bağlamaq.
Не нашел путь к 1cv8c.exe: %1	Tapılmadı yol 1cv8c.exe: %1
Не нашли меню функций раздела.	Tapılmadı menyu funksiyaları bölmə.
Не нашли окно с заголовком <%1>	Tapılmadı pəncərə başlığı <%1>
Не нашли панель открытых окон.	Tapılmadı panel açıq pəncərə.
Не нашли панель разделов.	Tapılmadı panel və bölmələr.
Не нашли профиль <%1> в таблице TestClient.	Tapılmadı profil <%1> cədvəldə TestClient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	Tapılmadı profil <%1> тестируемом nüsxədə Vanessa-behavior.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	Tapılmadı rejimi başlamaq <%1>. Ola bilsin ki, müəyyən etmək lazımdır ilə uçurum, məsələn, "Управляемое app"
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	Tapılmadı rejimi başlamaq <%1>. Ola bilsin ki, müəyyən etmək lazımdır ilə uçurum, məsələn, <Управляемое app>
Не нашли таблицу с именем <%1>	Tapılmadı adlı bir masa <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	Tapılmadı element <%1> toplanması isə istəyirdik ki, o kolleksiya.%2
Не обнаружено активное окно.	Aşkar fəal pəncərə.
Не ожиданное значение у переменной ТипСравнения: <%1>	Heç ожиданное əhəmiyyəti var dəyişən ТипСравнения: <%1>
Не описано действие для кнопки <%1>	Təsvir fəaliyyət üçün düymələri <%1>
Не определена фича для выполнения на раннере №0.	Müəyyənləşdirilməyib фича icra раннере №0.
Не передан каталог фич для обработки. Используется %1\features	Heç verilib kataloq фич idarə etmək üçün. İstifadə %1\features
Клиент тестирования не подключен.	Bağlı deyil Testclient.
Не получилось закрыть активное окно. %1	Alınmadı yaxın fəal pəncərə. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	Alınmadı müəyyən fəal pəncərə TestClient Kontekstində.
Не получилось определить активное окно Клиента тестирования.	Alınmadı müəyyən fəal pəncərə TestClient.
Не получилось получить значение таблицы <%1>	Alınmadı dəyəri almaq masa <%1>
Не получилось прочитать параметр запуска.	Alınmadı oxumaq seçimi başlayır.
Не получилось сделать выбор в поле <%1> значения <%2>. %3	Alınmadı seçim etmək sahəsində <%1> dəyərlər <%2>. %3
Не получилось создать тестовый MP3	Alınmadı yaratmaq test MP3
Не реализовано.	Heç keçirilib.
Не смог в таблице <%1> сделать выбрать из списка выбора <%2> по строке <%3>	Bilmədi cədvəldə <%1> etmək siyahıdan seçin seçim <%2> simli <%3>
Не смог выделить все строки в таблице <%1>. %2	Bilmədi ayırmağa bütün simli cədvəldə <%1>. %2
Не смог выполнить команду по получению координат на экране всех окон 1С в панели задач.	Yerinə yetirə bilmədi komanda alınması üzrə koordinat ekranda bütün windows, 1C task bar.
Не смог выполнить команду. <%1>	Yerinə yetirə bilmədi komanda. <%1>
Не смог вычислить выражение: %1	Bilmədi hesablamaq ifadə edir: %1
Не смог загрузить %1. %2	Bilmədi download %1. %2
Не смог загрузить базу из dt: %1. ПутьКDT: %2. Статус возврата: %3	Bilmədi download baza biri dt: %1. ПутьКDT: %2. Statusu geri: %3
Не смог загрузить снипеты из %1	Bilmədi download снипеты həyata %1
Не смог закрыть окно %1	Bilmədi pəncərəni bağlamaq %1
Не смог закрыть окно повторно %1	Bilmədi pəncərəni bağlamaq yenidən %1
Не смог запустить конфигуратор. <%1>	Bilmədi run configurator. <%1>
Не смог из переданных параметров JSON определить каталог отчета Allure.	Bilmədi dən verilən parametrləri JSON müəyyən kataloq hesabat Edilmişdir.
Не смог из переданных параметров JSON определить каталог отчета CucumberJson.	Bilmədi dən verilən parametrləri JSON müəyyən kataloq hesabat CucumberJson.
