Строка поиска	Translation
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	Хүснэгт <%1> мөрөн дээр тоо%2 үнэ цэнийг олж %3, гэхдээ энэ нь биш байсан байх.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	Хүснэгт <%1> олдсон <%2> үнэт зүйлс. Хүлээгдэж буй <%3>. Нэр багана <%4>. Утга нь <%5>
В таблице <%1> не найдено ни одной строки	Хүснэгт <%1> not found any мөр
В таблице <%1> не найдено ячейки с заголовком <%2>	Хүснэгт <%1> not found гар нь толгой нь <%2>
В таблице <%1> не найдены колонки: %2	Хүснэгт <%1> олж чадаагүй багана: %2
В таблице <%1> не получилось активизировать поле <%2>.	Хүснэгт <%1> чадсангүй идэвхжүүлэх талбар <%2>.
В таблице <%1> нет строк для выбора.	Хүснэгт <%1> ямар ч мөр сонгох.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	Хүснэгт <%1> хүлээгдэж байсан <%2> шугам, харин авсан <%3> мөр.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	Хүснэгт <%1> байсан төлөвтэй %2% 3 эгнээ, харин авсан <%4> шугам.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	Хүснэгт <%1> хүлээгдэж байсан авахын тулд илүү <%2> шугам, харин авсан <%3> мөр.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	Хүснэгт <%1> гэж үзэж байна ээс их буюу тэнцүү <%2> шугам, харин авсан <%3> мөр.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	Хүснэгт <%1> хүлээгдэж байсан авч, бага <%2> шугам, харин авсан <%3> мөр.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	Хүснэгт <%1> хүлээгдэж байсан авахын тулд бага буюу тэнцүү <%2> шугам, харин авсан <%3> мөр.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	Хүснэгт <%1> байхгүй байна багана <%2>, Yasna дахь параметрүүдийг.
В таблице <%1> поле с заголовком <%2> не найдено.	Хүснэгт <%1> хээрийн гарчиг <%2> олж чадаагүй.
В таблице <%1> поле с именем <%2> не найдено.	Хүснэгт <%1> хээрийн нэр нь <%2> олж чадаагүй.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	Хүснэгт <%1> талбайд нь <%2> гэж бодож нээх drop-down list, харин хүлээх хэрэггүй.
В таблице не найдена колонка <%1>	Олж чадаагүй хүснэгтэд багана <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	Хүснэгт тохиргоо биш байсан шилжүүлсэн шинэ хувийн нэр. Багана <холболт Нэр>
В таблице подключений уже есть подключение с именем <%1>	Холбогдуулан хүснэгт аль хэдийн холболт нэртэй <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	Д хүснэгтэн бичиг "%1 ' багана, хүлээгдэж %2 багана.
В табличном документе %1 строк, а ожидалось %2 строк.	Хүснэгт баримт бичиг %1 эгнээ харин хүлээгдэж %2 мөр байна.
В табличном документе %1 строк, а ожидалось, что он пустой.	Хүснэгт баримт бичиг %1 эгнээ, , энэ нь хүлээгдэж байсан энэ нь хоосон байна.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	Д хүснэгтэн баримт бичиг багана <%1> утга нийцэхгүй байдал 'үнэ Цэнэ багана %2% 3'. Өнөөгийн үнэ цэнэ багана <%4>. Тоо <%5>, багана <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Д хүснэгтэн баримт бичиг багана <%1> хүлээгдэж байсан <%2>, олсон <%3>. Тоо <%4>, багана <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Д хүснэгтэн баримт бичиг багана <%1> хүлээгдэж байсан гэдгийг тэнд байх болно, үнэ цэнийг <%2>, олсон <%3>. Тоо <%4>, багана <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	Д хүснэгтэн баримт бичиг баганын тоо %1 үнэ цэнэ= <%2> , хүлээгдэж <%3>
В табличном документе колонка <%1> не найдена.	Баримт бичиг хүснэгтэд багана <%1> олж байсан юм.
В файле <%1> нашли строки, а ожидали, что их нет:%2	Файлын <%1> олсон мөр, хүлээгдэж гэж байхгүй:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	Файлын <%1> олж чадаагүй шугам, хүлээгдэж буй зүйлээ авсан:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	Онцлог нь <%1> скрипт <%2> tag олж эс тооцвол <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	Онцлог нь <%1> скрипт <%2> олсон tag зүйлс <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	In order to pass the Gherkin хүснэгт нь 2 буюу түүнээс олон эгнээ.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	Д лавлах хүснэгт байдаг хоер багана нь нэг толгой: %1.
ВерсияVA	ВерсияVA
ВерсияПлатформы	Wereperformed
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Эргэж туг <Идэвхжүүлэх дибаг зурвас> үзнэ үү тушаал мужаас.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Дотоод алдаа. Дутуу бөглөх, мета мод. Ямар ч объект бүрдүүлэх, төрөл - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Дотоод алдаа. Бүрэн бус бүтэц лавлах төрөл - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	Тус багтсан бичиг <%1> шилжүүлсэн <%2> ширээ, энэ нь зөвхөн авдаг <%3> хүснэгт.
Возможно это обработка для обычных форм, а не для управляемых форм.	Магадгүй энэ нь эмчилгээ хэвийн хэлбэр биш чадсан хэлбэр.
Возможно это обработка для управляемых форм, а не для обычных форм.	Магадгүй энэ нь эмчилгээ чадсан хэлбэр биш, харин уламжлалт хэлбэр юм.
Все проверки пройдены.	Бүх шалгалт баталсан.
Вызов метода <%1>: %2	Дуудлага арга <%1>: %2
Выпадающий список <%1> не был сформирован.	Drop-down list <%1> биш байсан нь бий.
Выпадающий список <%1> не открылся для ввода текста.	Drop-down list <%1> биш байсан нээсэн текст оруулах.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	Drop-down list <%1>. Хүлээж байх болно гэж бичвэр %2, got %3.
Выпадающий список с заголовком <%1> не найден.	Drop-down list нэр <%1> олж байсан юм.
Выпадающий список с именем <%1> не найден.	Drop-down list нэр нь <%1> олж байсан юм.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Бичиг гүйцэтгэл нь дууссан. ТЭНД БАЙСАН АЛДАА.
Выполнение сценариев закончено. Ошибок не было.	Бичиг гүйцэтгэл нь дууссан. Ямар ч алдаа.
Выполняю	Гүйцэтгэх
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	Үзэл бодлоо илэрхийлэх <%1> байсан нь тэнцүү <%2>, хүлээгдэж <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Генератор нь зохион байгуулалт бодит мэдээлэл: мэдэхгүй, хэрхэн ажиллах нь энэ төрлийн <%1>
ГолосовойДвижок - OK	Groovadelia - OK
Группа с заголовком <%1> не найдена.	Бүлгийн нэр нь <%1> олж байсан юм.
Группа с именем <%1> не найдена.	Бүлгийн нэр нь <%1> олж байсан юм.
Данные по основному подключению Клиента тестирования перезаполнены.	Мэдээлэл нь гол холболт Testclient peripapillary.
Данный шаг не работает с таблицами.	Энэ алхам нь ажиллахгүй байгаа нь хүснэгт.
ДатаВремяОшибки	Datarelease
Делаю общий скриншот.	Хийх Ерөнхий дэлгэцийн дүрслэлийг.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Хийж дахин эхлүүлэх TESTCLIENT. Opisaniyami=%1
Делаю распаковку %1	Хийх задлах %1
Делаю скриншот.	Дэлгэцийн хийх.
Делаю скриншоты всех окон 1С.	Хийх дэлгэцийн бүх Цонх 1C.
Длительность MP3 = 0. Файл=%1	Хугацаа MP3 = 0 байна. File=%1
Для <%1> не найдено документа основания	Учир нь <%1> not found баримт бичиг Сан
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	Бий болгох EPF суулгасан байх естой 1Script. Д cmd тушаалыг ажиллуулах хэрэгтэй: oscript
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	To connect with нэр нь <%1> өөрчлөгдсөн холболтын порт заасан порт нь аль хэдийн холболт хүснэгт.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	Одоогийн гар хүснэгтэд <%1> одоогийн утга нь <%2>, хүлээгдэж <%3>
Для шага <%1> не найден EPF файл.	Учир нь алхам <%1> олж чадаагүй EPF файл.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	Учир нь хэлбэр элемент %1 нь одоогийн утга нь <%2>, хүлээгдэж <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	Гар <%1> хүснэгт <%2> одоогийн утга нь <%3>, хүлээгдэж <%4>
Добавил шаг: %1	Нэмж алхам: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Баталсан байх естой наад зах нь 1 мөр
Должна оставаться строка подключения текущего клиента	Байх естой холболт мөр одоогийн үйлчлүүлэгч
Должно быть передано 2 строки	Байх естой шилжүүлсэн 2 шугам
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Ирүүлсэн байх естой доод тал нь 2 шугам. Эхний мөрөнд баганын нэр, хоер дахь болон дараах мэдээллийг баталгаажуулах.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	Татаж чадна.Нэр, %1, Төрөл %2
Загрузил новую версию	Зүгээр л татаж авсан шинэ хувилбар
Загрузил снипеты из кеш	Оруулсан хайчилбаруудыг нь кэш
Закладка с заголовком <%1> не найдена.	Tab нь нэр нь <%1> олж байсан юм.
Закладка с именем <%1> не найдена.	Дараа нь нэр нь <%1> олж байсан юм.
Закончились фичи. Не стал назначать раннеру фичу.	Дууссан онцлог. Биш үү томилох the runner онцлог.
Закрытие TestClient <%1>	Хаалтын TestClient <%1>
Записал файл статуса билда: %1	Бүртгэгдсэн байдал файл барих: %1
Записался корректный элемент.	Хүртэл гарын үсэг зурсан зөв зүйл.
Записываю %1	Бичлэг %1
Запись действий пользователя закончена.	Бичлэг хэрэглэгч арга хэмжээ дээр.
Запись действий пользователя начата.	Бичлэг хэрэглэгчийн үйл ажиллагаа нь эхэлсэн.
Запись действий пользователя приостановлена.	Бичлэг нь хэрэглэгчийн үйл ажиллагааг нь түр зогсоосон байна.
Запись действий пользователя продолжена.	Бичлэг хэрэглэгчийн үйл ажиллагааг үргэлжлүүлж байна.
Запускаю генерацию epf.	Эхлэх үе нь epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Үнэ цэнэ (%1) нь дүүрэн, хүлээгдэж буй байр %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Үнэ цэнэ (%1) биш юм дууссан, хүлээгдэж буй гүйцэтгэлийн%2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	Үнэ цэнэ [%1:%2]. Хүлээгдэж <%3>, авсан <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	Утга нь <%1> нь илүү их эсвэл тэнцүү илүү <%2>, мөн хүлээгдэж буй бага. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	Утга нь <%1> илүү <%2>, мөн хүлээгдэж буй бага эсвэл тэнцүү байна. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	Параметрийн утга %1: хүлээгдэж <%2>, авсан <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	Параметрийн утга %1: хүлээгдэж буй substring <%2> <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	Параметр хугацаа байх естой тоо. Өнгөрсөн утга: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	Sachanandani: Тулгуур <%1>: Хайж <%2> олж чадаагүй.
Изменения формы обработаны.	Өөрчлөх хэлбэр эмчилж байна.
Изменилось имя формы: было: %1, стало: %2	Өөрчлөгдсөн нэр, хэлбэр: хуучин: %1 шинэ: %2
имеет длину	урттай байдаг
имеет тип	төрөл
Именованная область %1 не найдена;	Нэг нэртэй газар '%1 ' not found
ИмяКомпьютера <%1>; порт <%2>	ComputerName <%1>
ИмяПроцедуры	Imprecatory
ИмяФайла	Файлын
Искали в %1 подстроку %2, но не нашли.%3	Хайлт %1 substring %2 ч олж чадаагүй.%3
Исключение для просмотра значения.	Журмаас харах үнэ цэнэ.
Ищу снипеты в каталоге	Хайж хайчилбаруудыг санд
Ищу сценарии в каталоге	Хайж скриптүүдийг сан
Каталог <%1> не найден.	Сан <%1> олж байсан юм.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Сан ЗаписьВидеоКаталогДляВременныхФайлов <%1> байхгүй.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Сан ЗаписьВидеоКаталогДляВременныхФайлов <%1> нь тодорхой бус.
КаталогOutputИнструкцияHTML не задан.	КаталогOutputИнструкцияHTML нь тодорхой бус.
КаталогOutputИнструкцияMarkdown не задан.	КаталогOutputИнструкцияMarkdown нь тодорхой бус.
КаталогOutputСкриншоты не задан.	КаталогOutputСкриншоты нь тодорхой бус.
КаталогДляОбработки=%1	Catalogdisplaymode=%1
Кнопка панели открытых окон <%1> не найдена.	Товч самбар нээлттэй Windows - <%1> олж байсан юм.
Кнопка панели разделов <%1> не найдена.	Товч самбар хэсэг нь <%1> олж байсан юм.
Кнопка с именем <%1> не найдена.	Товч нэр нь <%1> олж байсан юм.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	Товч нэр нь <%1> олж байсан юм. Tecomeae=%2
кнопка, которую требуется нажать	товч гэж та хүсэж байна уу
Кнопка/команда с заголовком <%1> не найдена.	Товч/тушаал толгой <%1> олж байсан юм.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Товч/тушаал толгой <%1> олж байсан юм. Tecomeae=%2
Количество секунд дял подключения TestClient: %1	Тоо секунд хүртэл холболт TestClient: %1
Команда меню <%1> не найдена в панели функций.	Цэс тушаал <%1> олдоогүй тохиолдолд функц бар.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	Баг Ostanovitsya эргэж буцах код = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	Баг нэгтгэх mp3 биш юм гүйцэтгэсэн. File1=%1, File2=%2, Файл3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	Тушаал олж авах файлын жагсаалт сан чадахгүй. Сан = %1
Команда системы реализована только под Windows.	Баг систем нь зөвхөн хүрээнд авч хэрэгжүүлэх Цонх.
Константа %1 не заполнена.	Хувьсагчийг %1 биш юм дүүрэн.
КопироватьФайлКомандаСистемы:%1 команда:%2	Copyrightedmaterial:%1 command:%2
между	хооронд
меньше	бага
меньше или равно	- аас бага буюу тэнцүү
Надо сделать перезапуск фреймворка тестирования.	Энэ нь хийх шаардлагатай дахин эхлүүлэх хүрээнд туршилт.
Найден активный элемент формы	Олсон идэвхтэй хэлбэр элемент
Найден упавший сценарий.	Олсон унасан бичиг.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	Олсон хэлбэр: Texttagtable=%1, Formname=%2. Цонхны <%3>
Найдено %1 окон.	Олсон %1 Цонх.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	Олсон илүү нэг хэлбэр бүхий салбарт нэр нь <%1>. Энэ нь санал болгож хайх элементийн нэр.
НачатьЗаписьДействийПользователя:%1	Nachtspeicherheizung:%1
Нашли строки в таблице <%1>:%2	Олсон дараалан хүснэгт <%1>:%2
не	биш
Не верный формат области <%1>. %2	Биш зөв хэлбэр нь бүс нутгийн <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	Энэ нь боломжгүй бол нээх хийсвэр хэлбэр, объект холбоос
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	Биш бүх үйлчилгээ багана тогтоосон. Хүсэлт байх естой багана %1
не выполнен	биш гүйцэтгэсэн
Не дождались отображения окна TestClient. Таймаут <%1>	Биш үү хүлээх цонх дэлгэц TestClient. Хугацааны хувьд <%1>
Не задан регистратор для записей регистра %1. Переменная %2	Тодорхой бус нарийн бичгийн бүртгэл бүртгүүлэх %1. Хувьсагч %2
Не заполнен служебный параметр КаталогИнструментов.	Биш дүүрэн үйлчилгээний параметрийг Catalogentries.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	Тодорхой бус төрлийн сонголт ПолучитьПредставлениеПараметраПрипереводе() <%1>
Не использовать	Хэрэглэж болохгүй
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	Чадахгүй хуулж байдал, бичиг, учир нь энэ нь шилжүүлсэн сан биш, файл.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	Чадахгүй хуулж байдлыг скрипт учир нь directory %1 байхгүй.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	Чадахгүй sformirovat тайлан Зүйлсээр. Ямар ч сан гаралт тайлан.
Не найден Клиент тестирования для подключения..	Олж чадаагүй TestClient холбох.
Не найден активный элемент формы.	Олж чадаагүй идэвхтэй хэлбэр элемент.
НЕ найден инструмент по созданию скриншотов.	Олж ЧАДААГҮЙ хэрэгсэл бий болгох дэлгэцийн.
Не найден каталог библиотеки: %1	Олж чадаагүй номын сан: %1
Не найден каталог инструментов: %1	Олж чадаагүй хэрэгсэл сан: %1
Не найден лог перегенерации EPF.	Олж чадаагүй нэвтрэх EPF нөхөн сэргээх.
Не найден макет %1 ошибка: %2	Олж чадаагүй зохион байгуулалт %1 алдаа: %2
Не найден перевод для шага <%1>	Олж чадаагүй орчуулга алхам <%1>
Не найден пользователь ИБ по имени <%1>	Олж чадаагүй хэрэглэгчийн аюулгүй байдлын нэр нь <%1>
Не найден профиль Клиента тестирования <%1>	Ямар ч хувийн олсон TestClient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	Олж чадаагүй зам, JSON файл. Параметр: VBParams.
Не найден тип шага <%1>	Үгүй олсон алхам төрөл <%1>
Не найден файл <%1>	File not found <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	Олж чадаагүй зохион байгуулалт файл <%1> төслийн сан <%2>
Не найден файл после распаковки: %1	File not found дараа задлах: %1
Не найден файл словаря замен. <%1>	Олж чадаагүй толь файл орлогч. <%1>
Не найден файл служебной базы. <%1>	File not found үйлчилгээний суурь. <%1>
Не найден файл толстого клиента <%1>	File not found өөх үйлчлүүлэгч <%1>
Не найден элемент дерева по данным поиска	Олж чадаагүй элемент мод дагуу хайлт
Не найден элемент Статистика на форме VB.	Элемент олж чадаагүй Статистик дээр VB хэлбэр юм.
Не найден эталон макета <%1>. Пустой каталог проекта.	Олж чадаагүй стандарт зохион байгуулалт <%1>. Хоосон сан төсөл.
Не найдена активная форма.	Олж чадаагүй идэвхтэй хэлбэр юм.
Не найдена группа командного интерфейса <%1>	Бүлгийн олж чадаагүй тушаал интерфэйс <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	Ямар ч мөр олджээ хүснэгт Danielandamari нь <Нэр=үйлчлүүлэгч>
Не найдена строка примеров во вложенной структуре сценария. <%1>	Олж чадаагүй нэг мөр жишээ нь багтсан бүтэц бичиг. <%1>
Не найдена строка сценария.	Олж чадаагүй бичиг шугам.
Не найдена таблица для редактирования.	Олж чадаагүй хүснэгт засварлах.
Не найдена установка VLC.	Олж чадаагүй суулгах НСВК.
Не найдено ключевое слово <%1>  для языка <%2>	Олж чадаагүй <%1> хэл <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	Хэзээ ч олж цонх 1C. Хийх нь хэвийн дэлгэцийн дүрслэлийг.
Не найдено ни одного сообщения пользователю.	Not found any message to the user.
Не найдено ни одного сценария. Запись видео невозможна.	Биш нэг хувилбар байна. Видео бичлэг хийх боломжгүй.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	Олж чадаагүй ямар нэг эгнээ хэрэглэгчийн хүснэгт туршилтын болох агуулсан <runner>
Не найдено окно VanessaAutomation в раннере %1	Олж чадаагүй цонх VanessaBehavior тулд runner %1
Не найдено окно VanessaAutomation.	Олж чадаагүй цонх VanessaBehavior.
Не найдено окно предупреждения.	Олж чадаагүй анхааруулах цонх.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	Олж чадаагүй шаардлагатай утга SPR: Kaspr=%1 Name=%2, Нэр=%3, Stratovista=%4
Не нашел колонку: %1	Олж чадаагүй багана: %1
Не нашел профиля TestClient с именем <%1>	Олж чадаагүй TestClient хувийн нэр нь <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	Олж чадаагүй TestClient хувийн нэр нь <%1> хэдий ч энэ нь шаардлагатай үед идэвхтэй мөч.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	Олж чадаагүй TestClient хувийн нэр нь <%1> хаах юм.
Не нашел путь к 1cv8c.exe: %1	Олж чадаагүй зам 1cv8c.exe: %1
Не нашли меню функций раздела.	Олсон цэс үйл ажиллагаа хэсэг.
Не нашли окно с заголовком <%1>	Олж чадаагүй цонх нь гарчиг <%1>
Не нашли панель открытых окон.	Олж чадаагүй бар замаар нээлттэй Цонх.
Не нашли панель разделов.	Олж чадаагүй бүрэлдэхүүн хэсэг.
Не нашли профиль <%1> в таблице TestClient.	Олж чадаагүй хувийн <%1> хүснэгт TestClient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	Олж чадаагүй хувийн <%1> туршсан жишээ нь Vanessa-зан.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	Олж чадаагүй эхлүүлэх горим <%1>. You may need to specify a space, жишээ нь, "Чадсан програм"
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	Олж чадаагүй эхлүүлэх горим <%1>. You may need to specify a space, жишээ нь, <Чадсан програм>
Не нашли таблицу с именем <%1>	Олж чадаагүй хүснэгт нь нэр нь <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	Олж чадаагүй <%1> цуглуулах, хүссэн энэ загварын цуглуулга.%2
Не обнаружено активное окно.	Олж чадаагүй идэвхтэй цонх.
Не ожиданное значение у переменной ТипСравнения: <%1>	Биш хүлээгдэж буй утга хувьсах Tipirovaniya: <%1>
Не описано действие для кнопки <%1>	Биш тайлбарласан үйл ажиллагааны товч <%1>
Не определена фича для выполнения на раннере №0.	Тодорхой бус байх боломжийг run дээр гүйгч № 0.
Не передан каталог фич для обработки. Используется %1\features	Шилжүүлж байгаа нь онцлог боловсруулах. Ашиглан %1\онцлог
Клиент тестирования не подключен.	Холбогдоогүй Testclient.
Не получилось закрыть активное окно. %1	Чадаагүй ойр идэвхтэй цонх. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	Чадахгүй тодорхойлох идэвхтэй цонхны TestClient Хам сэдвээс.
Не получилось определить активное окно Клиента тестирования.	Чадахгүй тодорхойлох идэвхтэй цонхны TestClient.
Не получилось получить значение таблицы <%1>	Чадаагүй авах утга нь хүснэгт <%1>
Не получилось прочитать параметр запуска.	Чадаагүй уншиж эхлүүлэх параметр.
