Строка поиска	Translation
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	În tabelul <%1> de așteptat pentru a obține <%2> rânduri, și a primit <%3> rânduri.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	În tabelul <%1> de așteptat pentru a obține %2 %3 rânduri, și a primit <%4> de linii.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	În tabelul <%1> de așteptat pentru a obține mai mult <%2> rânduri, și a primit <%3> rânduri.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	În tabelul <%1> de așteptat pentru a obține mai mare sau egal cu <%2> rânduri, și a primit <%3> rânduri.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	În tabelul <%1> de așteptat pentru a obține mai puțin de <%2> rânduri, și a primit <%3> rânduri.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	În tabelul <%1> de așteptat pentru a obține mai mic sau egal cu <%2> rânduri, și a primit <%3> rânduri.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	În tabelul <%1> lipsește coloana <%2>, указанная în setările.
В таблице <%1> поле с заголовком <%2> не найдено.	În tabelul <%1> caseta cu titlul <%2> nu a fost găsit.
В таблице <%1> поле с именем <%2> не найдено.	În tabelul <%1> câmpul cu numele <%2> nu a fost găsit.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	În tabelul <%1> u câmp <%2> așteptat a deschide lista drop-down, dar nu a mai venit.
В таблице не найдена колонка <%1>	În tabel nu a fost găsit coloana <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	În tabelul de parametri nu a fost transmis numele noului profil. Coloana <Nume conexiune>
В таблице подключений уже есть подключение с именем <%1>	În tabelul de conexiuni deja o conexiune cu numele <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	În documentul tabelar %1 coloane, și era de așteptat %2 coloane.
В табличном документе %1 строк, а ожидалось %2 строк.	În documentul tabelar %1 rânduri, și era de așteptat %2 rânduri.
В табличном документе %1 строк, а ожидалось, что он пустой.	În documentul tabelar %1 rânduri, și era de așteptat ca el gol.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	În documentul tabelar în coloana <%1> valoarea nu este o condiție "Valoarea în coloana %2 %3'. Valoarea curentă a coloanei <%4>. O serie de <%5>, coloana <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	În documentul tabelar în coloana <%1> așteptat valoarea <%2>, și-au găsit <%3>. O serie de <%4>, coloana <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	În documentul tabelar în coloana <%1> așteptat că nu va fi valori <%2>, și-au găsit <%3>. O serie de <%4>, coloana <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	În documentul tabelar în coloana nr%1 valoare= <%2> și era de așteptat <%3>
В табличном документе колонка <%1> не найдена.	În documentul tabelar coloana <%1> nu a fost găsit.
В файле <%1> нашли строки, а ожидали, что их нет:%2	În fișierul <%1> a găsit de comandă, și de așteptat, că lor nu:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	În fișierul <%1> nu a fost găsit de comandă, și de așteptat, că sunt acolo:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	În фиче <%1> script <%2> a fost găsit tag-ul excepție <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	În фиче <%1> script <%2> a fost găsit tag-ul de selecție <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	În pas necesar pentru a transmite un tabel Gherkin, în care 2 sau mai multe rânduri.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	De referință în tabel există două coloane cu același titlu: %1
ВерсияVA	ВерсияVA
ВерсияПлатформы	ВерсияПлатформы
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Porniți pavilion <Activați mesajele de depanare> pentru a vedea efectuate de echipa.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Interna eroare. Umplerea incompletă a lemnului de metadate. Lipsește un obiect, formând tip - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Interna eroare. Umplerea incompletă a structurii de tipuri de referință - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	În script-ul atașat <%1> a fost transferat <%2> tabele, și este nevoie de doar <%3> tabele.
Возможно это обработка для обычных форм, а не для управляемых форм.	Este posibil acest lucru pentru prelucrarea formelor convenționale, și nu pentru gestionate de forme.
Возможно это обработка для управляемых форм, а не для обычных форм.	Aceasta este posibil de prelucrare pentru gestionate de forme, nu de forme regulate.
Все проверки пройдены.	Toate verificările complete.
Вызов метода <%1>: %2	Apelul metodei <%1>: %2
Выпадающий список <%1> не был сформирован.	O listă derulantă <%1> nu a fost format.
Выпадающий список <%1> не открылся для ввода текста.	O listă derulantă <%1> nu s-a deschis pentru a introduce text.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	O listă derulantă <%1>. Se așteaptă că în ea va fi un text de 2%, și a primit %3.
Выпадающий список с заголовком <%1> не найден.	O listă verticală cu titlul <%1> nu a fost găsit.
Выпадающий список с именем <%1> не найден.	O listă verticală cu numele <%1> nu a fost găsit.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Executarea scripturilor terminat. AU FOST ERORI.
Выполнение сценариев закончено. Ошибок не было.	Executarea scripturilor terminat. Erori nu a fost.
Выполняю	Fac
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	Expresia <%1> s-a dovedit egal cu <%2>, iar așteptat <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Generator de aspect de la date reale: Nu pot ocupa acest tip de <%1>
ГолосовойДвижок - OK	ГолосовойДвижок - OK
Группа с заголовком <%1> не найдена.	Grupa cu titlul <%1> nu a fost găsit.
Группа с именем <%1> не найдена.	Un grup cu numele <%1> nu a fost găsit.
Данные по основному подключению Клиента тестирования перезаполнены.	Datele de bază conectarea Testclient перезаполнены.
Данный шаг не работает с таблицами.	Acest pas nu este de lucru cu tabele.
ДатаВремяОшибки	ДатаВремяОшибки
Делаю общий скриншот.	Fac total captură de ecran.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Fac restart TESTCLIENT. ОписаниеОшибки=%1
Делаю распаковку %1	Fac despachetarea %1
Делаю скриншот.	Fac screenshot.
Делаю скриншоты всех окон 1С.	Fac capturi de ecran pentru toate ferestrele de 1C.
Длительность MP3 = 0. Файл=%1	Durata MP3 = 0. File=%1
Для <%1> не найдено документа основания	Pentru <%1> nu a fost găsit documentul de baza
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	Pentru a genera EPF trebuie să fie instalat 1Script. În cmd, trebuie să se execute comanda: oscript
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	Pentru a vă conecta cu numele de <%1> schimbat portul, portul specificat deja în tabelul de conexiuni.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	Pentru a memora o celulă de tabel <%1> valoarea actuală este egală cu <%2>, iar așteptat <%3>
Для шага <%1> не найден EPF файл.	Pentru pasul <%1> nu a fost găsit EPF fișier.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	Pentru un element de forma %1 valoare curentă este <%2>, iar așteptat <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	Pentru celula <%1> tabel <%2> valoarea actuală este egală cu <%3>, iar așteptat <%4>
Добавил шаг: %1	A adăugat pas: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Trebuie să fi trecut cel puțin 1 linie
Должна оставаться строка подключения текущего клиента	Trebuie să rămână un șir de conexiune curent al clientului
Должно быть передано 2 строки	Ar trebui să fie transferate 2 linii
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Ar trebui să fie transmise cel puțin 2 rânduri. Prima linie cu nume de coloane, a doua și următoarele date pentru verificare.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	Încărcat obiect.Numele De %1, Tip %2
Загрузил новую версию	Încărcat o nouă versiune a
Загрузил снипеты из кеш	Încărcat снипеты din cache-ul
Закладка с заголовком <%1> не найдена.	Semn de carte cu titlul <%1> nu a fost găsit.
Закладка с именем <%1> не найдена.	Semn de carte cu numele <%1> nu a fost găsit.
Закончились фичи. Не стал назначать раннеру фичу.	S-au terminat фичи. Nu a desemna раннеру фичу.
Закрытие TestClient <%1>	Închiderea TestClient <%1>
Записал файл статуса билда: %1	A înregistrat fișierul statutul билда: %1
Записался корректный элемент.	S-a înscris corect element.
Записываю %1	Scrie %1
Запись действий пользователя закончена.	Înregistrarea acțiunilor de utilizator s-a terminat.
Запись действий пользователя начата.	Înregistrarea acțiunilor utilizatorului început.
Запись действий пользователя приостановлена.	Înregistrarea acțiunilor de utilizator suspendat.
Запись действий пользователя продолжена.	Înregistrarea acțiunilor utilizatorului continua.
Запускаю генерацию epf.	Alerga generarea epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Valoarea (%1) completată și a fost așteptată незаполненность %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Valoarea (%1) nu este completat, și a fost așteptată gradul de ocupare%2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	Valoarea [%1:%2]. Așteptat <%3>, a primit <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	Valoarea <%1> mai mare sau egal decât <%2>, și se aștepta mai puțin. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	Valoarea <%1> mai mare decât <%2> și era de așteptat mai mic sau egal cu. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	Valoarea parametrului %1: așteaptă <%2>, primit <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	Valoarea parametrului %1: așteaptă un subșir <%2>, în <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	Setarea timpului de expirare așteptare ar trebui să fie un număr. Transmis de valoare: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	ЗначениеНеНайдено: elemente de Recuzită <%1>: Cautat valoare <%2>, dar nu a găsit.
Изменения формы обработаны.	Modificări de formă prelucrate.
Изменилось имя формы: было: %1, стало: %2	S-a schimbat numele de forma: a: %1, a: %2
имеет длину	are o lungime de
имеет тип	are un tip de
Именованная область %1 не найдена;	Именованная domeniu %1 nu a fost găsit
ИмяКомпьютера <%1>; порт <%2>	Numecomputer <%1>
ИмяПроцедуры	Procedurename.
ИмяФайла	ИмяФайла
Искали в %1 подстроку %2, но не нашли.%3	Au căutat în %1 subșir %2, dar nu a găsit.%3
Исключение для просмотра значения.	O excepție pentru a vedea valoarea.
Ищу снипеты в каталоге	Caut снипеты în directorul
Ищу сценарии в каталоге	Caut script-uri în directorul
Каталог <%1> не найден.	Directorul <%1> nu a fost găsit.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Directorul ЗаписьВидеоКаталогДляВременныхФайлов <%1> nu există.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Directorul ЗаписьВидеоКаталогДляВременныхФайлов <%1> nu este specificat.
КаталогOutputИнструкцияHTML не задан.	КаталогOutputИнструкцияHTML nu este configurat.
КаталогOutputИнструкцияMarkdown не задан.	КаталогOutputИнструкцияMarkdown nu este configurat.
КаталогOutputСкриншоты не задан.	КаталогOutputСкриншоты nu este configurat.
КаталогДляОбработки=%1	КаталогДляОбработки=%1
Кнопка панели открытых окон <%1> не найдена.	Butonul de pe bara de ferestre deschise <%1> nu a fost găsit.
Кнопка панели разделов <%1> не найдена.	Butonul de pe bara de partiții <%1> nu a fost găsit.
Кнопка с именем <%1> не найдена.	Buton cu numele <%1> nu a fost găsit.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	Buton cu numele <%1> nu a fost găsit. ТекущееОкно=%2
кнопка, которую требуется нажать	butonul pe care doriți să faceți
Кнопка/команда с заголовком <%1> не найдена.	Buton/comanda cu titlul <%1> nu a fost găsit.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Buton/comanda cu titlul <%1> nu a fost găsit. ТекущееОкно=%2
Количество секунд дял подключения TestClient: %1	Numărul de secunde sari de conectare TestClient: %1
Команда меню <%1> не найдена в панели функций.	Echipa de meniu <%1> nu a fost găsit în bara de opțiuni.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	Echipa ОстановитьЗаписьВидео a returnat un cod de retur = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	Echipa de unire mp3 nu a reușit. Fișier1=%1, Файл2=%2, Файл3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	Echipa de la primirea listei de fișiere de catalog nu a reușit. Catalog = %1
Команда системы реализована только под Windows.	Comanda sistemului este realizata doar sub Windows.
Константа %1 не заполнена.	Constanta %1 nu este plină.
КопироватьФайлКомандаСистемы:%1 команда:%2	КопироватьФайлКомандаСистемы:%1 echipa:%2
между	între
меньше	mai puțin
меньше или равно	mai mic sau egal cu
Надо сделать перезапуск фреймворка тестирования.	Este necesar de a face repornirea platformei yii testare.
Найден активный элемент формы	Găsit activ un element de formular
Найден упавший сценарий.	A fost găsit căzut scenariu.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	A fost găsit de forma: ТекстЗаголовка=%1, ИмяФормы=%2. Fereastra <%3>
Найдено %1 окон.	S-au găsit %1 ferestre.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	S-au găsit mai mult de un câmp de formular cu antet <%1>. Este recomandat să caute elementul pe nume.
НачатьЗаписьДействийПользователя:%1	НачатьЗаписьДействийПользователя:%1
Нашли строки в таблице <%1>:%2	A găsit o linie din tabelul <%1>:%2
не	nu
Не верный формат области <%1>. %2	Nu este un format de domeniul <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	Nu este posibil de a deschide forma abstractă a unui obiect, introduceți link-ul
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	Nu toate spatii de coloane specificat. În cerere trebuie să fie coloana %1
не выполнен	nu este indeplinit
Не дождались отображения окна TestClient. Таймаут <%1>	Nu a mai venit de afișare a ferestrei TestClient. Timeout <%1>
Не задан регистратор для записей регистра %1. Переменная %2	Nu este setat logger pentru înregistrări registrului %1. Variabila %2
Не заполнен служебный параметр КаталогИнструментов.	Nu este umplut de serviciu parametru КаталогИнструментов.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	Nu este cunoscut tip de parametru în ПолучитьПредставлениеПараметраПрипереводе() <%1>
Не использовать	Nu folosi
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	Nu pot descărca statutul de scenarii, așa cum a fost transmis de director, nu de fișier.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	Nu pot descărca statutul de scenarii, deoarece directorul %1 nu există.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	Nu pot сфомировать raportul Allure. Nu există un director pentru a imprima raportul.
Не найден Клиент тестирования для подключения..	Nu a fost găsit TestClient pentru a vă conecta.
Не найден активный элемент формы.	Nu a fost găsit activ un element de formular.
НЕ найден инструмент по созданию скриншотов.	NU s-a găsit un instrument pentru crearea de capturi de ecran.
Не найден каталог библиотеки: %1	Nu s-a găsit un catalog de biblioteca: %1
Не найден каталог инструментов: %1	Nu a fost găsit catalog de instrumente: %1
Не найден лог перегенерации EPF.	Nu a fost găsit log re-generarea de EPF.
Не найден макет %1 ошибка: %2	Nu a fost găsit layout %1 eroare: %2
Не найден перевод для шага <%1>	Nu a fost găsit traducere pentru pasul <%1>
Не найден пользователь ИБ по имени <%1>	Nu s-a găsit un utilizator IB pe nume <%1>
Не найден профиль Клиента тестирования <%1>	Nu a fost găsit profil TestClient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	Nu a fost găsit calea de fișier JSON. Parametru: VBParams.
Не найден тип шага <%1>	Nu s-a găsit un tip de pas <%1>
Не найден файл <%1>	Fișierul nu a fost găsit <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	Fișierul nu a fost găsit aspect <%1> în directorul de proiect <%2>
Не найден файл после распаковки: %1	Fișierul nu a fost găsit după despachetare: %1
Не найден файл словаря замен. <%1>	Fișierul nu a fost găsit dicționar de substituții. <%1>
Не найден файл служебной базы. <%1>	Fișierul nu a fost găsit de serviciu de bază. <%1>
Не найден файл толстого клиента <%1>	Fișierul nu a fost găsit tolstoi client <%1>
Не найден элемент дерева по данным поиска	Nu s-a găsit elementul lemn potrivit de căutare
Не найден элемент Статистика на форме VB.	Nu s-a găsit un element de Statistică în formă de VB.
Не найден эталон макета <%1>. Пустой каталог проекта.	Nu a fost găsit etalon aspect <%1>. Gol directorul de proiect.
Не найдена активная форма.	Nu a fost găsit forma activă.
Не найдена группа командного интерфейса <%1>	Nu a fost găsit de un grup de comandă interfață <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	Nu a fost găsit linie din tabel ДанныеКлиентовТестирования cu <Numele=Acest client>
Не найдена строка примеров во вложенной структуре сценария. <%1>	Nu s-a găsit un șir de exemple în sub-structura de script-ul. <%1>
Не найдена строка сценария.	Nu a fost găsit linia de script-ul.
Не найдена таблица для редактирования.	Nu a fost găsit de un tabel pentru a edita.
Не найдена установка VLC.	Nu a fost găsit instalarea VLC.
Не найдено ключевое слово <%1>  для языка <%2>	Nu s-a găsit cuvântul cheie <%1> limba <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	Nu am găsit nici o fereastră 1C. Fac normal screenshot.
Не найдено ни одного сообщения пользователю.	Nu s-a găsit nici un mesaj pentru utilizator.
Не найдено ни одного сценария. Запись видео невозможна.	Nu s-a găsit nici un scenariu. Înregistrarea video nu este posibilă.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	Nu s-a găsit nici o singură linie în tabelul clienți de testare, care conținea <runner>
Не найдено окно VanessaAutomation в раннере %1	Nu s-a găsit fereastra VanessaBehavior în раннере %1
Не найдено окно VanessaAutomation.	Nu s-a găsit fereastra VanessaBehavior.
Не найдено окно предупреждения.	Nu s-a găsit o fereastră de avertizare.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	Nu a găsit o valoare de elemente de recuzită de la cctm: ИмяСпр=%1, Tip=%2, Numele=%3, СтроковокПредставление=%4
Не нашел колонку: %1	Nu am găsit coloana: %1
Не нашел профиля TestClient с именем <%1>	Nu a gasit nici un profil TestClient cu numele <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	Nu a gasit nici un profil TestClient cu numele <%1> deși el trebuie să fie activ în acest moment.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	Nu a gasit nici un profil TestClient cu numele <%1> pentru a-l închide.
Не нашел путь к 1cv8c.exe: %1	Nu a găsit calea spre 1cv8c.exe: %1
Не нашли меню функций раздела.	Nu a fost găsit meniul funcțiilor de secțiune.
Не нашли окно с заголовком <%1>	Nu a găsit fereastra cu titlul <%1>
Не нашли панель открытых окон.	Nu a fost găsit panoul de ferestre deschise.
Не нашли панель разделов.	Nu a fost găsit panoul de partiții.
Не нашли профиль <%1> в таблице TestClient.	Nu a fost găsit profil <%1> în tabelul de TestClient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	Nu a fost găsit profil <%1> în тестируемом exemplar Vanessa-behavior.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	Nu a găsit modul de a rula <%1>. Probabil, trebuie să specificați cu un spațiu, de exemplu, "o aplicație Gestionată"
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	Nu a găsit modul de a rula <%1>. Probabil, trebuie să specificați cu un spațiu, de exemplu, <o aplicație Gestionată>
Не нашли таблицу с именем <%1>	Nu a gasit un tabel cu numele <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	Nu a găsit elementul <%1> într-o colecție a vrut, el a fost într-o colecție.%2
Не обнаружено активное окно.	Nu s-a detectat fereastra activă.
Не ожиданное значение у переменной ТипСравнения: <%1>	Nu ожиданное valoare la variabila ТипСравнения: <%1>
Не описано действие для кнопки <%1>	Nu este descris acțiunea pentru butonul <%1>
Не определена фича для выполнения на раннере №0.	Nu este definit caracteristică pentru a efectua pe раннере nr 0.
Не передан каталог фич для обработки. Используется %1\features	N-a fost transmis un catalog de caracteristici pentru prelucrare. Este folosit de %1\features
Клиент тестирования не подключен.	Nu este conectat Testclient.
Не получилось закрыть активное окно. %1	Nu s-închide fereastra activă. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	Nu s-a reușit de a determina fereastra activă TestClient din Context.
Не получилось определить активное окно Клиента тестирования.	Nu s-a reușit de a determina fereastra activă TestClient.
Не получилось получить значение таблицы <%1>	Nu s-a reușit de a obține valoarea din tabelul <%1>
Не получилось прочитать параметр запуска.	Nu ai citit opțiune de pornire.
Не получилось сделать выбор в поле <%1> значения <%2>. %3	Nu s-a reușit de a face o alegere în câmpul <%1> valori <%2>. %3
Не получилось создать тестовый MP3	Nu s-a reușit de a crea un test MP3
Не реализовано.	Nu este implementată.
Не смог в таблице <%1> сделать выбрать из списка выбора <%2> по строке <%3>	Nu a putut tabelul <%1> face să selectați din lista de selectare <%2> bara <%3>
Не смог выделить все строки в таблице <%1>. %2	Nu a reușit să aloce toate rândurile din tabel <%1>. %2
Не смог выполнить команду по получению координат на экране всех окон 1С в панели задач.	Nu a putut executa comanda de obținere a coordonatelor de pe ecran toate ferestrele 1C în bara de activități.
Не смог выполнить команду. <%1>	Nu a putut executa comanda. <%1>
Не смог вычислить выражение: %1	Nu a reușit să calculeze expresia: %1
Не смог загрузить %1. %2	Nu a reușit să încărcați %1. %2
Не смог загрузить базу из dt: %1. ПутьКDT: %2. Статус возврата: %3	Nu a putut încărca baza de date de la dt: %1. ПутьКDT: %2. Starea de restituire: %3
Не смог загрузить снипеты из %1	Nu a putut încărca снипеты din %1
Не смог закрыть окно %1	Nu a putut închide fereastra %1
Не смог закрыть окно повторно %1	Nu a putut închide fereastra de re - %1
Не смог запустить конфигуратор. <%1>	Nu a putut rula configurator. <%1>
Не смог из переданных параметров JSON определить каталог отчета Allure.	Nu am putut să transmise de parametri JSON pentru a determina directorul raport Allure.
Не смог из переданных параметров JSON определить каталог отчета CucumberJson.	Nu am putut să transmise de parametri JSON pentru a determina directorul raport CucumberJson.
Не смог из переданных параметров JSON определить каталог отчета jUnit.	Nu am putut să transmise de parametri JSON pentru a determina directorul raport jUnit.
Не смог найти данные для подключения профиля клиента тестирования <%1>	Nu a putut găsi date pentru a conecta un profil de client de testare <%1>
Не смог найти код модуля формы в файле ИмяФайлаФормаУФ.	Nu a putut găsi modul de cod de forma în fișierul ИмяФайлаФормаУФ.
Не смог найти открытый конфигуратор.	Nu a putut găsi o piscină în configurator.
Не смог найти сохранненное значение по переменой <%1>	Nu a putut găsi сохранненное valoarea de schimbare <%1>
Не смог обработать XML в UILogToScript.	Nu a putut procesa XML în UILogToScript.
Не смог обработать параметры в строке <%1>	Nu a putut procesa setări în bara de <%1>
