Строка поиска	Translation
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	Danh sách sổ xuống <%1>. Dự kiến trong đó sẽ có nội dung %2, nhưng đã nhận được %3.
Выпадающий список с заголовком <%1> не найден.	Không tìm thấy danh sách sổ xuống có tiêu đề <%1>.
Выпадающий список с именем <%1> не найден.	Không tìm thấy danh sách sổ xuống có tên gọi <%1>.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Kết thúc thực hiện kịch bản. ĐÃ XẢY RA LỖI.
Выполнение сценариев закончено. Ошибок не было.	Kết thúc thực hiện kịch bản. Không xảy ra lỗi.
Выполняю	Tôi đang thực hiện
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	Biểu thức <%1> bằng <%2>, nhưng dự kiến là <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Bộ khởi tạo khuôn in từ dữ liệu thực: Tôi không biết xử lý kiểu này <%1>
ГолосовойДвижок - OK	ГолосовойДвижок - OK
Группа с заголовком <%1> не найдена.	Không tìm thấy nhóm có tiêu đề <%1>.
Группа с именем <%1> не найдена.	Không tìm thấy nhóm có tên gọi <%1>.
Данные по основному подключению Клиента тестирования перезаполнены.	Đã điền lại dữ liệu theo kết nối chính Testclient перезаполнены.
Данный шаг не работает с таблицами.	Bước này không làm việc với các bảng.
ДатаВремяОшибки	ДатаВремяОшибки
Делаю общий скриншот.	Tôi đang chụp ảnh màn hình.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Tôi đang khởi động lại TESTCLIENT. ОписаниеОшибки=%1
Делаю распаковку %1	Tôi đang giải nén %1
Делаю скриншот.	Tôi đang chụp ảnh màn hình.
Делаю скриншоты всех окон 1С.	Tôi đang chụp màn hình tất cả các cửa sổ của 1C.
Длительность MP3 = 0. Файл=%1	Thời lượng MP3 = 0. Tệp=%1
Для <%1> не найдено документа основания	Đối với <%1> không tìm thấy chứng từ cơ sở
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	Để khởi tạo EPF cần cài đặt 1Script. Trong cmd cần thực hiện lệnh: oscript
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	Đối với kết nối có tên gọi <%1> đã thay đổi cổng kết nối, cổng chỉ ra đã tồn tại trong bảng kết nối.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	Đối với ô hiện tại của bảng <%1> giá trị hiện tại bằng <%2>, nhưng mong muốn là <%3>
Для шага <%1> не найден EPF файл.	Đối với bước <%1> không tìm thấy tệp EPF.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	Đối với phần tử của biểu mẫu %1 giá trị hiện tại bằng <%2>, nhưng mong muốn là <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	Đối với ô <%1> của bảng <%2> giá trị hiện tại bằng <%3>, nhưng mong muốn là <%4>
Добавил шаг: %1	Đã thêm bước: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Cần chuyển ít nhất 1 dòng
Должна оставаться строка подключения текущего клиента	Cần để lại dòng kết nối của Client hiện tại
Должно быть передано 2 строки	Cần chuyển 2 dòng
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Cần chuyển ít nhất 2 dòng. Dòng đầu tiên có tên gọi các cột, dòng thứ hai và các dòng tiếp theo - dữ liệu để kiểm tra.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	Đã kết nhập đối tượng.Tên gọi %1, Kiểu %2
Загрузил новую версию	Đã kết nhập phiên bản mới
Загрузил снипеты из кеш	Đã kết nhập đoạn văn bản từ bộ nhớ cache
Закладка с заголовком <%1> не найдена.	Không tìm thấy thẻ có tiêu đề <%1>.
Закладка с именем <%1> не найдена.	Không tìm thấy thẻ có tên gọi <%1>.
Закончились фичи. Не стал назначать раннеру фичу.	Các tính năng đã hoàn thiện. Không thể gán tính năng cho thanh trượt.
Закрытие TestClient <%1>	Đóng TestClient <%1>
Записал файл статуса билда: %1	Đã ghi lại tệp trạng thái thiết kế: %1
Записался корректный элемент.	Đã ghi lại phần tử đúng.
Записываю %1	Tôi đang ghi lại %1
Запись действий пользователя закончена.	Đã kết thúc ghi lại thao tác của người sử dụng.
Запись действий пользователя начата.	Đã bắt đầu ghi lại thao tác của người sử dụng.
Запись действий пользователя приостановлена.	Đã dừng ghi lại thao tác của người sử dụng.
Запись действий пользователя продолжена.	Đã tiếp tục ghi lại thao tác của người sử dụng.
Запускаю генерацию epf.	Đang khởi tạo epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Đã điền giá trị (%1), dự kiến không điền %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Chưa điền giá trị (%1), dự kiến điền %2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	Giá trị [%1:%2]. Dự kiến <%3>, đã nhận <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	Giá trị <%1> lớn hơn hoặc bằng <%2>, giá trị dự kiến nhỏ hơn. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	Giá trị <%1> lớn hơn <%2>, giá trị dự kiến nhỏ hơn hoặc bằng. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	Giá trị tham số %1: dự kiến <%2>, đã nhận <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	Giá trị tham số %1: mong muốn xâu ký tự <%2>, trong <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	Giá trị tham số thời gian đợi phải là chữ số. Giá trị đã chuyển: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	ЗначениеНеНайдено: Mục tin <%1>: Đã tìm giá trị <%2>, nhưng không tìm thấy.
Изменения формы обработаны.	Đã xử lý thay đổi biểu mẫu.
Изменилось имя формы: было: %1, стало: %2	Đã thay đổi tên biểu mẫu: tên cũ %1, tên mới: %2
имеет длину	có chiều dài
имеет тип	có kiểu
Именованная область %1 не найдена;	Không tìm thấy vùng tên gọi %1;
ИмяКомпьютера <%1>; порт <%2>	ComputerName <%1>; cổng <%2>
ИмяПроцедуры	ИмяПроцедуры
ИмяФайла	ИмяФайла
Искали в %1 подстроку %2, но не нашли.%3	Đã tìm kiếm trong %1 xâu ký tự %2, nhưng không tìm thấy.%3
Исключение для просмотра значения.	Ngoại lệ để xem trước giá trị.
Ищу снипеты в каталоге	Tôi đang tìm kiếm đoạn văn bản trong thư mục
Ищу сценарии в каталоге	Tôi đang tìm kiếm kịch bản trong thư mục
Каталог <%1> не найден.	Không tìm thấy thư mục <%1>.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Không tồn tại thư mục ЗаписьВидеоКаталогДляВременныхФайлов <%1>.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Chưa chỉ ra thư mục ЗаписьВидеоКаталогДляВременныхФайлов <%1>.
КаталогOutputИнструкцияHTML не задан.	Chưa đặt КаталогOutputИнструкцияHTML.
КаталогOutputИнструкцияMarkdown не задан.	Chưa đặt КаталогOutputИнструкцияMarkdown.
КаталогOutputСкриншоты не задан.	Chưa đặt КаталогOutputСкриншоты.
КаталогДляОбработки=%1	КаталогДляОбработки=%1
Кнопка панели открытых окон <%1> не найдена.	Không tìm thấy nút thanh lệnh cửa sổ đang mở <%1>.
Кнопка панели разделов <%1> не найдена.	Không tìm thấy nút thanh lệnh phần hành <%1>.
Кнопка с именем <%1> не найдена.	Không tìm thấy nút có tên gọi <%1>.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	Không tìm thấy nút có tên gọi <%1>. ТекущееОкно=%2
кнопка, которую требуется нажать	nút cần nhấn
Кнопка/команда с заголовком <%1> не найдена.	Không tìm thấy nút/lệnh có tiêu đề <%1>.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Không tìm thấy nút/lệnh có tiêu đề <%1>. ТекущееОкно=%2
Количество секунд дял подключения TestClient: %1	Số giây kết nối TestClient: %1
Команда меню <%1> не найдена в панели функций.	Không tìm thấy lệnh menu <%1> trên thanh chức năng.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	Lệnh ОстановитьЗаписьВидео trả lại mã phản hồi = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	Chưa thực hiện lệnh hợp nhất mp3. File1=%1, File2=%2, File3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	Chưa thực hiện lệnh nhận danh sách tệp của thư mục. Thư mục = %1
Команда системы реализована только под Windows.	Lệnh hệ thống chỉ được thực thi trong Windows.
Константа %1 не заполнена.	Chưa điền hằng %1.
КопироватьФайлКомандаСистемы:%1 команда:%2	КопироватьФайлКомандаСистемы:%1 lệnh:%2
между	giữa
меньше	nhỏ hơn
меньше или равно	nhỏ hơn hoặc bằng
Надо сделать перезапуск фреймворка тестирования.	Cần khởi động lại khung thử nghiệm.
Найден активный элемент формы	Đã tìm thấy phần tử đang sử dụng của biểu mẫu
Найден упавший сценарий.	Đã tìm thấy kịch bản sụp đổ.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	Đã tìm thấy biểu mẫu: ТекстЗаголовка=%1, ИмяФормы=%2. Cửa sổ <%3>
Найдено %1 окон.	Đã tìm thấy %1 cửa sổ.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	Đã tìm thấy hơn một trường của biểu mẫu với tiêu đề <%1>. Nên tìm kiếm phần tử theo tên gọi.
НачатьЗаписьДействийПользователя:%1	НачатьЗаписьДействийПользователя:%1
Нашли строки в таблице <%1>:%2	Đã tìm thấy các dòng trong bảng <%1>:%2
не	khфng
Не верный формат области <%1>. %2	Sai định dạng vùng <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	Không thể mở biểu mẫu của đối tượng trừu tượng, hãy chỉ ra tham chiếu
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	Đã đặt không phải tất cả các cột phụ trợ. Trong truy vấn cần có các cột %1
не выполнен	không được thực hiện
Не дождались отображения окна TestClient. Таймаут <%1>	Không chờ hiển thị cửa sổ TestClient. Thời gian chờ <%1>
Не задан регистратор для записей регистра %1. Переменная %2	Chưa đặt nguồn ghi để ghi lại biểu ghi %1. Biến %2
Не заполнен служебный параметр КаталогИнструментов.	Chưa điền tham số phụ trợ КаталогИнструментов.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	Không xác định kiểu tham số trong ПолучитьПредставлениеПараметраПриПереводе() <%1>
Не использовать	Không sử dụng
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	Tôi không thể kết xuất trạng thái kịch bản, bởi vì đã chuyển thư mục, mà không phải tệp.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	Tôi không thể kết xuất trạng thái kịch bản, bởi vì không tìm thấy thư mục %1.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	Tôi không thể lập báo cáo Allure. Không tồn tại thư mục để hiển thị báo cáo.
Не найден Клиент тестирования для подключения..	Không tìm thấy TestClient để kết nối.
Не найден активный элемент формы.	Không tìm thấy phần tử đang sử dụng của biểu mẫu.
НЕ найден инструмент по созданию скриншотов.	KHÔNG tìm thấy công cụ để chụp ảnh màn hình.
Не найден каталог библиотеки: %1	Không tìm thấy thư mục thư viện: %1
Не найден каталог инструментов: %1	Không tìm thấy thư mục công cụ: %1
Не найден лог перегенерации EPF.	Không tìm thấy nhật ký khởi tạo lại EPF.
Не найден макет %1 ошибка: %2	Không tìm thấy khuôn in %1 lỗi: %2
Не найден перевод для шага <%1>	Không tìm thấy bản dịch đối với bước <%1>
Не найден пользователь ИБ по имени <%1>	Không tìm thấy người sử dụng CSDL theo tên gọi <%1>
Не найден профиль Клиента тестирования <%1>	Không tìm thấy hồ sơ TestClient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	Không tìm thấy đường dẫn đến tệp JSON. Tham số: VBParams.
Не найден тип шага <%1>	Không tìm thấy kiểu bước <%1>
Не найден файл <%1>	Không tìm thấy tệp <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	Không tìm thấy tệp khuôn in <%1> trong thư mục dự án <%2>
Не найден файл после распаковки: %1	Không tìm thấy tệp sau khi giải nén: %1
Не найден файл словаря замен. <%1>	Không tìm thấy tệp từ điển đã thay thế. <%1>
Не найден файл служебной базы. <%1>	Không tìm thấy tệp cơ sở phụ trợ. <%1>
Не найден файл толстого клиента <%1>	Không tìm thấy tệp Client dày <%1>
Не найден элемент дерева по данным поиска	Không tìm thấy phần tử của cây theo dữ liệu tìm kiếm
Не найден элемент Статистика на форме VB.	Không tìm thấy phần tử Thống kê trên biểu mẫu VB.
Не найден эталон макета <%1>. Пустой каталог проекта.	Không tìm thấy tiêu chuẩn khuôn in <%1>. Thư mục trống của dự án.
Не найдена активная форма.	Không tìm thấy biểu mẫu đang sử dụng.
Не найдена группа командного интерфейса <%1>	Không tìm thấy nhóm giao diện lệnh <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	Không tìm thấy xâu ký tự trong bảng ДанныеКлиентовТестирования với <Name = This client>
Не найдена строка примеров во вложенной структуре сценария. <%1>	Không tìm thấy xâu ký tự của ví dụ trong cấu trúc lồng trong của kịch bản. <%1>
Не найдена строка сценария.	Không tìm thấy xâu ký tự của kịch bản.
Не найдена таблица для редактирования.	Không tìm thấy bảng để soạn.
Не найдена установка VLC.	Không tìm thấy bộ cài VLC.
Не найдено ключевое слово <%1>  для языка <%2>	Không tìm thấy từ khóa <%1> đối với ngôn ngữ <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	Không tìm thấy cửa sổ 1C nào. Tôi đang chụp ảnh màn hình bình thường.
Не найдено ни одного сообщения пользователю.	Không tìm thấy bất kỳ thông báo nào cho người sử dụng.
Не найдено ни одного сценария. Запись видео невозможна.	Không tìm thấy kịch bản nào. Không thể ghi lại bản ghi Video.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	Không tìm thấy xâu ký tự nào trong bảng Client thử nghiệm có chứa <runner>
Не найдено окно VanessaAutomation в раннере %1	Không tìm thấy cửa sổ VanessaAutomation trong thanh trượt %1
Не найдено окно VanessaAutomation.	Không tìm thấy cửa sổ VanessaAutomation.
Не найдено окно предупреждения.	Không tìm thấy cửa sổ cảnh báo.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	Không tìm thấy giá trị mục tin của danh mục: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4
Не нашел колонку: %1	Không tìm thấy cột: %1
Не нашел профиля TestClient с именем <%1>	Không tìm thấy hồ sơ TestClient có tên gọi <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	Không tìm thấy hồ sơ TestClient có tên gọi <%1> mặc dù cần kích hoạt hồ sơ vào thời điểm này.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	Không tìm thấy hồ sơ TestClient có tên gọi <%1> để đóng lại.
Не нашел путь к 1cv8c.exe: %1	Không tìm thấy đường dẫn đến 1cv8c.exe: %1
Не нашли меню функций раздела.	Không tìm thấy menu chức năng phần hành.
Не нашли окно с заголовком <%1>	Không tìm thấy cửa sổ với tiêu đề <%1>
Не нашли панель открытых окон.	Không tìm thấy thanh cửa sổ đang mở.
Не нашли панель разделов.	Không tìm thấy thanh phần hành.
Не нашли профиль <%1> в таблице TestClient.	Không tìm thấy hồ sơ <%1> trong bảng TestClient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	Không tìm thấy hồ sơ <%1> trong bản thử nghiệm Vanessa-behavior.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	Không tìm thấy chế độ khởi động <%1>. Có thể là cần chỉ ra có dấu cách, ví dụ, "Ứng dụng được điều khiển"
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	Không tìm thấy chế độ khởi động <%1>. Có thể là cần chỉ ra có dấu cách, ví dụ, <Ứng dụng được điều khiển>
Не нашли таблицу с именем <%1>	Không tìm thấy bảng có tên gọi <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	Không tìm thấy phần tử <%1> trong bộ sưu tập, và muốn có phần tử đó trong bộ sưu tập.%2
Не обнаружено активное окно.	Không tìm thấy cửa sổ đang hoạt động.
Не ожиданное значение у переменной ТипСравнения: <%1>	Giá trị không mong muốn của biến ТипСравнения: <%1>
Не описано действие для кнопки <%1>	Không mô tả thao tác đối với nút <%1>
Не определена фича для выполнения на раннере №0.	Chưa xác định tính năng để thực hiện trong thanh trượt số0.
Не передан каталог фич для обработки. Используется %1\features	Chưa chuyển thư mục tính năng đối với bộ xử lý. Đang sử dụng %1\features
Клиент тестирования не подключен.	Chưa kết nối Testclient.
Не получилось закрыть активное окно. %1	Không thể đóng cửa sổ đang hoạt động. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	Không thể xác định cửa sổ đang hoạt động TestClient từ Ngữ cảnh.
Не получилось определить активное окно Клиента тестирования.	Không thể xác định cửa sổ đang hoạt động TestClient.
Не получилось получить значение таблицы <%1>	Không thể nhận giá trị bảng <%1>
Не получилось прочитать параметр запуска.	Không thể đọc tham số khởi động.
Не получилось сделать выбор в поле <%1> значения <%2>. %3	Không thể chọn tại trường <%1> các giá trị <%2>. %3
Не получилось создать тестовый MP3	Không thể tạo bản MP3 thử nghiệm
Не реализовано.	Không được thực thi.
Не смог в таблице <%1> сделать выбрать из списка выбора <%2> по строке <%3>	Trong bảng <%1> không thể chọn từ danh sách chọn <%2> theo dòng <%3>
