Строка поиска	Translation
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	Tablo <%1> beklenen %2 %3 satır var <%4> satır.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	Tablo <%1> beklenenden daha fazla almak için <%2> satır var <%3> satır.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	Tablo <%1> beklenenden daha fazla almak veya eşit <%2> satır var <%3> satır.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	Tablo <%1> beklenenden daha az <%2> satır var <%3> satır.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	Tablo <%1> beklenenden daha az veya eşit <%2> satır var <%3> satır.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	Tablo <%1> eksik sütun <%2>, указанная ayarlarında.
В таблице <%1> поле с заголовком <%2> не найдено.	Tablo <%1> golf başlığı ile <%2> bulundu.
В таблице <%1> поле с именем <%2> не найдено.	Tablo <%1> alan adı <%2> bulundu.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	Tablo <%1> alan <%2> beklenen açılış için açılan, ancak bekledi.
В таблице не найдена колонка <%1>	Tablo bulunamadı sütun <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	Tabloda parametre transfer oldu, yeni profil için bir ad. Sütun <bağlantı Adı>
В таблице подключений уже есть подключение с именем <%1>	Tablo bağlantı zaten, bağlantı adı <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	Sekmeli belge %1 hoparlör, beklenen %2 sütun.
В табличном документе %1 строк, а ожидалось %2 строк.	Sekmeli belge %1 satır, beklenen %2 satır.
В табличном документе %1 строк, а ожидалось, что он пустой.	Sekmeli belge %1, satır ve beklenen, o boş.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	Sekmeli belge sütununda <%1> değeri değil, uygun koşullu 'bir Değer sütun %2 %3'. Geçerli sütun değeri <%4>. Aralığı <%5>, sütun <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Sekmeli belge sütununda <%1> beklenen değeri <%2> buldum <%3>. Aralığı <%4>, sütun <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Sekmeli belge sütununda <%1> beklenen olmaz değerleri <%2> buldum <%3>. Aralığı <%4>, sütun <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	Sekmeli belge sütun numarası%1 değer= <%2> beklenen <%3>
В табличном документе колонка <%1> не найдена.	Sekmeli belge sütun <%1> bulunamadı.
В файле <%1> нашли строки, а ожидали, что их нет:%2	Dosyasında <%1> hatları ve beklenen, onların hayır:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	Dosyasında <%1> bulamadık satır için beklenen onlar var:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	Bu фиче <%1> komut <%2> bulunamadı tag istisna <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	Bu фиче <%1> komut <%2> bulunamadı tag seçimi <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	Adım geçmesi gerekir tablo Gherkin olan 2 veya daha fazla satır.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	Referans tablosunda iki sütun başlığı aynı: %1
ВерсияVA	ВерсияVA
ВерсияПлатформы	ВерсияПлатформы
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Açın bayrak <Etkinleştirmek için hata ayıklama iletilerini> görmek için gerçekleştirilen bir takım.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Внутреняя hata. Eksik dolum ağaç meta. Eksik bir nesne oluşturan tip - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Внутреняя hata. Eksik doldurma yapısı ile başvuru türleri - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	Alt komut dosyası <%1> teslim oldu <%2> tablolar, ve o alır sadece <%3> tablo.
Возможно это обработка для обычных форм, а не для управляемых форм.	Belki de bu tedavi geleneksel formları için değil, yönetilen bir form.
Возможно это обработка для управляемых форм, а не для обычных форм.	Belki bu işlem için yönetilen değil, form normal form.
Все проверки пройдены.	Tüm doğrulama geçildi.
Вызов метода <%1>: %2	Bir yöntem çağrısı <%1>: %2
Выпадающий список <%1> не был сформирован.	Açılan <%1> kuruldu.
Выпадающий список <%1> не открылся для ввода текста.	Açılan <%1> açılan metin girmek için.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	Açılan <%1>. Bekliyoruz, ne olacak o metin %2 var %3.
Выпадающий список с заголовком <%1> не найден.	Açılır liste başlığı ile <%1> bulunamadı.
Выпадающий список с именем <%1> не найден.	Açılan liste adı ile <%1> bulunamadı.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Komut dosyası yürütme sona erdi. HATALARI VARDI.
Выполнение сценариев закончено. Ошибок не было.	Komut dosyası yürütme sona erdi. Hata değildi.
Выполняю	Yapıyorum
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	İfade <%1> çıktı zaten <%2> beklenen <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Jeneratör düzeni gerçek veri: bilmem işlemek tür <%1>
ГолосовойДвижок - OK	ГолосовойДвижок - OK
Группа с заголовком <%1> не найдена.	Grup başlığı ile <%1> bulunamadı.
Группа с именем <%1> не найдена.	Grup adı <%1> bulunamadı.
Данные по основному подключению Клиента тестирования перезаполнены.	Verileri ana bağlantı Testclient перезаполнены.
Данный шаг не работает с таблицами.	Bu adım işe yaramazsa tablolar.
ДатаВремяОшибки	ДатаВремяОшибки
Делаю общий скриншот.	Yapıyorum, ortak bir ekran görüntüsü.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Yapıyorum yeniden TESTCLİENT. ОписаниеОшибки=%1
Делаю распаковку %1	Yapıyorum hepsini %1
Делаю скриншот.	Yapıyorum ekran görüntüsü.
Делаю скриншоты всех окон 1С.	Yapıyorum ekran görüntüleri tüm pencereleri 1C.
Длительность MP3 = 0. Файл=%1	Süresi MP3 = 0. Dosya=%1
Для <%1> не найдено документа основания	İçin <%1> bulunamadı belgenin taban
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	Oluşturmak için EPF yüklü olmalıdır 1Script. Cmd gerçekleştirilmelidir takım: oscript
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	Bağlantı ismi <%1> değiştirilebilir bağlantı noktası belirtilen bağlantı noktası zaten var, tablo bağlantısı.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	Geçerli tablo hücresi <%1>, geçerli değeri <%2> beklenen <%3>
Для шага <%1> не найден EPF файл.	Adım <%1> bulunamadı EPF dosyası.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	Form öğesi için %1 geçerli değer <%2> beklenen <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	Hücre için <%1> tablo <%2>, geçerli değeri <%3> beklenen <%4>
Добавил шаг: %1	Ekledi. adım: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Transfer olmalı, en az 1 satır
Должна оставаться строка подключения текущего клиента	Kalmalıdır bağlantı dizesi geçerli bir müşteri
Должно быть передано 2 строки	Transfer olmak için 2 satır
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Transfer edilecek en az 2 satır. İlk satır sütun adları, ikinci ve aşağıdaki verileri doğrulamak için.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	Yüklenen nesne.Adı, %1, Tip %2
Загрузил новую версию	Yükledi yeni sürümü
Загрузил снипеты из кеш	Yükledi снипеты, nakit
Закладка с заголовком <%1> не найдена.	Yer imi başlığı ile <%1> bulunamadı.
Закладка с именем <%1> не найдена.	Yer işareti adı <%1> bulunamadı.
Закончились фичи. Не стал назначать раннеру фичу.	Tükendi özellikler. Oldu tayin раннеру фичу.
Закрытие TestClient <%1>	Kapanış TestClient <%1>
Записал файл статуса билда: %1	Kaydedilen dosya durumu oyun: %1
Записался корректный элемент.	Orduya geçerli bir madde.
Записываю %1	Kayıt %1
Запись действий пользователя закончена.	Kayıt kullanıcı etkinliği sona erdi.
Запись действий пользователя начата.	Kayıt kullanıcı etkinliği başladı.
Запись действий пользователя приостановлена.	Kayıt kullanıcı etkinliği askıya alındı.
Запись действий пользователя продолжена.	Kayıt kullanıcı etkinliği devam eder.
Запускаю генерацию epf.	Çalıştırmak üretimi epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Değeri (%1) dolu yanı bekleniyor незаполненность %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Değeri (%1) ile dolu, ve bekleniyor tamlık%2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	Değeri [%1:%2]. Beklenen <%3> var <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	Değeri <%1> büyük veya eşittir <%2>, beklenenden daha az. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	Değeri <%1> daha fazla <%2>, beklenenden daha az veya eşittir. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	Parametre değeri %1: beklenen <%2> var <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	Parametre değeri %1: beklenen bir dize <%2> <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	Parametre değeri zaman aşımı bekleme bir sayı olmalıdır. Gönderilen değer: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	ЗначениеНеНайдено: Sahne <%1>: Aranan değer <%2>, ama bulamadık.
Изменения формы обработаны.	Şekli değişiklikleri işlenmiş.
Изменилось имя формы: было: %1, стало: %2	Adı değişmiş şekli: oldu: %1 oldu: %2
имеет длину	bir uzunluğa sahiptir
имеет тип	türü
Именованная область %1 не найдена;	Adlandırılmış alan %1 bulunamadı
ИмяКомпьютера <%1>; порт <%2>	Bilgisayaradı <%1>
ИмяПроцедуры	ИмяПроцедуры
ИмяФайла	Dosyaadı
Искали в %1 подстроку %2, но не нашли.%3	Aranan %1 alt %2, ama bulamadı.%3
Исключение для просмотра значения.	Özel durum değerini görüntülemek için.
Ищу снипеты в каталоге	Arıyorum снипеты dizini
Ищу сценарии в каталоге	Aradığınız komut dizini
Каталог <%1> не найден.	Dizin <%1> bulunamadı.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Katalog ЗаписьВидеоКаталогДляВременныхФайлов <%1> mevcut değil.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Katalog ЗаписьВидеоКаталогДляВременныхФайлов <%1> belirtilmemiş.
КаталогOutputИнструкцияHTML не задан.	КаталогOutputИнструкцияHTML belirtilmemiş.
КаталогOutputИнструкцияMarkdown не задан.	КаталогOutputИнструкцияMarkdown belirtilmemiş.
КаталогOutputСкриншоты не задан.	КаталогOutputСкриншоты belirtilmemiş.
КаталогДляОбработки=%1	КаталогДляОбработки=%1
Кнопка панели открытых окон <%1> не найдена.	Düğme çubuğu açık pencereleri <%1> bulunamadı.
Кнопка панели разделов <%1> не найдена.	Düğme paneli bölüm <%1> bulunamadı.
Кнопка с именем <%1> не найдена.	Adlı bir düğme <%1> bulunamadı.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	Adlı bir düğme <%1> bulunamadı. ТекущееОкно=%2
кнопка, которую требуется нажать	düğmesine tıklayın istediğiniz
Кнопка/команда с заголовком <%1> не найдена.	Düğme/takım başlığı ile <%1> bulunamadı.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Düğme/takım başlığı ile <%1> bulunamadı. ТекущееОкно=%2
Количество секунд дял подключения TestClient: %1	Saniye sayısını ilk bağlantı TestClient: %1
Команда меню <%1> не найдена в панели функций.	Menü komutu <%1> bulunamadı panel özellikleri.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	Takım ОстановитьЗаписьВидео geri dönüş kodu = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	Takım birleştirme mp3 gerçekleşmedi. Dosya1=%1, Dosya2=%2, Файл3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	Komut almak için bir dosya listesi katalog başarısız oldu. Dizin = %1
Команда системы реализована только под Windows.	Takım sistemi uygulanan ve sadece Windows altında.
Константа %1 не заполнена.	Sabit %1 dolu.
КопироватьФайлКомандаСистемы:%1 команда:%2	КопироватьФайлКомандаСистемы:%1 takım:%2
между	arasında
меньше	daha az
меньше или равно	daha az veya eşit
Надо сделать перезапуск фреймворка тестирования.	Yapmamız lazım, yeniden çerçeve test.
Найден активный элемент формы	Bulunan aktif bir form öğesi
Найден упавший сценарий.	Bulundu düşmüş bir senaryo.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	Bulunamadı şekli: ТекстЗаголовка=%1, Formname=%2. Pencere <%3>
Найдено %1 окон.	Bulundu %1 pencere.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	Bulundu birden fazla form alanları başlığı ile <%1>. Aramak için tavsiye edilir öğesi adı.
НачатьЗаписьДействийПользователя:%1	НачатьЗаписьДействийПользователя:%1
Нашли строки в таблице <%1>:%2	Bulduk tabloda bir satır <%1>:%2
не	değil
Не верный формат области <%1>. %2	Değil emin bir biçimi alanı <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	Mümkün değil bir formu açmak soyut bir nesne, bir bağlantı belirtin
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	Tüm servis sütun belirtilir. Sorguda olmak zorunda sütun %1
не выполнен	başarısız
Не дождались отображения окна TestClient. Таймаут <%1>	Bekledi penceresini görüntülemek TestClient. Zaman aşımı <%1>
Не задан регистратор для записей регистра %1. Переменная %2	Belirtilmemiş kayıt kayıt kayıt %1. Değişken %2
Не заполнен служебный параметр КаталогИнструментов.	Dolu değil iş seçeneği КаталогИнструментов.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	Hiçbir bilinen türü ПолучитьПредставлениеПараметраПрипереводе() <%1>
Не использовать	Kullanmak için değil
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	Yapamam, boşaltma, durum senaryoları, çünkü sevk edildi katalog, dosya değil.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	Yapamam, boşaltma, durum senaryoları, çünkü %1 dizini yok.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	Yapamam сфомировать raporu Allure. Varolmayan bir dizin için bir çıkış sayıları sizlere sağlar.
Не найден Клиент тестирования для подключения..	Bulunamadı TestClient bağlamak için.
Не найден активный элемент формы.	Bulunamadı etkin bir form öğesi.
НЕ найден инструмент по созданию скриншотов.	Bulunamadı oluşturma aracı, ekran görüntüleri.
Не найден каталог библиотеки: %1	Bulunamadı kütüphane kataloğu: %1
Не найден каталог инструментов: %1	Dizini bulunamadı araçları: %1
Не найден лог перегенерации EPF.	Bulunamadı günlük перегенерации EPF.
Не найден макет %1 ошибка: %2	Bulunamadı düzeni %1 hata: %2
Не найден перевод для шага <%1>	Bulunamadı çevirisi için adım <%1>
Не найден пользователь ИБ по имени <%1>	Bulunamadı kullanıcının IB adında <%1>
Не найден профиль Клиента тестирования <%1>	Bulunamadı profili TestClient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	Bulunamadı yolunu JSON. Parametre: VBParams.
Не найден тип шага <%1>	Bulunamadı adım türü <%1>
Не найден файл <%1>	Dosya bulunamadı <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	Dosya bulunamadı düzeni <%1> proje dizininde <%2>
Не найден файл после распаковки: %1	Dosya bulunamadı açtıktan sonra: %1
Не найден файл словаря замен. <%1>	Dosya bulunamadı sözlük değiştirmeleri. <%1>
Не найден файл служебной базы. <%1>	Dosya bulunamadı yardımcı veritabanı. <%1>
Не найден файл толстого клиента <%1>	Dosya bulunamadı kalın istemci <%1>
Не найден элемент дерева по данным поиска	Öğe bulunamadı ağacın göre arama
Не найден элемент Статистика на форме VB.	Öğe bulunamadı İstatistikler, form VB.
Не найден эталон макета <%1>. Пустой каталог проекта.	Bulunamadı kalıbı düzeni <%1>. Boş bir proje dizininde.
Не найдена активная форма.	Bulunamadı etkin bir şeklidir.
Не найдена группа командного интерфейса <%1>	Bulunamadı grubu takım arabirimi <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	Bulunamadı tabloda satır ДанныеКлиентовТестирования ile <Ad=Bu istemci>
Не найдена строка примеров во вложенной структуре сценария. <%1>	Bulunamadı dize örnek alt yapısında komut dosyası. <%1>
Не найдена строка сценария.	Bulunamadı satırı komut dosyası.
Не найдена таблица для редактирования.	Tablosu bulunamadı düzenlemek için.
Не найдена установка VLC.	Bulunamadı yükleme VLC.
Не найдено ключевое слово <%1>  для языка <%2>	Bulundu anahtar kelime <%1> dil <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	Bulundu ne de bir pencere 1C. Yapıyorum normal bir ekran görüntüsü.
Не найдено ни одного сообщения пользователю.	Bulundu ne de tek bir mesaj da verir.
Не найдено ни одного сценария. Запись видео невозможна.	Bulundu ne de bir senaryo. Video kaydı mümkün değildir.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	Bulundu ne de bir tek satır, müşteriler tablosunda bir test, bir ... ... bulunan <runner>
Не найдено окно VanessaAutomation в раннере %1	Bulundu penceresi VanessaBehavior bir koşucu %1
Не найдено окно VanessaAutomation.	Bulundu penceresi VanessaBehavior.
Не найдено окно предупреждения.	Bulundu uyarı penceresi.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	Bulamadım bir değer sahne var ors: ИмяСпр=%1, İsim=%2, ИмяРек=%3, СтроковокПредставление=%4
Не нашел колонку: %1	Bulamadım sütun: %1
Не нашел профиля TestClient с именем <%1>	Bulamadım profil TestClient adı ile <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	Bulamadım profil TestClient adı ile <%1> olsa aktif olması için şu anda.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	Bulamadım profil TestClient adı ile <%1> kapatmak için.
Не нашел путь к 1cv8c.exe: %1	Bulamadım yolunu 1cv8c.exe: %1
Не нашли меню функций раздела.	Bulamadık menü fonksiyonları bölüm.
Не нашли окно с заголовком <%1>	Bulamadık bir pencere başlığı <%1>
Не нашли панель открытых окон.	Bulamadık çubuğu açık pencereleri.
Не нашли панель разделов.	Bulamadık paneli bölüm.
Не нашли профиль <%1> в таблице TestClient.	Bulamadık profili <%1> tablo TestClient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	Bulamadık profili <%1>, test edilen örnek Vanessa-behavior.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	Bulamadık başlangıç modu <%1>. Belki de belirtmeniz gerekir bir boşluk, örneğin, "Yönetilen bir uygulama"
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	Bulamadık başlangıç modu <%1>. Belki de belirtmeniz gerekir bir boşluk, örneğin, <Yönetilen uygulamayı>
Не нашли таблицу с именем <%1>	Bulamadık bir tablo adı ile <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	Bulunamadı <%1> koleksiyon ve istedim o koleksiyonu.%2
Не обнаружено активное окно.	Tespit, etkin pencere.
Не ожиданное значение у переменной ТипСравнения: <%1>	Değil ожиданное değeri bir değişken ТипСравнения: <%1>
Не описано действие для кнопки <%1>	Tarif eylem düğmesi için <%1>
Не определена фича для выполнения на раннере №0.	Tanımlanmış bir özellik için çalışma edene no 0.
Не передан каталог фич для обработки. Используется %1\features	Olmayan sevk katalog fitch işlemek için. Kullanılan %1\features
Клиент тестирования не подключен.	Bağlı değil Testclient.
Не получилось закрыть активное окно. %1	İşe yaramadı etkin pencereyi kapatma. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	Olmadı belirlemek, etkin pencere TestClient Bağlam.
Не получилось определить активное окно Клиента тестирования.	Olmadı belirlemek, etkin pencere TestClient.
Не получилось получить значение таблицы <%1>	Olmadı almak tablosu değeri <%1>
Не получилось прочитать параметр запуска.	Olmadı okumak bir başlangıç seçeneği.
Не получилось сделать выбор в поле <%1> значения <%2>. %3	Olmadı seçim yapmak kutusuna <%1> değeri <%2>. %3
Не получилось создать тестовый MP3	Olmadı yeni test MP3
Не реализовано.	Uygulanmadı.
Не смог в таблице <%1> сделать выбрать из списка выбора <%2> по строке <%3>	Başarısız bir tablo <%1> listeden seçebilirsiniz seçim <%2> satır <%3>
Не смог выделить все строки в таблице <%1>. %2	Ayıramadı tablodaki tüm satırlar <%1>. %2
Не смог выполнить команду по получению координат на экране всех окон 1С в панели задач.	Başarısız bir komutu çalıştırmak almak için koordinat ekranda tüm pencereleri 1C görev çubuğu.
Не смог выполнить команду. <%1>	Başarısız bir komut çalıştırabilirsiniz. <%1>
Не смог вычислить выражение: %1	Yapamadım hesaplamak için bir ifade: %1
Не смог загрузить %1. %2	Yükleyemedi %1. %2
Не смог загрузить базу из dt: %1. ПутьКDT: %2. Статус возврата: %3	Yükleyemedi üssü dt: %1. ПутьКDT: %2. Durumu iade: %3
Не смог загрузить снипеты из %1	Yükleyemedi снипеты %1
Не смог закрыть окно %1	Yapamadım kutusunu kapatmak için %1
Не смог закрыть окно повторно %1	Kapatamadı bir pencere yeniden %1
Не смог запустить конфигуратор. <%1>	Değil çalıştırmak mümkün yapılandırıcı. <%1>
Не смог из переданных параметров JSON определить каталог отчета Allure.	Başarısız geçirilen parametreleri JSON dizini belirlemek, rapor Allure.
Не смог из переданных параметров JSON определить каталог отчета CucumberJson.	Başarısız geçirilen parametreleri JSON dizini belirlemek, rapor CucumberJson.
Не смог из переданных параметров JSON определить каталог отчета jUnit.	Başarısız geçirilen parametreleri JSON dizini belirlemek, rapor jUnit.
Не смог найти данные для подключения профиля клиента тестирования <%1>	Bulamadı verileri bağlamak için bir müşteri profili test <%1>
Не смог найти код модуля формы в файле ИмяФайлаФормаУФ.	Bulamadım kodu form modülü dosyasında ИмяФайлаФормаУФ.
Не смог найти открытый конфигуратор.	Bulamadım açık yapılandırıcı.
Не смог найти сохранненное значение по переменой <%1>	Bulamadım сохранненное değeri değiştiren <%1>
Не смог обработать XML в UILogToScript.	İşleyemedi XML UİLogToScript.
Не смог обработать параметры в строке <%1>	İşleyemedi seçenekler çubuğunda <%1>
Не смог определить длительность у файла: %1	Belirleyemedi süresi var dosya: %1
Не смог определить СледующееОжидаемоеКлючевое по: %1	Belirleyemedi СледующееОжидаемоеКлючевое: %1
Не смог определить следующий шаг для выполнения.	Başarısız belirlemek için bir sonraki adım gerçekleştirmek.
Не смог определить тип значения для строки: %1	Türünü belirleyemedi değerleri, satır: %1
Не смог перейти к строке фильтра <%1>	Yapamadım satırına gitmek filtre <%1>
Не смог по переменной <%1> найти сохраненное значение.	Yapamadım ve değişken <%1> bulmak için depolanan değer.
Не смог подключить TestClient.	Veremiyor TestClient.
