Строка поиска	Translation
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	In der Tabelle <%1> erwartest größer oder gleich <%2> Zeilen und erhielten <%3> Zeilen.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	In der Tabelle <%1> erwartest weniger <%2> Zeilen und erhielten <%3> Zeilen.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	In der Tabelle <%1> erwartest kleiner oder gleich <%2> Zeilen und erhielten <%3> Zeilen.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	In der Tabelle <%1> missing Column <%2>, указанная in den Parametern.
В таблице <%1> поле с заголовком <%2> не найдено.	In der Tabelle <%1> Feld mit der überschrift <%2> nicht gefunden.
В таблице <%1> поле с именем <%2> не найдено.	In der Tabelle <%1> Feld mit dem Namen <%2> nicht gefunden.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	In der Tabelle <%1> das Feld <%2> erwartete Eröffnung der Dropdown-Liste, aber nicht warten.
В таблице не найдена колонка <%1>	In der Tabelle nicht gefunden Column <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	In der Tabelle der Parameter nicht übergeben wurde der name des neuen Profils. Spalte <Verbindungsname>
В таблице подключений уже есть подключение с именем <%1>	In der Tabelle verbindungen bereits eine Verbindung mit dem Namen <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	In einem tabellarischen Dokument %1 Spalten, und erwartet %2 Spalten.
В табличном документе %1 строк, а ожидалось %2 строк.	In einem tabellarischen Dokument %1 Zeilen, und erwartet %2 Zeilen.
В табличном документе %1 строк, а ожидалось, что он пустой.	In einem tabellarischen Dokument %1 Zeilen, und erwartet, dass es leer ist.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	In einem tabellarischen Dokument in der Spalte <%1> der Wert entspricht nicht der Bedingung 'Wert in Spalte %2 %3'. Der aktuelle Wert der Spalte <%4>. Eine Reihe von <%5>, Spalte <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	In einem tabellarischen Dokument in der Spalte <%1> erwarteten Wert <%2>, und fanden <%3>. Eine Reihe von <%4>, Spalte <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	In einem tabellarischen Dokument in der Spalte <%1> erwartet, dass es keine Werte <%2>, und fanden <%3>. Eine Reihe von <%4>, Spalte <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	In einem tabellarischen Dokument in der Spalte Nummer%1 value= <%2> erwartet <%3>
В табличном документе колонка <%1> не найдена.	In einem tabellarischen Dokument Spalte <%1> nicht gefunden.
В файле <%1> нашли строки, а ожидали, что их нет:%2	In der Datei <%1> dort Zeilen finden, und erwarten, dass Sie es nicht sind:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	In der Datei <%1> nicht gefunden Zeile und erwartet, dass Sie dort ein:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	In fiche <%1> Skript <%2> - Markierung gefunden Ausnahme <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	In fiche <%1> Skript <%2> Tag wurde die Auswahl <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	Im Schritt muss die Tabelle übertragen Gherkin, in denen 2 oder mehr Zeilen.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	In der Master-Tabelle gibt es zwei Spalten mit gleicher überschrift: %1
ВерсияVA	ВерсияVA
ВерсияПлатформы	ВерсияПлатформы
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Aktivieren Sie das <debug-Meldungen Aktivieren> um die auszuführenden Befehle.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Innewohnende Fehler. Unvollständige Füllung Holz Metadaten. Fehlt das Objekt, aus dem Art - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Innewohnende Fehler. Unvollständige Füllung der Struktur Referenztypen - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	In die angehängte Skript <%1> übertragen wurde <%2> Tabellen, und er nimmt nur <%3> Tabellen.
Возможно это обработка для обычных форм, а не для управляемых форм.	Vielleicht ist die Verarbeitung für den gewöhnlichen Formen, aber nicht für verwaltete Formen.
Возможно это обработка для управляемых форм, а не для обычных форм.	Vielleicht ist die Behandlung für die verwalteten Formen, und nicht für die normalen Formen.
Все проверки пройдены.	Alle überprüfungen erfolgreich sind.
Вызов метода <%1>: %2	Der Aufruf der Methode <%1>: %2
Выпадающий список <%1> не был сформирован.	Die Dropdown-Liste <%1> nicht gebildet wurde.
Выпадающий список <%1> не открылся для ввода текста.	Die Dropdown-Liste <%1> nicht geöffnet für die Eingabe von Text.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	Die Dropdown-Liste <%1>. Erwartet, dass in ihm wird der Text %2 und %3.
Выпадающий список с заголовком <%1> не найден.	Eine Dropdown-Liste mit der überschrift <%1> nicht gefunden.
Выпадающий список с именем <%1> не найден.	Eine Dropdown-Liste mit dem Namen <%1> nicht gefunden.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Skripterstellung abgeschlossen. ES GAB FEHLER.
Выполнение сценариев закончено. Ошибок не было.	Skripterstellung abgeschlossen. Fehler war es nicht.
Выполняю	Ausführe
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	Der Ausdruck <%1> erschienen gleich <%2> erwartete <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Generator Layout von realen Daten: Nicht verarbeiten kann diese Art von <%1>
ГолосовойДвижок - OK	ГолосовойДвижок - OK
Группа с заголовком <%1> не найдена.	Die Gruppe mit der überschrift <%1> nicht gefunden.
Группа с именем <%1> не найдена.	Die Gruppe mit dem Namen <%1> nicht gefunden.
Данные по основному подключению Клиента тестирования перезаполнены.	Daten über die primäre Verbindung von Testclient перезаполнены.
Данный шаг не работает с таблицами.	Dieser Schritt funktioniert nicht mit Tabellen.
ДатаВремяОшибки	ДатаВремяОшибки
Делаю общий скриншот.	Mache gemeinsame Screenshot.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Mache einen Neustart von Testclient. ОписаниеОшибки=%1
Делаю распаковку %1	Mache Dekomprimierung von %1
Делаю скриншот.	Mache einen Screenshot.
Делаю скриншоты всех окон 1С.	Mache screenshots von allen Fenstern 1C.
Длительность MP3 = 0. Файл=%1	Dauer MP3 = 0. Datei=%1
Для <%1> не найдено документа основания	Für <%1> nicht gefunden Dokument-Basis
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	Für die Erzeugung der EPF muss installiert sein 1Script. In der cmd-Befehl ausgeführt werden soll: oscript
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	Um eine Verbindung mit dem Namen <%1> geändert-Konnektivität, der angegebene Port ist bereits in der Tabelle verbindungen.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	Für die aktuelle Zelle der Tabelle <%1> der aktuelle Wert ist <%2> erwartete <%3>
Для шага <%1> не найден EPF файл.	Für Schritt <%1> nicht gefunden EPF-Datei.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	Für das Element Form %1 der aktuelle Wert ist <%2> erwartete <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	Für eine Zelle <%1> Tabelle <%2> der aktuelle Wert ist <%3> erwartet <%4>
Добавил шаг: %1	Fügte Schritt: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Uebertragen werden muss mindestens 1 Zeile
Должна оставаться строка подключения текущего клиента	Muss die Verbindungszeichenfolge den aktuellen Client
Должно быть передано 2 строки	Übergeben werden sollte 2 Zeilen
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Übertragen werden müssen mindestens 2 Zeilen. Die erste Zeile mit den Namen der Spalten, die zweite und die folgenden Angaben für die Prüfung.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	Geladen wird das Objekt.Name %1, Typ %2
Загрузил новую версию	Die neue Version hochgeladen
Загрузил снипеты из кеш	Hochgeladen снипеты aus dem Cache
Закладка с заголовком <%1> не найдена.	Lesezeichen mit der überschrift <%1> nicht gefunden.
Закладка с именем <%1> не найдена.	Lesezeichen mit dem Namen <%1> nicht gefunden.
Закончились фичи. Не стал назначать раннеру фичу.	Vorbei laufen. Wurde nicht zuweisen раннеру Funktion.
Закрытие TestClient <%1>	Schließung Von Testclient <%1>
Записал файл статуса билда: %1	Aufgezeichnet Status Datei build bestimmt: %1
Записался корректный элемент.	Habe mich für das korrekte Element.
Записываю %1	Brenne %1
Запись действий пользователя закончена.	Die Aufzeichnung der Benutzeraktionen vorbei.
Запись действий пользователя начата.	Aufzeichnung von Benutzeraktionen gestartet.
Запись действий пользователя приостановлена.	Die Aufzeichnung der Benutzeraktionen ausgesetzt.
Запись действий пользователя продолжена.	Aufzeichnung der Aktionen des Benutzers fortgesetzt.
Запускаю генерацию epf.	Starte die Generierung von epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Wert (%1) gefüllt, und erwartet незаполненность %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Wert (%1) nicht leer ist, und erwartet erfülltheit%2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	Wert [%1:%2]. Erwarten <%3> und erhalten <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	Wert <%1> größer oder gleich als <%2>, und erwartet weniger. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	Wert <%1> größer als <%2>, und erwartet weniger oder gleich. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	Der Wert des Parameters %1: erwartet <%2>, erhielten <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	Der Wert des Parameters %1: erwartet die Teilzeichenfolge <%2>, <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	Der Wert des Parameters Timeout Wartezeit muss eine Zahl sein. Der übergebene Wert ist: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	ЗначениеНеНайдено: Props <%1>: Suche nach Wert <%2>, aber nicht gefunden.
Изменения формы обработаны.	Änderungen in der Form verarbeitet.
Изменилось имя формы: было: %1, стало: %2	Änderte sich der name des Formulars: es: %1, wurde: %2
имеет длину	hat eine Länge von
имеет тип	Typ
Именованная область %1 не найдена;	Ein benannter Bereich %1 nicht gefunden
ИмяКомпьютера <%1>; порт <%2>	ComputerName <%1>
ИмяПроцедуры	ИмяПроцедуры
ИмяФайла	Dateiname
Искали в %1 подстроку %2, но не нашли.%3	Suchten in %1 Teilstring %2, aber nicht gefunden.%3
Исключение для просмотра значения.	Eine Ausnahme zum anzeigen der Werte.
Ищу снипеты в каталоге	Suche im Verzeichnis снипеты
Ищу сценарии в каталоге	Ich Suche Szenarien im Verzeichnis
Каталог <%1> не найден.	Das Verzeichnis <%1> nicht gefunden.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Katalog ЗаписьВидеоКаталогДляВременныхФайлов <%1> existiert nicht.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Katalog ЗаписьВидеоКаталогДляВременныхФайлов <%1> nicht angegeben wird.
КаталогOutputИнструкцияHTML не задан.	КаталогOutputИнструкцияHTML nicht angegeben.
КаталогOutputИнструкцияMarkdown не задан.	КаталогOutputИнструкцияMarkdown nicht angegeben.
КаталогOutputСкриншоты не задан.	КаталогOutputСкриншоты nicht angegeben.
КаталогДляОбработки=%1	КаталогДляОбработки=%1
Кнопка панели открытых окон <%1> не найдена.	Schaltflächen im geöffneten Fenster <%1> nicht gefunden.
Кнопка панели разделов <%1> не найдена.	Die Schaltfläche für die Abschnitte <%1> nicht gefunden.
Кнопка с именем <%1> не найдена.	Die Schaltfläche mit dem Namen <%1> nicht gefunden.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	Die Schaltfläche mit dem Namen <%1> nicht gefunden. ТекущееОкно=%2
кнопка, которую требуется нажать	die Taste, die Sie drücken
Кнопка/команда с заголовком <%1> не найдена.	Schaltfläche/Befehl mit der überschrift <%1> nicht gefunden.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Schaltfläche/Befehl mit der überschrift <%1> nicht gefunden. ТекущееОкно=%2
Количество секунд дял подключения TestClient: %1	Die Anzahl der Sekunden für den Anschluss von Testclient: %1
Команда меню <%1> не найдена в панели функций.	Menübefehl <%1> nicht gefunden in der Funktionsleiste.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	Das Team ОстановитьЗаписьВидео hat Rückgabecode = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	Der Befehl zum Zusammenführen von mp3 nicht durchgeführt. Datei1=%1, Datei2=%2, Datei3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	Der Befehl für den Erhalt einer Liste von Dateien des Verzeichnisses ist fehlgeschlagen. Verzeichnis = %1
Команда системы реализована только под Windows.	Das Team-System implementiert nur unter Windows.
Константа %1 не заполнена.	Die Konstante %1 ist nicht gefüllt.
КопироватьФайлКомандаСистемы:%1 команда:%2	КопироватьФайлКомандаСистемы:%1 Befehl:%2
между	zwischen
меньше	weniger
меньше или равно	kleiner oder gleich
Надо сделать перезапуск фреймворка тестирования.	Man muss einen Neustart, um das Framework zu testen.
Найден активный элемент формы	Wurde das aktive Element der Form
Найден упавший сценарий.	Gefunden gefallene Szenario.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	Gefunden Form: ТекстЗаголовка=%1, Formname=%2. Das Fenster <%3>
Найдено %1 окон.	Gefunden %1 Fenster.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	Gefunden mehr als ein Formularfeld mit der überschrift <%1>. Es wird empfohlen, suchen Sie nach einem Element namens.
НачатьЗаписьДействийПользователя:%1	НачатьЗаписьДействийПользователя:%1
Нашли строки в таблице <%1>:%2	Zeilen in der Tabelle <%1>:%2
не	nicht
Не верный формат области <%1>. %2	Nicht der richtige Bereich Format <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	Nicht möglich, zu entdecken, eine Form des abstrakten Objekts, geben Sie den Link
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	Nicht alle Service-Spalte festgelegt. In der Abfrage muss die Spalte %1
не выполнен	nicht ausgeführt
Не дождались отображения окна TestClient. Таймаут <%1>	Nicht warten das Fenster von Testclient. Timeout <%1>
Не задан регистратор для записей регистра %1. Переменная %2	Nicht angegeben wird der Logger für die Einträge des Registers %1. Die Variable %2
Не заполнен служебный параметр КаталогИнструментов.	Nicht mit Call of Option КаталогИнструментов.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	Nicht bekannt Typ des Parameters in ПолучитьПредставлениеПараметраПрипереводе() <%1>
Не использовать	Nicht zu verwenden
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	Kann nicht entladen Status von Szenarien, übergeben wurde, da ein Verzeichnis und nicht die Datei.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	Kann nicht entladen Status von Szenarien, da das Verzeichnis %1 existiert nicht.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	Kann nicht сфомировать Bericht Allure. Gibt es nicht ein Verzeichnis für die Ausgabe des Berichts.
Не найден Клиент тестирования для подключения..	Nicht gefunden von Testclient für den Anschluss.
Не найден активный элемент формы.	Nicht gefunden das aktive Element des Formulars.
НЕ найден инструмент по созданию скриншотов.	NICHT gefunden-Tool zum erstellen von screenshots.
Не найден каталог библиотеки: %1	Nicht gefunden-Katalog der Bibliothek: %1
Не найден каталог инструментов: %1	Nicht gefunden Werkzeugkatalog: %1
Не найден лог перегенерации EPF.	Nicht gefunden log перегенерации EPF.
Не найден макет %1 ошибка: %2	Nicht gefunden Layout %1 Fehler: %2
Не найден перевод для шага <%1>	Keine übersetzung gefunden für Schritt <%1>
Не найден пользователь ИБ по имени <%1>	Nicht gefunden Benutzer IB namens <%1>
Не найден профиль Клиента тестирования <%1>	Nicht gefunden das Profil von Testclient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	Nicht gefunden den Pfad zur Datei JSON. Parameter: VBParams.
Не найден тип шага <%1>	Nicht gefunden schritttyp <%1>
Не найден файл <%1>	Nicht gefunden die Datei <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	Layout-Datei nicht gefunden <%1> im Projektverzeichnis <%2>
Не найден файл после распаковки: %1	Nicht gefunden die Datei nach dem entpacken: %1
Не найден файл словаря замен. <%1>	Keine Wörterbuchdatei gefunden Ersatz. <%1>
Не найден файл служебной базы. <%1>	Datei nicht gefunden dienstlichen Basis. <%1>
Не найден файл толстого клиента <%1>	Datei nicht gefunden Tolstoi Client <%1>
Не найден элемент дерева по данным поиска	Nicht gefunden das Element Holz gemäß der Suche
Не найден элемент Статистика на форме VB.	Nicht gefunden das Element der Statistik auf VB Form.
Не найден эталон макета <%1>. Пустой каталог проекта.	Nicht gefunden Standard-Layout <%1>. Ein leeres Verzeichnis des Projekts.
Не найдена активная форма.	Nicht aktive Form gefunden.
Не найдена группа командного интерфейса <%1>	Keine Gruppe gefunden Befehlsschnittstelle für <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	Nicht gefunden Zeile in der Tabelle ДанныеКлиентовТестирования mit <Name=Dieser Kunde>
Не найдена строка примеров во вложенной структуре сценария. <%1>	Nicht gefunden Zeile Beispiele in der geschachtelten Struktur des Skripts. <%1>
Не найдена строка сценария.	Nicht gefunden Zeile des Skripts.
Не найдена таблица для редактирования.	Nicht gefunden-Tabelle zur Bearbeitung.
Не найдена установка VLC.	Nicht gefunden die Installation von VLC.
Не найдено ключевое слово <%1>  для языка <%2>	Nicht gefunden das Schlüsselwort <%1> Sprache <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	Nicht gefunden, weder ein Fenster 1S. Mache einen normalen Screenshot.
Не найдено ни одного сообщения пользователю.	Nicht gefunden keine Mitteilung an den Benutzer.
Не найдено ни одного сценария. Запись видео невозможна.	Nicht gefunden, weder ein Skript. Video-Aufnahme ist nicht möglich.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	Nicht gefunden keine Zeile in der Tabelle Kunden testen, die enthalten <runner>
Не найдено окно VanessaAutomation в раннере %1	Nicht gefunden Fenster VanessaBehavior Läufer in %1
Не найдено окно VanessaAutomation.	Nicht gefunden Fenster VanessaBehavior.
Не найдено окно предупреждения.	Nicht gefunden Warnfenster.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	Nicht gefunden Wert Requisiten haben die Regionen in äußerster Randlage: ИмяСпр=%1, Name=%2, Name=%3, СтроковокПредставление=%4
Не нашел колонку: %1	Nicht gefunden Spalte: %1
Не нашел профиля TestClient с именем <%1>	Nicht gefunden das Profil von Testclient mit dem Namen <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	Nicht gefunden das Profil von Testclient mit dem Namen <%1> obwohl er aktiv sein soll im Moment.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	Nicht gefunden das Profil von Testclient mit dem Namen <%1> um es zu schließen.
Не нашел путь к 1cv8c.exe: %1	Nicht gefunden Pfad 1cv8c.exe: %1
Не нашли меню функций раздела.	Nicht gefunden Funktionsmenü Abschnitt.
Не нашли окно с заголовком <%1>	Nicht gefunden das Fenster mit dem Titel <%1>
Не нашли панель открытых окон.	Nicht gefunden die Leiste der geöffneten Fenster.
Не нашли панель разделов.	Nicht fanden Platte Partitionen.
Не нашли профиль <%1> в таблице TestClient.	Nicht gefunden das Profil <%1> in der Tabelle von Testclient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	Nicht gefunden das Profil <%1> in den getesteten Exemplar Vanessa-behavior.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	Nicht gefunden Startmodus <%1>. Vielleicht müssen Sie mit einem Leerzeichen, Z. B. "Managed App"
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	Nicht gefunden Startmodus <%1>. Vielleicht müssen Sie mit einem Leerzeichen, Z. B. <Managed application>
Не нашли таблицу с именем <%1>	Nicht gefunden eine Tabelle mit dem Namen <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	Nicht gefunden das Element <%1> in der Sammlung, und wollten, dass er in der Sammlung.%2
Не обнаружено активное окно.	Nicht erkannt das aktive Fenster.
Не ожиданное значение у переменной ТипСравнения: <%1>	Nicht ожиданное Wert der Variable ТипСравнения: <%1>
Не описано действие для кнопки <%1>	Nicht beschrieben eine Aktion für die Taste <%1>
Не определена фича для выполнения на раннере №0.	Nicht definiert Funktion für die Leistung im Läufer Nr. 0.
Не передан каталог фич для обработки. Используется %1\features	Nicht übertragen Fitch Katalog für die Verarbeitung. Verwendet %1\features
Клиент тестирования не подключен.	Nicht mit von Testclient.
Не получилось закрыть активное окно. %1	Nicht funktioniert das aktive Fenster schließen. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	Nicht identifizieren das aktive Fenster von Testclient aus dem Kontext.
Не получилось определить активное окно Клиента тестирования.	Nicht identifizieren das aktive Fenster von Testclient.
Не получилось получить значение таблицы <%1>	Nicht geklappt hat den Wert der Tabelle <%1>
Не получилось прочитать параметр запуска.	Nicht funktioniert Lesen Sie eine ausführungsoption aus.
Не получилось сделать выбор в поле <%1> значения <%2>. %3	Nicht gelungen eine Auswahl im Feld <%1> Werte <%2>. %3
Не получилось создать тестовый MP3	Nicht erstellt eine Test-MP3
Не реализовано.	Nicht implementiert.
Не смог в таблице <%1> сделать выбрать из списка выбора <%2> по строке <%3>	Konnte nicht in Tabelle <%1> wählen Sie in der Auswahlliste <%2> Zeile <%3>
Не смог выделить все строки в таблице <%1>. %2	Konnte alle Zeilen in der Tabelle <%1>. %2
Не смог выполнить команду по получению координат на экране всех окон 1С в панели задач.	Konnte den Befehl für den Erhalt der Koordinaten auf dem Bildschirm alle Fenster 1C in der Taskleiste.
Не смог выполнить команду. <%1>	Konnte der Befehl ausgeführt werden soll. <%1>
Не смог вычислить выражение: %1	Konnte den Ausdruck berechnen: %1
Не смог загрузить %1. %2	Konnte nicht geladen werden %1. %2
Не смог загрузить базу из dt: %1. ПутьКDT: %2. Статус возврата: %3	Konnte nicht geladen Basis von dt: %1. ПутьКDT: %2. Status Rückgabe: %3
