Строка поиска	Translation
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	A táblázat <%1> a vonal száma%2 a talált érték %3, de ez nem így volt.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	A táblázat <%1> találták <%2> értékeket. Ahogy az várható <%3>. Az oszlop nevét <%4>. Az érték <%5>
В таблице <%1> не найдено ни одной строки	A táblázat <%1> nem talált sorok
В таблице <%1> не найдено ячейки с заголовком <%2>	A táblázat <%1> nem találtam a cella a fejlécet a <%2>
В таблице <%1> не найдены колонки: %2	A táblázat <%1> nem található oszlop: %2
В таблице <%1> не получилось активизировать поле <%2>.	A táblázat <%1> nem aktiválja a mező <%2>.
В таблице <%1> нет строк для выбора.	A táblázat <%1> nincs sor kiválasztásához.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	A táblázat <%1> várható volt, <%2> vonalak, de van <%3> sor.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	A táblázat <%1> várhatóan %2% 3 sor, de van <%4> vonalak.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	A táblázat <%1> várható volt, hogy minél több <%2> vonalak, de van <%3> sor.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	A táblázat <%1> volt várható, hogy nagyobb vagy egyenlő <%2> vonalak, de van <%3> sor.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	A táblázat <%1> várható volt, hogy kevesebb, mint <%2> vonalak, de van <%3> sor.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	A táblázat <%1> várható volt, hogy szerezze be kevesebb vagy egyenlő <%2> vonalak, de van <%3> sor.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	A táblázat <%1> hiányzik oszlop <%2>, Yasna a paraméterek.
В таблице <%1> поле с заголовком <%2> не найдено.	A táblázat <%1> mező cím <%2> nem találtam.
В таблице <%1> поле с именем <%2> не найдено.	A táblázat <%1> mező neve <%2> nem találtam.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	A táblázat <%1> a mező <%2> számítottam rá, hogy nyissa meg a legördülő listában, de ne várj.
В таблице не найдена колонка <%1>	Nem található a táblázatban oszlop <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	A táblázat beállításai nem álltak át az új profil nevét. Oszlop <kapcsolat Neve>
В таблице подключений уже есть подключение с именем <%1>	A kapcsolat tábla már egy kapcsolat neve <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	A táblázatos dokumentumot '%1 ' oszlopok, várható %2 oszlop.
В табличном документе %1 строк, а ожидалось %2 строк.	A táblázat dokumentum %1 sort, de várható %2 sort.
В табличном документе %1 строк, а ожидалось, что он пустой.	A táblázat dokumentum %1 sor, várható volt, hogy az üres.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	A táblázatos dokumentumot oszlop <%1> érték nem egyezik meg a feltétel 'Érték oszlopában %2% 3'. Az aktuális érték oszlop <%4>. Számos <%5>, oszlop <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	A táblázatos dokumentumot oszlop <%1> várható volt, <%2>, talált <%3>. Számos <%4>, oszlop <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	A táblázatos dokumentumot oszlop <%1> várható volt, hogy lesz az értéke <%2>, talált <%3>. Számos <%4>, oszlop <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	A táblázatos dokumentumot oszlop száma %1 az érték= <%2> , várhatóan <%3>
В табличном документе колонка <%1> не найдена.	A dokumentum a táblázat oszlop <%1> nem található.
В файле <%1> нашли строки, а ожидали, что их нет:%2	A fájl <%1> találtam sor, várható, hogy nem léteznek:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	A fájl <%1> nem található vonalak, várható, hogy mi van:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	A funkció <%1> a script <%2> tag talált kivétel <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	A funkció <%1> a script <%2> találtam címke kiválasztása <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	Annak érdekében, hogy adja át a Makkot táblázat, amely 2 vagy több sort.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	A referencia táblázatban van két oszlop azonos fejléc: %1.
ВерсияVA	ВерсияVA
ВерсияПлатформы	Wereperformed
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Viszont zászló <Enable debug üzenetek> látni a parancs végrehajtásra.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Belső hiba. Hiányos kitöltése a metaadatok fa. Nincs az a tárgy, amely egy típus - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Belső hiba. Hiányos szerkezetek típusai - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	A beágyazott script <%1> áthelyezték <%2> táblázatok, csak <%3> táblázatok.
Возможно это обработка для обычных форм, а не для управляемых форм.	Talán ez a kezelés a szokásos formáját, nem sikerült formák.
Возможно это обработка для управляемых форм, а не для обычных форм.	Talán ez a kezelés a kezelt formája, nem pedig a hagyományos formák.
Все проверки пройдены.	Az összes ellenőrzés telt el.
Вызов метода <%1>: %2	A hívás módszer <%1>: %2
Выпадающий список <%1> не был сформирован.	A legördülő lista <%1> nem alakult meg.
Выпадающий список <%1> не открылся для ввода текста.	A legördülő lista <%1> nem volt nyitva, a szövegbevitel.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	A legördülő lista <%1>. Várható, hogy ez a szöveg lesz, %2, %3.
Выпадающий список с заголовком <%1> не найден.	A legördülő listában a cím <%1> nem található.
Выпадающий список с именем <%1> не найден.	A legördülő listában a név <%1> nem található.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Parancsfájl végrehajtása befejeződött. VOLTAK HIBÁK.
Выполнение сценариев закончено. Ошибок не было.	Parancsfájl végrehajtása befejeződött. Nem hibák.
Выполняю	Végre
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	A kifejezés <%1> volt egyenlő, <%2>, várhatóan <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	A generátor az elrendezés a valós adatok: Nem tudom, hogyan kell kezelni az ilyen típusú <%1>
ГолосовойДвижок - OK	Groovadelia - OK
Группа с заголовком <%1> не найдена.	A csoport a cím <%1> nem található.
Группа с именем <%1> не найдена.	A csoport neve <%1> nem található.
Данные по основному подключению Клиента тестирования перезаполнены.	Adatok a fő kapcsolat Testclient peripapillary.
Данный шаг не работает с таблицами.	Ez a lépés nem működik a táblázatok.
ДатаВремяОшибки	Datarelease
Делаю общий скриншот.	Hogy egy Általános képet.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Egy újraindítás TESTCLIENT. Opisaniyami=%1
Делаю распаковку %1	Hogy kicsomagolás %1
Делаю скриншот.	Egy screenshot.
Делаю скриншоты всех окон 1С.	Screenshotok minden Windows-1C.
Длительность MP3 = 0. Файл=%1	Időtartama MP3 = 0. File=%1
Для <%1> не найдено документа основания	A <%1> nem találtam a dokumentum Alapítvány
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	Generál az EPF kell telepíteni 1Script. A cmd parancsot kell futtatni: oscript
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	Csatlakoztassa a neve <%1> változott a kapcsolat port, a megadott port már a kapcsolat táblázat.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	Az aktuális cellába, a táblázat <%1> jelenlegi érték <%2>, várhatóan <%3>
Для шага <%1> не найден EPF файл.	A lépés <%1> nem talált EPF fájlt.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	Egy űrlap elem %1 az aktuális érték <%2>, várhatóan <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	A cella <%1> a táblázatban <%2> a jelenlegi érték <%3>, várhatóan <%4>
Добавил шаг: %1	Hozzáadott lépés: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Kell hajtani, legalább 1 sor
Должна оставаться строка подключения текущего клиента	Kell a kapcsolat sor az aktuális ügyfél
Должно быть передано 2 строки	Át kell vinni a 2 vonalak
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Kell benyújtani, minimum 2 vonalak. Az első vonalban az oszlop nevét, a második a következő adatok ellenőrzéséhez.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	A letöltött tárgy.A Név %1, Írja Be A %2
Загрузил новую версию	Csak letölthető az új verzió
Загрузил снипеты из кеш	Feltöltött a töredék a gyorsítótárból
Закладка с заголовком <%1> не найдена.	Lap a cím <%1> nem található.
Закладка с именем <%1> не найдена.	A könyvjelző nevét <%1> nem található.
Закончились фичи. Не стал назначать раннеру фичу.	Véget ért funkciók. Nem nevez ki a futó funkció.
Закрытие TestClient <%1>	Záró TestClient <%1>
Записал файл статуса билда: %1	A felvett állapot fájl a build: %1
Записался корректный элемент.	Iratkozott fel a megfelelő elemet.
Записываю %1	Rekord %1
Запись действий пользователя закончена.	Rekord felhasználó akcióikkal.
Запись действий пользователя начата.	A rekord a felhasználói tevékenység kezdődött.
Запись действий пользователя приостановлена.	A rekord a felhasználói tevékenység szünetel.
Запись действий пользователя продолжена.	Felvétel felhasználói műveletek folytatódott.
Запускаю генерацию epf.	Indul a termelés a epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Érték (%1) ki van töltve, illetve a várható álláshelyek %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Érték (%1) nem fejeződik be, várható befejezés%2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	Az érték [%1:%2]. Várható <%3>, <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	Az értéket a <%1> nagyobb, vagy egyenlő mint <%2>, várhatóan kevesebb. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	Az értéket a <%1> nagyobb mint <%2>, várhatóan kisebb vagy egyenlő. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	Paraméter érték %1: várható <%2>, <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	Paraméter érték %1: várható substring <%2> <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	Paraméter timeout szám lehet. Elhunyt érték: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	Sachanandani: Kellékek <%1>: <%2> nem találtam.
Изменения формы обработаны.	Változtatni az alakját, kezelt.
Изменилось имя формы: было: %1, стало: %2	Megváltozott a neve, formája: a régi: %1 új: %2
имеет длину	hossza
имеет тип	típusa
Именованная область %1 не найдена;	Egy terület neve '%1 ' nem található
ИмяКомпьютера <%1>; порт <%2>	Számítógépnév <%1>
ИмяПроцедуры	Átkozódó
ИмяФайла	Filename
Искали в %1 подстроку %2, но не нашли.%3	Kerestem %1 substring %2, de nem találtam.%3
Исключение для просмотра значения.	Kivétel megtekintése az érték.
Ищу снипеты в каталоге	Keresek töredék a könyvtárban
Ищу сценарии в каталоге	Keresek szkriptek a könyvtárban
Каталог <%1> не найден.	Könyvtár <%1> nem található.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Könyvtár ЗаписьВидеоКаталогДляВременныхФайлов <%1> nem létezik.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Könyvtár ЗаписьВидеоКаталогДляВременныхФайлов <%1> nincs megadva.
КаталогOutputИнструкцияHTML не задан.	КаталогOutputИнструкцияHTML nem meghatározott.
КаталогOutputИнструкцияMarkdown не задан.	КаталогOutputИнструкцияMarkdown nem meghatározott.
КаталогOutputСкриншоты не задан.	КаталогOutputСкриншоты nem meghatározott.
КаталогДляОбработки=%1	Catalogdisplaymode=%1
Кнопка панели открытых окон <%1> не найдена.	A gomb panel nyissa meg a Windows <%1> nem található.
Кнопка панели разделов <%1> не найдена.	Panel szakaszok <%1> nem található.
Кнопка с именем <%1> не найдена.	Gombot a név <%1> nem található.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	Gombot a név <%1> nem található. Tecomeae=%2
кнопка, которую требуется нажать	a gombra kell kattintani
Кнопка/команда с заголовком <%1> не найдена.	Gomb/parancs fejléc <%1> nem található.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Gomb/parancs fejléc <%1> nem található. Tecomeae=%2
Количество секунд дял подключения TestClient: %1	A másodpercek száma, amíg a kapcsolat TestClient: %1
Команда меню <%1> не найдена в панели функций.	A menü parancs <%1> nem talált a függvény, bár.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	Csapat Ostanovitsya visszaadott visszatérési kód = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	Csapat egyesül mp3-nem hajtották végre. File1=%1, Fájl2=%2, Файл3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	A parancs megszerzésének fájl lista a könyvtár nem sikerül. Könyvtár = %1
Команда системы реализована только под Windows.	A csapat rendszer csak végrehajtott Windows alatt.
Константа %1 не заполнена.	A változó %1 nem kell kitölteni.
КопироватьФайлКомандаСистемы:%1 команда:%2	Copyrightedmaterial:%1 parancs:%2
между	között
меньше	kevesebb,
меньше или равно	kisebb vagy egyenlő
Надо сделать перезапуск фреймворка тестирования.	Ez szükséges ahhoz, hogy indítsa újra a keret vizsgálat.
Найден активный элемент формы	Talált aktív formája elem
Найден упавший сценарий.	Megtalálta a bukott forgatókönyvet.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	Találtam formában: Texttagtable=%1, Formname=%2. Ablak <%3>
Найдено %1 окон.	Talált %1 A Windows.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	Talált több, mint egy űrlap mező a cím <%1>. Javasoljuk, hogy nézd meg az elem nevét.
НачатьЗаписьДействийПользователя:%1	Nachtspeicherheizung:%1
Нашли строки в таблице <%1>:%2	Megtalálta a sor a táblázatban <%1>:%2
не	nem
Не верный формат области <%1>. %2	Nem a megfelelő formátumban régió <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	Nem lehetséges, hogy nyissa ki az absztrakt formája a tárgy link
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	Nem minden szolgáltatás oszlop beállítása. A kérelemben meg kell oszlop %1
не выполнен	nem kivégzett
Не дождались отображения окна TestClient. Таймаут <%1>	Nem várni a kirakatot TestClient. Timeout <%1>
Не задан регистратор для записей регистра %1. Переменная %2	Nem meghatározott Regisztrátor a nyilvántartást a nyilvántartás %1. Változó %2
Не заполнен служебный параметр КаталогИнструментов.	Nem töltötte ki a szolgálati paraméter a Catalogentries.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	Nem ismert típusú opció ПолучитьПредставлениеПараметраПрипереводе() <%1>
Не использовать	Ne használja
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	Nem lehet feltölteni a helyzet a forgatókönyvet, mert át a könyvtár, nem egy fájlt.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	Nem lehet feltölteni a helyzet a forgatókönyvet, mert a könyvtár %1 nem létezik.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	Nem sformirovat jelentés Varázsa. Nincs könyvtár, a kimenet a jelentés.
Не найден Клиент тестирования для подключения..	Nem található TestClient csatlakozni.
Не найден активный элемент формы.	Nem találta meg az aktív formája elem.
НЕ найден инструмент по созданию скриншотов.	NEM találta meg az eszköz létrehozása screenshotok.
Не найден каталог библиотеки: %1	Nem található könyvtár könyvtár: %1
Не найден каталог инструментов: %1	Nem találta meg a tools könyvtárat: %1
Не найден лог перегенерации EPF.	Nem található log EPF regeneráció.
Не найден макет %1 ошибка: %2	Nem találta meg az elrendezés a %1 hiba: %2
Не найден перевод для шага <%1>	Nem találta meg a fordítás lépés <%1>
Не найден пользователь ИБ по имени <%1>	Nem található a felhasználó biztonsági neve <%1>
Не найден профиль Клиента тестирования <%1>	Nincs profil talált TestClient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	Nem találtam meg az utat, hogy a JSON fájlt. Paraméter: VBParams.
Не найден тип шага <%1>	Nem található a lépés típus <%1>
Не найден файл <%1>	A fájl nem található <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	Nem találta meg az elrendezés fájl <%1> a projekt könyvtár <%2>
Не найден файл после распаковки: %1	A fájl nem található kicsomagolás után: %1
Не найден файл словаря замен. <%1>	Nem található a szótárban fájl csere. <%1>
Не найден файл служебной базы. <%1>	A fájl nem található szolgáltatás bázis. <%1>
Не найден файл толстого клиента <%1>	A fájl nem található kövér ügyfél <%1>
Не найден элемент дерева по данным поиска	Nem talált a fa elem szerint a keresést
Не найден элемент Статистика на форме VB.	Az elem nem található Statisztikák a VB formában.
Не найден эталон макета <%1>. Пустой каталог проекта.	Nem találta meg a standard elrendezés <%1>. Egy üres könyvtár projekt.
Не найдена активная форма.	Nem találta meg az aktív formája.
Не найдена группа командного интерфейса <%1>	A csoport nem található parancs interfész <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	Nem sorban találtak a táblázat Danielandamari a <Fájlnév of=az ügyfél>
Не найдена строка примеров во вложенной структуре сценария. <%1>	Nem talált egy sor példát a beágyazott szerkezet a forgatókönyvet. <%1>
Не найдена строка сценария.	Nem található parancsfájl sort.
Не найдена таблица для редактирования.	Nem található a táblázatban, hogy a szerkesztés.
Не найдена установка VLC.	Nem található install VLC.
Не найдено ключевое слово <%1>  для языка <%2>	Nem található <%1> nyelv <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	Soha nem találták meg egy ablak 1C. Egy normális képet.
Не найдено ни одного сообщения пользователю.	Nem található bármely üzenetet a felhasználónak.
Не найдено ни одного сценария. Запись видео невозможна.	Nem egy forgatókönyv. Videó felvétel lehetetlen.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	Nem található bármely sor az ügyfél táblázat teszt, amely tartalmazza a <futó>
Не найдено окно VanessaAutomation в раннере %1	Nem található ablak VanessaBehavior, hogy futó %1
Не найдено окно VanessaAutomation.	Nem található ablak VanessaBehavior.
Не найдено окно предупреждения.	Nem található figyelmeztető ablak.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	Nem találta meg a megfelelő értéket a SPR: Kaspr=%1 Name=%2, Name=%3, Stratovista=%4
Не нашел колонку: %1	Nem található oszlop: %1
Не нашел профиля TestClient с именем <%1>	Nem található TestClient profil neve <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	Nem található TestClient profil neve <%1> bár kell aktív, abban a pillanatban.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	Nem található TestClient profil neve <%1> lezárni.
Не нашел путь к 1cv8c.exe: %1	Nem található elérési útját 1cv8c.exe: %1
Не нашли меню функций раздела.	Megtalálta a menüfunkciók szakasz.
Не нашли окно с заголовком <%1>	Nem található ablak címe <%1>
Не нашли панель открытых окон.	Nem találta meg, hogy bár a nyitott Ablakok.
Не нашли панель разделов.	Nem találta meg a panel szakaszok.
Не нашли профиль <%1> в таблице TestClient.	Nem található a profil <%1> a táblázatban TestClient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	Nem található a profil <%1> a tesztelt példány Vanessa-viselkedés.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	Nem található indítási mód <%1>. Lehet, hogy meg kell adnia egy helyet, például, hogy "Sikerült alkalmazás"
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	Nem található indítási mód <%1>. Lehet, hogy meg kell adnia egy helyet, például a <Sikerült alkalmazás>
Не нашли таблицу с именем <%1>	Nem található a táblázatban a neve <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	Nem található <%1> a gyűjtemény, azt akartam, hogy ez a gyűjtemény.%2
Не обнаружено активное окно.	Nem találta meg az aktív ablak.
Не ожиданное значение у переменной ТипСравнения: <%1>	Nem várható érték változó Tipirovaniya: <%1>
Не описано действие для кнопки <%1>	Nem jellemezte a művelet a gomb <%1>
Не определена фича для выполнения на раннере №0.	Nem meghatározott funkció fut a futó Szám 0.
Не передан каталог фич для обработки. Используется %1\features	- Nem vette át, hogy a funkció a feldolgozás. Segítségével %1\funkciók
Клиент тестирования не подключен.	Nem csatlakoztatott Testclient.
Не получилось закрыть активное окно. %1	Nem sikerült közel az aktív ablak. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	Nem tudom megállapítani, hogy az aktív ablak TestClient a szövegkörnyezetből.
Не получилось определить активное окно Клиента тестирования.	Nem tudom megállapítani, hogy az aktív ablak TestClient.
Не получилось получить значение таблицы <%1>	Nem kap értéket a táblázat <%1>
Не получилось прочитать параметр запуска.	Nem olvastam az indítási paraméter.
Не получилось сделать выбор в поле <%1> значения <%2>. %3	Nem tudta, hogy a választás a mező <%1> <%2>. %3
Не получилось создать тестовый MP3	Nem sikerült létrehozni a teszt MP3
Не реализовано.	Nem hajtották végre.
Не смог в таблице <%1> сделать выбрать из списка выбора <%2> по строке <%3>	Nem a táblázatban <%1> teszi, hogy válassza ki a listából a választási <%2> <%3>
Не смог выделить все строки в таблице <%1>. %2	Nem tudott jelölje minden sorban a táblázatban <%1>. %2
Не смог выполнить команду по получению координат на экране всех окон 1С в панели задач.	Nem tudta végrehajtani a parancsot megszerzésének koordináták a képernyőn az összes Windows a 1S a tálcán.
Не смог выполнить команду. <%1>	Nem tudta végrehajtani a parancsot. <%1>
Не смог вычислить выражение: %1	Nem oldotta meg a kifejezést: %1
Не смог загрузить %1. %2	Nem tudta betölteni %1. %2
Не смог загрузить базу из dt: %1. ПутьКDT: %2. Статус возврата: %3	Nem tudta betölteni adatbázis a dt: %1. ПутьКDT: %2. Vissza állapot: %3
Не смог загрузить снипеты из %1	Nem sikerült betölteni töredék a %1
Не смог закрыть окно %1	Nem zárja be az ablakot %1
Не смог закрыть окно повторно %1	Nem zárja be az ablakot, újra %1
Не смог запустить конфигуратор. <%1>	Nem képes futtatni a Konfigurátor. <%1>
Не смог из переданных параметров JSON определить каталог отчета Allure.	Nem, elhunyt JSON paraméterek meghatározásához, a könyvtár, az Allure jelentés.
Не смог из переданных параметров JSON определить каталог отчета CucumberJson.	Nem, elhunyt JSON paraméterek meghatározásához, a könyvtár, a jelentés CucumberJson.
Не смог из переданных параметров JSON определить каталог отчета jUnit.	Nem, elhunyt JSON paraméterek meghatározásához, a könyvtár, a jUnit jelentés.
Не смог найти данные для подключения профиля клиента тестирования <%1>	Nem találtam adatot, hogy csatlakoztassa az ügyfél profil teszt <%1>
Не смог найти код модуля формы в файле ИмяФайлаФормаУФ.	Nem találom a modul kód formájában a fájlt, Emailform.
Не смог найти открытый конфигуратор.	Nem talált egy nyitott Configurator.
Не смог найти сохранненное значение по переменой <%1>	Nem találtam sohranenie érték a változó <%1>
Не смог обработать XML в UILogToScript.	Nem a folyamat, XML UILogToScript.
Не смог обработать параметры в строке <%1>	Nem tudta feldolgozni a paramétereket sort a <%1>
Не смог определить длительность у файла: %1	Nem tudta meghatározni időtartama fájl: %1
Не смог определить СледующееОжидаемоеКлючевое по: %1	Nem tudta meghatározni Sledujuschaja: %1
Не смог определить следующий шаг для выполнения.	Nem tudta meghatározni, hogy a következő lépést elvégzi.
Не смог определить тип значения для строки: %1	Nem tudta meghatározni érték típus string: %1
Не смог перейти к строке фильтра <%1>	Nem megy a vonal <%1>
Не смог по переменной <%1> найти сохраненное значение.	Nem sikerült a változó <%1> keresse meg a mentett érték.
Не смог подключить TestClient.	Nem tudott csatlakozni TestClient.
Не смог подключить TestClient. Прерывание по таймауту <%1>	Nem tudott csatlakozni TestClient. Félbe timeout <%1>
Не смог подключить обработку <%1>	Nem tudott csatlakozni a feldolgozás <%1>
Не смог подключить профиль TestClient <%1>	Nem tudott csatlakozni profil TestClient <%1>
Не смог подставить в строку параметры: <%1>	Nem meghatározott string paraméterek: <%1>
