Строка поиска	Translation
Каталог <%1> не найден.	Каталог <%1> не е намерен.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не съществува.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не е определен.
КаталогOutputИнструкцияHTML не задан.	КаталогOutputИнструкцияHTML не е зададен.
КаталогOutputИнструкцияMarkdown не задан.	КаталогOutputИнструкцияMarkdown не е зададен.
КаталогOutputСкриншоты не задан.	КаталогOutputСкриншоты не е зададен.
КаталогДляОбработки=%1	КаталогДляОбработки=%1
Кнопка панели открытых окон <%1> не найдена.	Бутон за отворени прозорци <%1> не е намерен.
Кнопка панели разделов <%1> не найдена.	Бутон за лентата с раздели <%1> не е намерен.
Кнопка с именем <%1> не найдена.	Бутон с име <%1> не е намерен.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	Бутон с име <%1> не е намерен. ТекущееОкно=%2
кнопка, которую требуется нажать	бътън, който е необходимо да кликнете
Кнопка/команда с заголовком <%1> не найдена.	Бутон/екип със заглавие <%1> не е намерен.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Бутон/екип със заглавие <%1> не е намерен. ТекущееОкно=%2
Количество секунд дял подключения TestClient: %1	Брой секунди дял свързване TestClient: %1
Команда меню <%1> не найдена в панели функций.	Екипът на меню <%1> не е намерена в лентата с функции.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	Екипът на ОстановитьЗаписьВидео се е върнал код на връщане = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	Екип за обединение на mp3 не е изпълнена. File1=%1, Файл2=%2, Файл3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	Екипът на получаване на списъка с файлове на директорията не е изпълнена. Каталог = %1
Команда системы реализована только под Windows.	Екип, работещ в системата се осъществява само под Windows.
Константа %1 не заполнена.	Разград %1 не е пълен.
КопироватьФайлКомандаСистемы:%1 команда:%2	КопироватьФайлКомандаСистемы:%1 команда:%2
между	между
меньше	по-малко
меньше или равно	по-малко или равно на
Надо сделать перезапуск фреймворка тестирования.	Трябва да рестартиране на фреймворка тестване.
Найден активный элемент формы	Намерен активен елемент на формуляра
Найден упавший сценарий.	Намерени паднали сценарий.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	Намери форма: ТекстЗаголовка=%1, ИмяФормы=%2. Прозорец на <%3>
Найдено %1 окон.	Открит е %1 прозорци.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	Намерени са повече от едно поле на формата със заглавие <%1>. Се препоръчва да се търси елемент на име.
НачатьЗаписьДействийПользователя:%1	НачатьЗаписьДействийПользователя:%1
Нашли строки в таблице <%1>:%2	Намерили ред в таблица <%1>:%2
не	не
Не верный формат области <%1>. %2	Не е сигурен формат областта на <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	Не може да се отвори формата на абстрактен обект, изберете връзка
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	Не всички служебни колона изисква. В заявката задължително трябва да бъде на колони %1
не выполнен	не е направен
Не дождались отображения окна TestClient. Таймаут <%1>	Не чакахме за да се покаже прозорец TestClient. Изчакване <%1>
Не задан регистратор для записей регистра %1. Переменная %2	Не е дървар за записи букви от 1%. Променливата %2
Не заполнен служебный параметр КаталогИнструментов.	Не е изпълнен служебен параметър КаталогИнструментов.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	Не е известен типа на параметъра в ПолучитьПредставлениеПараметраПрипереводе() <%1>
Не использовать	Да Не се използва
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	Не мога да разтоварят статус сценарии, т. к. е посочена директория, а не файл.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	Не мога да разтоварят статус сценарии, т. к. директория %1 не съществува.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	Не мога да сфомировать доклад на Съблазънта. Не съществува каталог за извеждане на отчета.
Не найден Клиент тестирования для подключения..	Не е намерен TestClient за връзка.
Не найден активный элемент формы.	Не е намерен активен елемент на формата.
НЕ найден инструмент по созданию скриншотов.	НЕ е намерен инструмент за създаване на скрийншоти.
Не найден каталог библиотеки: %1	Не е намерен каталог на библиотеката: %1
Не найден каталог инструментов: %1	Не е намерен каталог инструменти: %1
Не найден лог перегенерации EPF.	Не е намерен лог перегенерации EPF.
Не найден макет %1 ошибка: %2	Не е намерен оформление %1 грешка: %2
Не найден перевод для шага <%1>	Не е намерен превод на стъпки за <%1>
Не найден пользователь ИБ по имени <%1>	Не е намерен потребител IB от името на <%1>
Не найден профиль Клиента тестирования <%1>	Не е намерен профил TestClient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	Не е намерен пътя до файла JSON. Параметър: VBParams.
Не найден тип шага <%1>	Не е намерен тип стъпки <%1>
Не найден файл <%1>	Не е намерен файл <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	Не е намерен файл за оформление на <%1> в директорията на проекта <%2>
Не найден файл после распаковки: %1	Не е намерен файл след разархивиране: %1
Не найден файл словаря замен. <%1>	Не е намерен файл на речника заместители. <%1>
Не найден файл служебной базы. <%1>	Не е намерен файл сервизната база. <%1>
Не найден файл толстого клиента <%1>	Не е намерен файл на активите на клиента <%1>
Не найден элемент дерева по данным поиска	Не е намерен елемент дърво според търсене
Не найден элемент Статистика на форме VB.	Не е намерен елемент Статистика на формата на VB.
Не найден эталон макета <%1>. Пустой каталог проекта.	Не е намерен модел на оформление <%1>. Празна директория на проекта.
Не найдена активная форма.	Не са намерени активна форма.
Не найдена группа командного интерфейса <%1>	Не е намерена група от команден интерфейс <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	Не са намерени ред в таблицата ДанныеКлиентовТестирования с <Име=Този клиент>
Не найдена строка примеров во вложенной структуре сценария. <%1>	Не са намерени ред примери вложени в структурата на сценария. <%1>
Не найдена строка сценария.	Не са намерени ред на скрипта.
Не найдена таблица для редактирования.	Не са намерени таблица за редактиране.
Не найдена установка VLC.	Не са намерени инсталиране на VLC.
Не найдено ключевое слово <%1>  для языка <%2>	Не е намерена ключовата дума <%1> език <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	Не е намерен нито един прозорец 1В. Правя обикновен екрана.
Не найдено ни одного сообщения пользователю.	Не е намерено нито едно съобщение на потребителя.
Не найдено ни одного сценария. Запись видео невозможна.	Не е намерен нито един сценарий. Запис на видео невъзможна.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	Не е намерен нито един ред в таблицата клиенти изпитване, която да съдържа <runner>
Не найдено окно VanessaAutomation в раннере %1	Не са намерени прозорец VanessaBehavior в раннере %1
Не найдено окно VanessaAutomation.	Не са намерени прозорец VanessaBehavior.
Не найдено окно предупреждения.	Не са намерени прозорец с предупреждение.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	Не намерих значение подпори от кб: ИмяСпр=%1, Име=%2, ИмяРек=%3, СтроковокПредставление=%4
Не нашел колонку: %1	Не е намерил поле: %1
Не нашел профиля TestClient с именем <%1>	Не намерих профил TestClient с име <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	Не намерих профил TestClient с име <%1> въпреки, че той трябва да бъде активен в даден момент.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	Не намерих профил TestClient с име <%1> за да го затворите.
Не нашел путь к 1cv8c.exe: %1	Не намерил път към 1cv8c.exe: %1
Не нашли меню функций раздела.	Не са намерени меню функции на раздела.
Не нашли окно с заголовком <%1>	Не са намерени прозорец със заглавие <%1>
Не нашли панель открытых окон.	Не са намерени лентата с отворени прозорци.
Не нашли панель разделов.	Не са намерени панел дялове.
Не нашли профиль <%1> в таблице TestClient.	Не са намерени профил на <%1> в таблицата TestClient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	Не са намерени профил на <%1> в тестируемом екземпляр Ванеса-behavior.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	Не са намерени режим на стартиране <%1>. Може би трябва да се уточни с интервал, например, "Контролирано приложение."
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	Не са намерени режим на стартиране <%1>. Може би трябва да се уточни с интервал, например, <Управляват прилагането>
Не нашли таблицу с именем <%1>	Не са намерени таблица с име <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	Не са намерени елементът <%1> в колекции и са искали той да е в колекцията.%2
Не обнаружено активное окно.	Не е установено на активния прозорец.
Не ожиданное значение у переменной ТипСравнения: <%1>	Не ожиданное стойност на променлива ТипСравнения: <%1>
Не описано действие для кнопки <%1>	Не е описан ефект върху бутона за <%1>
Не определена фича для выполнения на раннере №0.	Не е определена функция за извършване на раннере №0.
Не передан каталог фич для обработки. Используется %1\features	Не е предаден каталог функции за обработка. Използва се %1\features
Клиент тестирования не подключен.	Не е свързан Testclient.
Не получилось закрыть активное окно. %1	Не се получава затваряне на активния прозорец. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	Не успя да определи активния прозорец TestClient от Контекста.
Не получилось определить активное окно Клиента тестирования.	Не успя да определи активния прозорец TestClient.
Не получилось получить значение таблицы <%1>	Не се получи стойността на таблицата <%1>
Не получилось прочитать параметр запуска.	Не успя да прочетете параметър.
Не получилось сделать выбор в поле <%1> значения <%2>. %3	Не успя да направи избор в полето за <%1> стойността на <%2>. %3
Не получилось создать тестовый MP3	Не се създаде тест MP3
Не реализовано.	Не се реализира.
Не смог в таблице <%1> сделать выбрать из списка выбора <%2> по строке <%3>	Не успя в таблицата <%1> да изберете от списъка изберете <%2> ред <%3>
Не смог выделить все строки в таблице <%1>. %2	Не успя да маркирате всички редове в таблицата <%1>. %2
Не смог выполнить команду по получению координат на экране всех окон 1С в панели задач.	Не може да се изпълни командата за получаване на координати на екрана на всички прозорци 1C в лентата на задачите.
Не смог выполнить команду. <%1>	Не може да се изпълни командата. <%1>
Не смог вычислить выражение: %1	Не бях в състояние да се изчисли от израза: %1
Не смог загрузить %1. %2	Не можа да се зареди %1. %2
Не смог загрузить базу из dt: %1. ПутьКDT: %2. Статус возврата: %3	Не можа да се зареди базата от dt: %1. ПутьКDT: %2. Статус на връщане: %3
Не смог загрузить снипеты из %1	Не може да изтегли снипеты от %1
Не смог закрыть окно %1	Не успя да затвори прозореца %1
Не смог закрыть окно повторно %1	Не успя да затвори прозореца повторно %1
Не смог запустить конфигуратор. <%1>	Не бях в състояние да изпълни конфигуратор. <%1>
Не смог из переданных параметров JSON определить каталог отчета Allure.	Не е успял изпратени параметър JSON определи каталог доклад на Съблазънта.
Не смог из переданных параметров JSON определить каталог отчета CucumberJson.	Не е успял изпратени параметър JSON определи каталог доклад CucumberJson.
Не смог из переданных параметров JSON определить каталог отчета jUnit.	Не е успял изпратени параметър JSON определи каталог доклад jUnit.
Не смог найти данные для подключения профиля клиента тестирования <%1>	Не можах да намеря данни за свързване на профил на клиента тестване <%1>
Не смог найти код модуля формы в файле ИмяФайлаФормаУФ.	Не можах да намеря кода за модул форма във файла ИмяФайлаФормаУФ.
Не смог найти открытый конфигуратор.	Не можа да се намери на открито конфигуратор.
Не смог найти сохранненное значение по переменой <%1>	Не можа да намери сохранненное стойност на промяна <%1>
Не смог обработать XML в UILogToScript.	Не е в състояние да обработва XML UILogToScript.
Не смог обработать параметры в строке <%1>	Не можах да се справя опции в лентата за <%1>
Не смог определить длительность у файла: %1	Не можа да определи продължителността на край на файл: %1
Не смог определить СледующееОжидаемоеКлючевое по: %1	Не успя да СледующееОжидаемоеКлючевое: %1
Не смог определить следующий шаг для выполнения.	Не можах да определя следващата стъпка за изпълнение.
Не смог определить тип значения для строки: %1	Не можа да определи вида на стойностите на ред: %1
Не смог перейти к строке фильтра <%1>	Не успя да преминете към лентата на филтър <%1>
Не смог по переменной <%1> найти сохраненное значение.	Не бях в състояние на променливата <%1> вижте запазена.
Не смог подключить TestClient.	Не е в състояние да включите TestClient.
Не смог подключить TestClient. Прерывание по таймауту <%1>	Не е в състояние да включите TestClient. Прекъсване на таймауту <%1>
Не смог подключить обработку <%1>	Не е в състояние да включите обработка на <%1>
Не смог подключить профиль TestClient <%1>	Не е в състояние да включите профил TestClient <%1>
Не смог подставить в строку параметры: <%1>	Не успя да замени в ред параметри: <%1>
Не смог получить данные файла <%1>	Не може да получи данните на файла <%1>
Не смог получить значение из строки запуска	Не бях в състояние да получи стойността от ред на стартиране
Не смог получить значение поля <%1> у таблицы <%2>.%3	Не бях в състояние да получи стойността <%1> таблицата <%2>.%3
Не смог получить значение таблицы <%1>	Не бях в състояние да получи стойността на таблицата <%1>
Не смог получить значение табличного документа <%1>	Не бях в състояние да получи стойността на таблицата на документа <%1>
Не смог получить количество строк у таблицы <%1>	Не бях в състояние да получи броя на редовете от таблицата <%1>
Не смог получить макет %1	Не бях в състояние да получи оформление %1
Не смог получить состяние таблицы <%1>	Не може да Не состяние таблица <%1>
Не смог получить строки таблицы <%1>	Не бях в състояние да получи ред от таблица <%1>
Не смог получить строки таблицы.	Не бях в състояние да получи ред от таблица.
Не смог получить строки ТЧ <%1>	Не бях в състояние да получи ред ФПЧ <%1>
