Строка поиска	Translation
Выпадающий список с именем <%1> не найден.	Una lista desplegable con el nombre de <%1> no se ha encontrado.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Ejecución de secuencias de comandos terminado. HA SIDO UN ERROR.
Выполнение сценариев закончено. Ошибок не было.	Ejecución de secuencias de comandos terminado. No se producen errores.
Выполняю	Hago
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	La expresión <%1> resultó igual a <%2>, y se espera <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Generador de diseño a partir de datos reales: No sé manejar este tipo de <%1>
ГолосовойДвижок - OK	ГолосовойДвижок - OK
Группа с заголовком <%1> не найдена.	El grupo con el título de <%1> no se ha encontrado.
Группа с именем <%1> не найдена.	El grupo con el nombre de <%1> no se ha encontrado.
Данные по основному подключению Клиента тестирования перезаполнены.	Los datos de la conexión Testclient перезаполнены.
Данный шаг не работает с таблицами.	Este paso no funciona con tablas.
ДатаВремяОшибки	ДатаВремяОшибки
Делаю общий скриншот.	Hago el total de la captura de pantalla.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Hago un reinicio de TESTCLIENT. ОписаниеОшибки=%1
Делаю распаковку %1	Hago la descompresión %1
Делаю скриншот.	Hago una captura de pantalla.
Делаю скриншоты всех окон 1С.	Hago capturas de pantalla de todas las ventanas de 1S.
Длительность MP3 = 0. Файл=%1	La duración del MP3 = 0. Archivo=%1
Для <%1> не найдено документа основания	Para <%1> no se encuentra el documento de la fundación
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	Para la generación de la EPF debe ser instalado 1Script. En el cmd se debe ejecutar el comando: oscript
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	Para conectar con el nombre de <%1> cambiar el puerto de conexión, el puerto especificado ya existe en la tabla de conexiones.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	Para cada celda de la tabla <%1> el valor actual es <%2>, y se espera <%3>
Для шага <%1> не найден EPF файл.	Para el paso de la <%1> no se ha encontrado el archivo EPF.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	Para el elemento de formulario %1 el valor actual es <%2>, y se espera <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	Para la celda <%1> tabla <%2> el valor actual es <%3>, y se espera <%4>
Добавил шаг: %1	Agregó paso: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Debe ser transferida a un mínimo de 1 línea
Должна оставаться строка подключения текущего клиента	Debe mantenerse la cadena de conexión del cliente actual
Должно быть передано 2 строки	Debe ser transferida a la línea 2
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Deben ser transferidos a un mínimo de 2 líneas. La primera fila con los nombres de las columnas, el segundo y los siguientes datos para el análisis.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	Objeto cargado.Nombre %1, Tipo %2
Загрузил новую версию	Subido una nueva versión de
Загрузил снипеты из кеш	Subido снипеты de la memoria caché
Закладка с заголовком <%1> не найдена.	La pestaña con el título de <%1> no se ha encontrado.
Закладка с именем <%1> не найдена.	La pestaña con el nombre de <%1> no se ha encontrado.
Закончились фичи. Не стал назначать раннеру фичу.	Terminaron el slave. No se volvió a nombrar раннеру фичу.
Закрытие TestClient <%1>	El Cierre De TestClient <%1>
Записал файл статуса билда: %1	Grabado el archivo de estado de compilación: %1
Записался корректный элемент.	Se ha inscrito correctamente el elemento.
Записываю %1	Grabo %1
Запись действий пользователя закончена.	Grabación de acciones de usuario ha terminado.
Запись действий пользователя начата.	Grabación de acciones de usuario se ha iniciado.
Запись действий пользователя приостановлена.	Grabación de acciones de usuario suspendido.
Запись действий пользователя продолжена.	Grabación de acciones de usuario continuar.
Запускаю генерацию epf.	Ejecuto la generación de epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Valor (%1) está en blanco y se esperaba незаполненность %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Valor (%1) no está completo, y se esperaba tasa de ocupación%2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	El valor [%1:%2]. Se espera <%3>, y han recibido <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	El valor de la <%1> mayor o igual que <%2>, y se esperaba menos. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	El valor de la <%1> mayor que <%2>, y se esperaba menos o igual. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	El valor del parámetro %1: se espera <%2>, recibieron <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	El valor del parámetro %1: esperaban la subcadena de la <%2>, en el <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	El valor de tiempo de espera de espera debe ser un número. El valor pasado: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	ЗначениеНеНайдено: Accesorios <%1>: Buscando el valor de la <%2>, pero no se encontró.
Изменения формы обработаны.	Cambio de la forma de procesar.
Изменилось имя формы: было: %1, стало: %2	Ha cambiado el nombre de la forma: es: %1, es: %2
имеет длину	tiene una longitud de
имеет тип	es de tipo
Именованная область %1 не найдена;	Ámbito %1 no se ha encontrado
ИмяКомпьютера <%1>; порт <%2>	Nombredeequipo <%1>
ИмяПроцедуры	ИмяПроцедуры
ИмяФайла	Nombredearchivo
Искали в %1 подстроку %2, но не нашли.%3	Buscando en %1 subcadena %2, pero no se encontró.%3
Исключение для просмотра значения.	La excepción para ver los valores.
Ищу снипеты в каталоге	Busco снипеты en el directorio
Ищу сценарии в каталоге	Busco secuencias de comandos en el directorio
Каталог <%1> не найден.	El directorio <%1> no se ha encontrado.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не существует.	Directorio de ЗаписьВидеоКаталогДляВременныхФайлов <%1> no existe.
Каталог ЗаписьВидеоКаталогДляВременныхФайлов <%1> не указан.	Directorio de ЗаписьВидеоКаталогДляВременныхФайлов <%1> no se especifica.
КаталогOutputИнструкцияHTML не задан.	КаталогOutputИнструкцияHTML no se especifica.
КаталогOutputИнструкцияMarkdown не задан.	КаталогOutputИнструкцияMarkdown no se especifica.
КаталогOutputСкриншоты не задан.	КаталогOutputСкриншоты no se especifica.
КаталогДляОбработки=%1	КаталогДляОбработки=%1
Кнопка панели открытых окон <%1> не найдена.	El botón de la barra de ventanas abiertas <%1> no se ha encontrado.
Кнопка панели разделов <%1> не найдена.	El botón de la barra de las secciones <%1> no se ha encontrado.
Кнопка с именем <%1> не найдена.	El botón con el nombre de <%1> no se ha encontrado.
Кнопка с именем <%1> не найдена. ТекущееОкно=%2	El botón con el nombre de <%1> no se ha encontrado. ТекущееОкно=%2
кнопка, которую требуется нажать	el botón que desea hacer clic
Кнопка/команда с заголовком <%1> не найдена.	Botón/comando con el título de <%1> no se ha encontrado.
Кнопка/команда с заголовком <%1> не найдена. ТекущееОкно=%2	Botón/comando con el título de <%1> no se ha encontrado. ТекущееОкно=%2
Количество секунд дял подключения TestClient: %1	El número de segundos para la conexión TestClient: %1
Команда меню <%1> не найдена в панели функций.	El comando de menú <%1> no se encuentra en la barra de funciones.
Команда ОстановитьЗаписьВидео вернула код возврата = %1	El equipo de ОстановитьЗаписьВидео devolvió el código de retorno = %1
Команда по объединению mp3 не выполнена. Файл1=%1, Файл2=%2, Файл3=%3	El equipo de la unificación de mp3 no se realizó. Fichero1=%1, Archivo2=%2, Файл3=%3
Команда по получению списка файлов каталога не выполнена. Каталог = %1	El equipo de obtención de la lista de archivos, el directorio no realizó. Directorio = %1
Команда системы реализована только под Windows.	El comando del sistema sólo está disponible en Windows.
Константа %1 не заполнена.	La constante %1 no está llena.
КопироватьФайлКомандаСистемы:%1 команда:%2	КопироватьФайлКомандаСистемы:%1 comando:%2
между	entre
меньше	menos
меньше или равно	menor o igual a
Надо сделать перезапуск фреймворка тестирования.	Es necesario hacer un restart del framework de pruebas.
Найден активный элемент формы	Se ha encontrado el elemento activo de la forma
Найден упавший сценарий.	Se ha encontrado que ha caído la secuencia de comandos.
Найдена форма: ТекстЗаголовка=%1, ИмяФормы=%2. Окно <%3>	Se puede encontrar el formulario: ТекстЗаголовка=%1, Nombreform=%2. La ventana de <%3>
Найдено %1 окон.	Encontrados %1 de las ventanas.
Найдено более одного поля формы с заголовком <%1>. Рекомендуется искать элемент по имени.	Encuentra más de un campo de formulario con el título <%1>. Se recomienda buscar un elemento por su nombre.
НачатьЗаписьДействийПользователя:%1	НачатьЗаписьДействийПользователя:%1
Нашли строки в таблице <%1>:%2	Han encontrado una fila en una tabla <%1>:%2
не	no
Не верный формат области <%1>. %2	No válido <%1>. %2
Не возможно открыть форму абстрактного объекта, укажите ссылку	No es posible abrir la forma del objeto abstracto, escriba el enlace
Не все служебные колонки заданы. В запросе обязательно должны быть колонки %1	No todas las utilidades de la columna se especifican. En la consulta deben ser la columna %1
не выполнен	no se ha iniciado
Не дождались отображения окна TestClient. Таймаут <%1>	No han esperado a la visualización de la ventana TestClient. El tiempo de espera <%1>
Не задан регистратор для записей регистра %1. Переменная %2	No se especifica el registrador para los registros de mayúsculas y minúsculas %1. La variable %2
Не заполнен служебный параметр КаталогИнструментов.	No se llena el parámetro de servicio КаталогИнструментов.
Не известный тип параметра в ПолучитьПредставлениеПараметраПриПереводе() <%1>	No se conoce el tipo de parámetro en ПолучитьПредставлениеПараметраПрипереводе() <%1>
Не использовать	No utilizar
Не могу выгрузить статус сценариев, т.к. был передан каталог, а не файл.	No puedo descargar el estado de los escenarios, ya que fue remitido al directorio, y no el archivo.
Не могу выгрузить статус сценариев, т.к. каталог %1 не существует.	No puedo descargar el estado de los escenarios, ya que el directorio %1 no existe.
Не могу сфомировать отчет Allure. Не существует каталог для вывода отчета.	No puedo сфомировать informe Allure. No existe un directorio para emitir un informe.
Не найден Клиент тестирования для подключения..	No se ha encontrado TestClient para la conexión.
Не найден активный элемент формы.	No se ha encontrado el elemento activo de la forma.
НЕ найден инструмент по созданию скриншотов.	NO se ha encontrado la herramienta de creación de capturas de pantalla.
Не найден каталог библиотеки: %1	No se ha encontrado el catálogo de la biblioteca: %1
Не найден каталог инструментов: %1	No se ha encontrado el directorio de herramientas: %1
Не найден лог перегенерации EPF.	No se ha encontrado el log de перегенерации EPF.
Не найден макет %1 ошибка: %2	No se ha encontrado el diseño de %1 error: %2
Не найден перевод для шага <%1>	No se encontró la traducción para el paso de la <%1>
Не найден пользователь ИБ по имени <%1>	No se ha encontrado el usuario ib por el nombre de <%1>
Не найден профиль Клиента тестирования <%1>	No se ha encontrado el perfil de TestClient <%1>
Не найден путь к файлу JSON. Параметр: VBParams.	No se ha encontrado la ruta de acceso al archivo JSON. Opción: VBParams.
Не найден тип шага <%1>	No se ha encontrado el tipo de paso de <%1>
Не найден файл <%1>	No se ha encontrado el archivo <%1>
Не найден файл макета <%1> в каталоге проекта <%2>	No se ha encontrado el archivo de diseño de la <%1> en el directorio del proyecto <%2>
Не найден файл после распаковки: %1	No se ha encontrado el archivo tras descomprimir: %1
Не найден файл словаря замен. <%1>	No se ha encontrado el archivo de diccionario de las sustituciones. <%1>
Не найден файл служебной базы. <%1>	No se ha encontrado el archivo de la utilidad de la base. <%1>
Не найден файл толстого клиента <%1>	No se ha encontrado el archivo de cliente grueso <%1>
Не найден элемент дерева по данным поиска	No se ha encontrado el elemento de la madera de los datos de la búsqueda
Не найден элемент Статистика на форме VB.	No se ha encontrado el elemento de Estadísticas en el formulario de VB.
Не найден эталон макета <%1>. Пустой каталог проекта.	No se ha encontrado un patrón de diseño <%1>. Vacía el directorio del proyecto.
Не найдена активная форма.	No se ha encontrado la forma activa.
Не найдена группа командного интерфейса <%1>	No se ha encontrado el grupo de interfaz de línea de comandos <%1>
Не найдена строка в таблице ДанныеКлиентовТестирования с <Имя=Этот клиент>	No se encontró fila en la tabla ДанныеКлиентовТестирования con <Nombre=Este cliente>
Не найдена строка примеров во вложенной структуре сценария. <%1>	No se ha encontrado la cadena de ejemplos en una subcarpeta de la estructura de la secuencia de comandos. <%1>
Не найдена строка сценария.	No se ha encontrado la línea de comandos.
Не найдена таблица для редактирования.	No se encuentra el cuadro de edición.
Не найдена установка VLC.	No se encontró instalación de VLC.
Не найдено ключевое слово <%1>  для языка <%2>	No se encuentra la palabra clave <%1> idioma <%2>
Не найдено ни одного окна 1С. Делаю обычный скриншот.	No se encontró ninguna ventana de 1S. Hago normal captura de pantalla.
Не найдено ни одного сообщения пользователю.	No se ha encontrado ningún mensaje al usuario.
Не найдено ни одного сценария. Запись видео невозможна.	No se encuentra ninguna secuencia de comandos. La grabación de vídeo no es posible.
Не найдено ни одной строки в таблице клиентов тестирования, которая бы содержала <runner>	No se encuentra ninguna fila en la tabla clientes de la prueba, que contenía <runner>
Не найдено окно VanessaAutomation в раннере %1	No se encuentra la ventana de VanessaBehavior en runner %1
Не найдено окно VanessaAutomation.	No se encuentra la ventana de VanessaBehavior.
Не найдено окно предупреждения.	No se encuentra una ventana de advertencia.
Не нашел значение реквизита у спр: ИмяСпр=%1, Наименование=%2, ИмяРек=%3, СтроковокПредставление=%4	No se ha encontrado el valor de los accesorios de el sbp: ИмяСпр=%1, Nombre=%2, Fulano=%3, СтроковокПредставление=%4
Не нашел колонку: %1	No se ha encontrado columna: %1
Не нашел профиля TestClient с именем <%1>	No se ha encontrado el perfil de TestClient con el nombre de <%1>
Не нашел профиля TestClient с именем <%1> хотя он должен быть активным в данный момент.	No se ha encontrado el perfil de TestClient con el nombre de <%1> a pesar de que debe de ser activo en este momento.
Не нашел профиля TestClient с именем <%1> чтобы его закрыть.	No se ha encontrado el perfil de TestClient con el nombre de <%1> para cerrar.
Не нашел путь к 1cv8c.exe: %1	No se ha encontrado la ruta de acceso a 1cv8c.exe: %1
Не нашли меню функций раздела.	No se han encontrado menú de funciones de la sección.
Не нашли окно с заголовком <%1>	No se han encontrado ventana con el título <%1>
Не нашли панель открытых окон.	No se han encontrado panel de ventanas abiertas.
Не нашли панель разделов.	No se han encontrado barra de secciones.
Не нашли профиль <%1> в таблице TestClient.	No se han encontrado perfil <%1> en la tabla TestClient.
Не нашли профиль <%1> в тестируемом экземпляре Vanessa-behavior.	No se han encontrado perfil <%1> en el listado de la instancia de Vanessa-behavior.
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, "Управляемое приложение"	No han encontrado el modo de inicio <%1>. Es posible que tenga que especificar con un espacio, por ejemplo, "la aplicación no Administrada"
Не нашли режим запуска <%1>. Возможно, нужно указать с пробелом, например, <Управляемое приложение>	No han encontrado el modo de inicio <%1>. Es posible que tenga que especificar con un espacio, por ejemplo, <una aplicación Administrada>
Не нашли таблицу с именем <%1>	No han encontrado una tabla con el nombre de <%1>
Не нашли элемент <%1> в коллекции, а хотели, чтобы он был в коллекции.%2	No ha encontrado el elemento <%1> en la colección, y querían que él estaba en la colección.%2
Не обнаружено активное окно.	No se ha detectado la ventana activa.
Не ожиданное значение у переменной ТипСравнения: <%1>	No ожиданное el valor de la variable ТипСравнения: <%1>
Не описано действие для кнопки <%1>	No se explica de acción para el botón <%1>
Не определена фича для выполнения на раннере №0.	No se define una ficha para la ejecución de la runner nº 0.
Не передан каталог фич для обработки. Используется %1\features	No se pasa el catálogo de funciones para el procesamiento. Se utiliza %1\features
Клиент тестирования не подключен.	No está conectado Testclient.
Не получилось закрыть активное окно. %1	No pude cerrar la ventana activa. %1
Не получилось определить активное окно Клиента тестирования из Контекста.	No pude determinar la ventana activa TestClient de Contexto.
Не получилось определить активное окно Клиента тестирования.	No pude determinar la ventana activa TestClient.
Не получилось получить значение таблицы <%1>	No pude obtener el valor de la tabla <%1>
Не получилось прочитать параметр запуска.	No pude leer el parámetro de inicio.
Не получилось сделать выбор в поле <%1> значения <%2>. %3	No pude hacer la selección en el campo <%1> valores <%2>. %3
Не получилось создать тестовый MP3	No pude crear un MP3
Не реализовано.	No se ha implementado.
Не смог в таблице <%1> сделать выбрать из списка выбора <%2> по строке <%3>	No pudo en la tabla <%1> hacer seleccionar de la lista de selección <%2> en la línea <%3>
Не смог выделить все строки в таблице <%1>. %2	No fue capaz de seleccionar todas las filas de la tabla <%1>. %2
Не смог выполнить команду по получению координат на экране всех окон 1С в панели задач.	No se pudo ejecutar el comando de obtención de coordenadas en la pantalla todas las ventanas de 1S en la barra de tareas.
Не смог выполнить команду. <%1>	No se pudo ejecutar el comando. <%1>
Не смог вычислить выражение: %1	No se pudo calcular por la expresión: %1
Не смог загрузить %1. %2	No se pudo cargar el 1 por ciento. %2
Не смог загрузить базу из dt: %1. ПутьКDT: %2. Статус возврата: %3	No se pudo cargar la base de dt: %1. ПутьКDT: %2. El estado de retorno: %3
Не смог загрузить снипеты из %1	No se pudo cargar el снипеты de %1
Не смог закрыть окно %1	No pudo cerrar la ventana %1
Не смог закрыть окно повторно %1	No pudo cerrar la ventana vuelva a %1
Не смог запустить конфигуратор. <%1>	No fue capaz de ejecutar el configurador. <%1>
Не смог из переданных параметров JSON определить каталог отчета Allure.	No pudo de los parámetros pasados, JSON determinar la carpeta de informe Allure.
Не смог из переданных параметров JSON определить каталог отчета CucumberJson.	No pudo de los parámetros pasados, JSON determinar la carpeta de informe CucumberJson.
Не смог из переданных параметров JSON определить каталог отчета jUnit.	No pudo de los parámetros pasados, JSON determinar la carpeta de informe de jUnit.
Не смог найти данные для подключения профиля клиента тестирования <%1>	No es capaz de encontrar los datos para la conexión de un perfil de cliente de prueba <%1>
Не смог найти код модуля формы в файле ИмяФайлаФормаУФ.	No se pudo encontrar el módulo de código de formulario en un archivo ИмяФайлаФормаУФ.
Не смог найти открытый конфигуратор.	No pude encontrar una piscina al aire configurador.
Не смог найти сохранненное значение по переменой <%1>	No se pudo encontrar сохранненное el valor de la variable <%1>
Не смог обработать XML в UILogToScript.	No se pudo procesar el XML en UILogToScript.
Не смог обработать параметры в строке <%1>	No pudo procesar la configuración en la barra de <%1>
Не смог определить длительность у файла: %1	No se puede determinar la duración de el archivo: %1
Не смог определить СледующееОжидаемоеКлючевое по: %1	No se puede determinar el СледующееОжидаемоеКлючевое de: %1
Не смог определить следующий шаг для выполнения.	No se pudo determinar el siguiente paso de ejecución.
Не смог определить тип значения для строки: %1	No se pudo determinar el tipo de valor de la cadena: %1
Не смог перейти к строке фильтра <%1>	No pudo ir a la línea de filtro <%1>
