Шаг оригинал	Описание	Перевод шага	Перевод описания	
Запомнить значение поля	Категория шагов	Rețineți valoarea câmpului	Categoria pasilor	
Запомнить значение таблицы	Категория шагов	Rețineți valoarea tabelului	Categoria pasilor	
Запомнить имя поля	Категория шагов	Rețineți numele câmpului	Categoria pasilor	
Зафиксировать форму	Категория шагов	Ficsați forma	Categoria pasilor	
Значение выпадающего списка	Категория шагов	Valoarea listei derulate	Categoria pasilor	
Значение поля	Категория шагов	Semnificația rândului	Categoria pasilor	
Значение ячейки таблицы	Категория шагов	Valoarea celulei tabelului	Categoria pasilor	
Иерархический список	Категория шагов	Lista ierarhică	Categoria pasilor	
Имя формы	Категория шагов	Denumirea formei	Categoria pasilor	
Исключения	Категория шагов	Excepție	Categoria pasilor	
Календарь	Категория шагов	Calendar	Categoria pasilor	
Кнопка выбора	Категория шагов	Buton de selectare	Categoria pasilor	
Кнопки	Категория шагов	Butoane	Categoria pasilor	
Количество строк	Категория шагов	Numărul de rânduri	Categoria pasilor	
Колонки	Категория шагов	Coloana	Categoria pasilor	
Командный интерфейс	Категория шагов	Interfața de comenzi	Categoria pasilor	
Контекст	Категория шагов	Context	Categoria pasilor	
Контекст сохраняемый	Категория шагов	Contextul salvat	Categoria pasilor	
Контекстное меню	Категория шагов	Meniul de context	Categoria pasilor	
Лог	Категория шагов	Log	Categoria pasilor	
Макет	Категория шагов	Schemă	Categoria pasilor	
Нет одинаковых сообщений	Категория шагов	Nu există mesaje identice	Categoria pasilor	
Новое подключение к базе	Категория шагов	O nouă conexiune la baza de date	Categoria pasilor	
Новое подключение к той же базе, где запущен TestManager	Категория шагов	O nouă conexiune la aceeași bază de date care se execută prin TestManager	Categoria pasilor	
Нумерация	Категория шагов	Numerotare	Categoria pasilor	
Область	Категория шагов	Regiune	Categoria pasilor	
Область чтения	Категория шагов	Zona de citire	Categoria pasilor	
Ожидание доступности элемента	Категория шагов	Așteaptarea elementelor disponibile	Categoria pasilor	
Ожидание значения	Категория шагов	Așteptarea valorii	Categoria pasilor	
Ожидание значения таблицы	Категория шагов	Așteptarea valorii tabelului	Categoria pasilor	
Ожидание значения элемента	Категория шагов	Așteptarea însemnării elementului	Categoria pasilor	
Ожидание значения ячейки таблицы	Категория шагов	Așteptarea valorii celulei tabelului	Categoria pasilor	
Ожидание появления элемента	Категория шагов	Așteptarea apariției elementului	Categoria pasilor	
Ожидание сообщения	Категория шагов	Așteptarea mesajului	Categoria pasilor	
Окна	Категория шагов	ferestre	Categoria pasilor	
Окно	Категория шагов	fereastră	Categoria pasilor	
Остановить выполнение сценариев	Категория шагов	Opriți executarea scriptului	Categoria pasilor	
Открыть	Категория шагов	Deschide	Categoria pasilor	
Открыть картинку	Категория шагов	Deschid imaginea	Categoria pasilor	
Открыть список	Категория шагов	Deschid lista	Categoria pasilor	
Открыть форму объекта	Категория шагов	Deschideți forma obiectului	Categoria pasilor	
Отчеты	Категория шагов	Rapoarte	Categoria pasilor	
Очистить поле	Категория шагов	Ștergeți cîmpul	Categoria pasilor	
Очистка окна сообщений	Категория шагов	Ștergerea ferestrei de mesaje	Categoria pasilor	
Пакетный режим	Категория шагов	Regim de pachete de date	Categoria pasilor	
Панель открытых	Категория шагов	Panoul deschis	Categoria pasilor	
Панель разделов	Категория шагов	Panoul de rubrici	Categoria pasilor	
Панель функций	Категория шагов	Panoul de funcții	Categoria pasilor	
Перебор массива	Категория шагов	Alegeti multimea	Categoria pasilor	
Перебор строк	Категория шагов	Alegerea liniilor	Categoria pasilor	
Перейти к следующему реквизиту	Категория шагов	Mergeți la recuzita următoare	Categoria pasilor	
Переключатели	Категория шагов	RadioButon	Categoria pasilor	
Переменные среды	Категория шагов	Variabile de mediu	Categoria pasilor	
Переход к строке	Категория шагов	Trecerea la rînd	Categoria pasilor	
Переход к ячейке	Категория шагов	Trecerea la celulă	Categoria pasilor	
Подключение TestClient	Категория шагов	Conectarea TestClient	Categoria pasilor	
Подсказка	Категория шагов	Indiciu	Categoria pasilor	
Поле таблицы	Категория шагов	Câmpul tabelului	Categoria pasilor	
Поле формы	Категория шагов	Câmpul formei	Categoria pasilor	
Поля	Категория шагов	cîmp	Categoria pasilor	
Представление элемента	Категория шагов	Vizualizare element	Categoria pasilor	
Проверка видимости	Категория шагов	Verificarea vizibilității	Categoria pasilor	
Проверка доступности	Категория шагов	Verificarea accesibilitații	Categoria pasilor	
Проверка значений именнованных областей	Категория шагов	Verificarea valorilor ariilor denumite	Categoria pasilor	
Проверка значения	Категория шагов	Verificarea semnificației	Categoria pasilor	
Проверка значения колонки таблицы	Категория шагов	Verificarea valorii coloanei tabelului	Categoria pasilor	
Проверка значения поля	Категория шагов	Verificarea semnificației câmpului	Categoria pasilor	
Проверка значения таблицы	Категория шагов	Verificarea valorii tabelului	Categoria pasilor	
Проверка значения табличного документа	Категория шагов	Verificarea valorii documentului tabelar	Categoria pasilor	
Проверка значения текущей строки таблицы	Категория шагов	Verificarea valoarea rîndului din tabelul curent	Categoria pasilor	
Проверка колонки	Категория шагов	Verificarea coloanei	Categoria pasilor	
Проверка на пустоту	Категория шагов	Verificarea locului gol	Categoria pasilor	
Проверка отсутствия сообщений	Категория шагов	Verificarea lipsei mesajelor	Categoria pasilor	
Проверка режима совестимости	Категория шагов	Verificarea regimului compatibilității	Categoria pasilor	
Проверка состава колонок	Категория шагов	Verificați compoziția coloanelor	Categoria pasilor	
Проверка существования	Категория шагов	Verificarea existenței	Categoria pasilor	
Проверка текста сообщений	Категория шагов	Verificarea textului mesajului	Categoria pasilor	
Проверка типа TestClient	Категория шагов	Verificarea tipului TestClient	Categoria pasilor	
Произвольная база	Категория шагов	Baza arbitrara	Categoria pasilor	
Произвольная строка	Категория шагов	Șir arbitrar	Categoria pasilor	
Просмотр	Категория шагов	Vizionare	Categoria pasilor	
Прочее	Категория шагов	Altele	Categoria pasilor	
Прочитать значение	Категория шагов	citește valoarea	Categoria pasilor	
Работа с подключенными TestClient	Категория шагов	Lucrul cu TestClient conectat	Categoria pasilor	
Равенство по шаблону	Категория шагов	Egalitate după șablon	Categoria pasilor	
Развернуть/Свернуть	Категория шагов	Deschide/închide	Categoria pasilor	
Развернуть/свернуть группу	Категория шагов	Deschide/închide grupa	Categoria pasilor	
Редактирование строки	Категория шагов	Redactarea rîndului	Categoria pasilor	
Результат выполнения сценария	Категория шагов	Rezultatul execuției scripturilor	Categoria pasilor	
Результат выражения в поле	Категория шагов	Rezultatul expresiei în cîmp	Categoria pasilor	
Реквизиты	Категория шагов	Atribute	Categoria pasilor	
Сделать паузу	Категория шагов	Faceți o pauza	Categoria pasilor	
Содержит значения	Категория шагов	Conține valori	Categoria pasilor	
Содержит строки	Категория шагов	Conține șiruri	Categoria pasilor	
Содержит текст	Категория шагов	Conține text	Categoria pasilor	
Содержит элементы	Категория шагов	Conține elemente	Categoria pasilor	
Создать	Категория шагов	Creare	Categoria pasilor	
Сообщения пользователю	Категория шагов	Mesaje pentru utilzator	Categoria pasilor	
Сохранить в переменную	Категория шагов	Salvați in variabila	Categoria pasilor	
Сохранить в файл	Категория шагов	Salvați în fișier	Categoria pasilor	
Сохранить значение	Категория шагов	Salvați valoarea	Categoria pasilor	
Сравнить табличные документы	Категория шагов	Compararea documentelor tabelare	Categoria pasilor	
Строки	Категория шагов	rînduri	Categoria pasilor	
Таблица	Категория шагов	Tabel	Categoria pasilor	
Таблица Gherkin	Категория шагов	Tabel Gherkin	Categoria pasilor	
Таблицы	Категория шагов	Tabele	Categoria pasilor	
Табличный документ	Категория шагов	Document tabelar	Categoria pasilor	
Текущая база	Категория шагов	Baza actuala	Categoria pasilor	
Текущая страница	Категория шагов	Pagina curentă	Categoria pasilor	
Текущая строка	Категория шагов	Linia curentă	Categoria pasilor	
Текущее окно	Категория шагов	Fereastra curenta	Categoria pasilor	
Точное значение	Категория шагов	Valoarea exactă	Categoria pasilor	
Точное равенство	Категория шагов	Egalitate exactă	Categoria pasilor	
Увеличить значение	Категория шагов	Creșteți valoarea	Categoria pasilor	
Удаление строк	Категория шагов	Ștergerea rândurilor	Categoria pasilor	
Удалить строку	Категория шагов	Șterge rândul	Categoria pasilor	
Уменьшить значение	Категория шагов	Reduceți valoarea	Categoria pasilor	
Условие	Категория шагов	Condiție	Categoria pasilor	
Установить заголовок приложения	Категория шагов	Setați titlul aplicației	Categoria pasilor	
Установить значение	Категория шагов	Setați valoarea	Categoria pasilor	
Установить синоним	Категория шагов	Setați sinonim	Categoria pasilor	
Файлы	Категория шагов	Fișier	Categoria pasilor	
Фильтр	Категория шагов	Filtru	Categoria pasilor	
Фильтр формы списка	Категория шагов	Filtru formei listei	Categoria pasilor	
Флаги	Категория шагов	Bife	Categoria pasilor	
Формы	Категория шагов	Forme	Categoria pasilor	
Циклы	Категория шагов	Cicluri	Categoria pasilor	
Эталонный макет	Категория шагов	Macheta de etalon	Categoria pasilor	
Ячейки	Категория шагов	Celule	Categoria pasilor	
Дано В последнем сообщении TestClient есть строка по шаблону "%1 Д*"	Шаг позволяет проверить содержание самого нового сообщения пользователю. Допускается использовать символ *.	Dat fiind ca in ultemul mesaj TestClient este rindul dupa șablon "%1 D*"	Pasul vă permite să verificați conținutul celui mai nou mesaj către utilizator. Puteți utiliza simbolul *.	
Дано Табличный документ "%1 РеквизитТабличныйДокумент" равен макету "%2 ИмяМакета"	Шаг позволяет проверить, что табличный документ соответствует эталону. Макет ищется сначала в обработке фича файла, затем в каталоге проекта. Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	Dat fiind Documentul Tabelar "%1 AtributDocumentTabelar" este egal cu "%2 "	Pasul permite verificarea conformității documentului tabular cu standardul. Aspectul este căutat mai întâi în procesarea caracteristicii fișierului, apoi în directorul proiectului. Pentru a obține fișierul mxl de la TestClient, clientul subțire va încerca să salveze documentul foaie de calcul într-un fișier. În clientul Web, acesta va fi întotdeauna citit de celulă. Detalii în ajutor, în secțiunea dedicată comparării unui document tabular cu standardul.	
Дано Табличный документ "%1 РеквизитТабличныйДокумент" равен макету "%2 ИмяМакета" по шаблону	Шаг позволяет проверить, что табличный документ соответствует эталону. В значениях эталонного макета допускается использовать символы *. Макет ищется сначала в обработке фича файла, затем в каталоге проекта. Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	Dat fiind documentul tabelar "%1 AtributDocumentTabelar" egal machetului "%2 NumeleȘablon" dupa șablon	Pasul permite verificarea conformității documentului tabular cu standardul. În valorile layout-ului de referință este permisă utilizarea caracterelor *. Aspectul este căutat mai întâi în procesarea caracteristicii fișierului, apoi în directorul proiectului. Pentru a obține fișierul mxl de la TestClient, clientul subțire va încerca să salveze documentul foaie de calcul într-un fișier. În clientul Web, acesta va fi întotdeauna citit de celulă. Detalii în ajutor, în secțiunea dedicată comparării unui document tabular cu standardul.	
Дано текст субтитров "%1 Текст"	Выводит в автовидеоинструкцию нужный текст в виде субтитров.	Dat fiind textul subtitrare "%1 Text"	Afișează textul necesar sub formă de subtitrări în instrucțiunile video automata.	
Дано я нажимаю ENTER	Эмулирует нажатие клавиши ENTER с помощью SikuliX.	Dat fiind am apăsat ENTER	Emulează apăsarea tastei Enter folosind SikuliX	
Дано я нажимаю хоткей "%1 ХотКей" "%2 Модификатор"	Эмулирует нажатие хоткея с помощью SikuliX.	Dat fiind ca apăs tasta rapida "%1 TastaRapida" "%2 Modificator"	Emulază presa de tip hotkey cu SikuliX.	
Дано я открываю картинку в основном редакторе "%1 ИмяКартинки"	Вызывает команду системы. Будет открыто приложение, которое ассоциировано для данного типа файлов	Dat fiind ca deschid imaginea în editorul principal "%1 NumeImagine"	Se apelează comanda sistemului. Aplicația asociată tipului de fișier se va deschide.	
Дано Я открываю навигационную ссылку "%1 e1cib/data/Справочник.Справочник1?ref=ad018df0619b11d5458a440b8c472f30"	Открывает навигационную ссылку. Аналог Shift+F11	Având în vedere că deschid linkul de navigare "%1 e1cib / data / Nomenclator. Nomenclator1? Ref = ad018df0619b11d5458a440b8c472f30"	Deschide linkul de navigare. Analog Shift + F11	
Дано Я открываю основную форму отчета "%1 Отчет1"	Открывает форму отчета по его имени в метаданных	Dat fiind că deschid raportul principal "%1 raport1"	Deschide formularul de raport după numele său în metadate	
Дано Я открываю основную форму регистра накопления "%1 РегистрНакопления1"	Открывает основную форму регистра накопления по его имени в метаданных	Dat fiind că deschid registrul principal de înregistrare a acumulării "%1 RegistrulDeAcumulare1"	Deschide forma de bază a registrului de acumulare după numele său în metadate	
Дано Я открываю основную форму регистра сведений "%1 РегистрСведений1"	Открывает основную форму регистра накопления по его имени в метаданных	Dat fiind că deschid forma de baza a registrului de date "%1 RegistrulDeDate1"	Deschide forma de bază a registrului de acumulare după numele său în metadate	
Если в сообщениях пользователю есть строка "%1 МояСтрока" Тогда	Условие. Проверяет, что в сообщениях пользователю содержится нужная строка или подстрока.	Când mesajul către utilizator are șirul "%1 MayLine" Atunci	Stare. Verifică dacă utilizatorul are un șir sau un subreversor corect în mesaje.	
"Если в таблице ""%1 ИмяТаблицы"" есть колонки Тогда
 | 'Колонка1' |
 | 'Колонка2' |"	Условие. Проверяет, есть ли в таблице указанные колоноки. Заголовки колонок надо передать в шаг в виде таблицы Gherkin.	"Când în tabel ""%1 NumeTabel"" există coloane atunci
  |""Coloana1""|
  |""Coloana2""|"	Stare. Verifică dacă există coloane în tabel. Titlurile coloanelor trebuie să fie trecute printr-o etapă sub forma unei mese Gherkin.	
"Если в таблице ""%1 ИмяТаблицы"" есть строки Тогда
 | 'Имя колонки' |
 | 'Значение' |"	Условие. Истинно, если в таблице есть нужная строка/строки. Поиск строк производится через получение всех строк таблицы , а затем нужные строки будут искаться в полученных строках таблицы.	"Când în tabel ""%1 NumeTabel"" există rânduri atunci
  | ""Denumirea coloanei"" |
  | ""Valoare"" | """	Stare. Este adevărat, dacă masa are rândul / rândurile dorite. Rândurile sunt căutate prin preluarea tuturor rândurilor dintr-un tabel, iar rândurile necesare vor fi căutate în rândurile rezultate în tabel.	
"Если в таблице ""%1 ИмяТаблицы"" нет строк Тогда
 | 'Имя колонки' |
 | 'Значение' |"	Условие. Истинно, если в таблице нет нужных строк.	"Când tabelul""""%1 NumeTabel"" nu există rânduri Apoi
  | ""Denumirea coloanei""|
  | ""Valoare"" |"	Stare. Este adevărat, dacă nu există rânduri în tabel.	
"Если в таблице ""%1 ИмяТаблицы"" нет строки Тогда
 | 'Имя колонки' |
 | 'Значение' |"	Условие. Истинно, если в таблице нет нужной строки. Шаг пытается сделать переход к строке и возвращает Ложь если это получилось сделать.	"Când tabelul"" ""%1 NumeTabel"" ""nu există niciun rând
  | ""Denumirea coloanei""|
  | ""Valoare"" |"	Stare. Adevărat, dacă nu există nici un rând în tabel. Pasul încearcă să facă o tranziție la șir și returnează False dacă s-a dovedit a fi făcut.	
Если в таблице "%1 ИмяТаблицы" поле "%2 Заголовок поля" имеет значение "%3 ЗначениеПоля" тогда	Условие. Проверяет значение ячейки таблицы. Имя ячейки указывается как оно отображено в заголовке.	Când în tabelul "%1 NumeTabel" cmpul "%2 Titlulul câmpului" este setat la "%3 ValoareCâmp" atunci	Stare. Verifică valoarea unei celule de tabelă. Numele celulei este indicat așa cum este afișat în Titlul.	
Если в таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" имеет значение "%3 ЗначениеПоля" тогда	Условие. Проверяет значение ячейки таблицы. Имя ячейки указывается как оно задано в конфигураторе.	Când în tabel "%1 NumeTabel" cîmpul cu numele "%2 NumeCâmp" are valoarea "%3 ValoareaCâmp"	Stare. Verifică valoarea unei celule de tabelă. Numele celulei este specificat așa cum este specificat în configurator.	
Если поле "%1 " стало равно "%2 ЗначениеПоля" в течение "%3 10" секунд Тогда	Условие. Проверяет значение поля формы в течение нужного числа секунд.	Când câmpul "%1 " devine egal cu "%2 ValoareCâmp" în timp de "%3 10" secunde atunci	Stare. Verifică valoarea câmpului de formular pentru numărul dorit de secunde.	
Если поле с именем "%1 ИмяПоля" стало равно "%2 ЗначениеПоля" в течение "%3 10" секунд Тогда	Условие. Проверяет значение поля формы в течение нужного числа секунд. Поиск поля производится по имени.	Când câmpul cu numele "%1 NumeCâmp" devine egal cu "%2 ValoareCâmp" în timp de "%3 10" secunde atunci	Stare. Verifică valoarea câmpului de formular pentru numărul dorit de secunde. Câmpul de căutare se face după nume.	
Если появилось окно с заголовком "%1 Заголовок окна" в течение "%2 10" секунд Тогда	Условие. Проверяет, что на экране появилось окно с нужным заголовком в течение нужного числа секунд	Când apare o fereastră cu titlul "%1 TitlulFerestrei" în timp de "%2 10" secunde atunci	Stare. Verifică dacă apare o fereastră cu titlul dorit pentru numărul de secunde dorit.	
Если таблица "%1 ИмяТаблицы" равна макету "%2 ИмяМакета" тогда	Условие. Истинно, если в таблица равна переданному макету.	Când tabelul "%1 NumeTabel" este egala cu "%2 NumeleȘablon" atunci	Stare. Este adevărat, dacă masa este egală cu aspectul transmis.	
"Если таблица ""%1 ИмяТаблицы"" равна переданной тогда
 | 'Имя колонки' |
 | 'Значение' |"	Условие. Истинно, если в таблица равна переданной таблице Gherkin.	"Când tabelul ""%1 NumeTabel"" egala cu cea transmisa atunci   | 'NumeleColoanei' |
 | 'Valoare' |"	Stare. Este adevărat, dacă masa este egală cu tabelul Gherkin transferat.	
Если текущее окно имеет заголовок "%1 Заголовок окна" Тогда	Условие. Проверяет, что в данный момент активным окном является окно с нужным заголовком	Când fereastra curentă are titlul "%1 Titlul ferestrei" atunci	Stare. Verifică dacă fereastra activă este fereastra cu titlul dorit.	
Если установлен режим совместимости "%1 8.3.12" Тогда	Условие. Проверяет, что установлен нужный режим совместимости в базе, в которой запущен TestManager.	Când modul de compatibilitate este setat la "%1 8.3.12" Apoi	Stare. Verifică faptul că modul de compatibilitate solicitat este setat în baza de date în care rulează TestManager.	
Если Файл "%1 ИмяФайла" существует тогда	Условие. Проверяет существование файла	Când fișierul "%1 " există atunci	Stare. Verifică existența unui fișier	
Если элемент "%1 ИмяЭлементаФормы" доступен для редактирования Тогда	Условие. Проверяет доступность элемента на форме. Поиск поля производится по имени.	Când elementul "%1 NumeleElementuluiFormei" este permis pentru redactare atunci	Stare. Verifică disponibilitatea unui element dintr-un formular. Câmpul de căutare se face după nume.	
Если элемент "%1 ИмяЭлементаФормы" не доступен для редактирования Тогда	Условие. Проверяет доступность элемента на форме. Поиск поля производится по имени.	Când elementul "%1 NumeleElementuluiFormei" nu este permis pentru redactare atunci	Stare. Verifică disponibilitatea unui element dintr-un formular. Câmpul de căutare se face după nume.	
Если это web клиент Тогда	Условие. Проверяет, что текущий TestClient - это web клиент.	Când acesta este un client web, atunci	Stare. Verifică faptul că actualul TestClient este un client web.	
Если это начальная страница Тогда	Условие. Проверяет, то текущее окно это начальная страница	Când aceasta este pagina de start atunci	Stare. Verifică faptul că fereastra curentă este pagina de start.	
Если это тонкий клиент тогда	Условие. Проверяет, что текущий TestClient - это тонкий клиент.	Când acesta este un client subțire atunci	Stare. Verifică faptul că actualul TestClient este un client subțire.	
Затем клик на картинку "%1 ИмяКартинки"	Делает клик на картинке. Картинка ищется в каталоге проекта.	Atunci faceți clic pe imaginea "%1 NumeImagine"	Face un clic pe imagine. Imaginea este căutată în directorul proiectului.	
Затем я выгружаю базу "%1 СтрокаСоединенияСБазой" в DT "%2 ПутьКDT"	Выгружает базу в DT файл.	Atunci descarc baza "%1 RândulConexiuneCuBaza" în DT "%2 PunctКDT"	Descărcarea bazei de date în fișierul DT.	
Затем я жду, что в сообщениях пользователю будет подстрока "%1 Нужное мне значение" в течение "%2 30" секунд	Ждет появления в сообщениях пользователю подстроки в течение нужного времени	Atunci aștept ca în mesajul pentu utilizator va fi un subșir "%1 Valoarea nevoită" în timp de "%2 30" secunde	Se așteaptă ca mesajele să apară în mesaje către utilizator pentru timpul necesar.	
Затем я загружаю базу "%1 СтрокаСоединенияСБазой" из DT "%2 ПутьКDT"	Загружает базу из DT файла.	Atunci eu încarc baza "%1 RândulConexiuneCuBaza" din DT "%2 PunctКDT"	Încărcarea bazei de date din fișierul DT.	
Затем я останавливаю выполнение сценария	Останавливает выполнение шагов в данном сценарии.	Atunci eu opresc executarea scenariului	Opreste executarea pasilor in acest scenariu.	
Затем я останавливаю выполнение шагов всех сценариев.	Останавливает выполнение шагов. Другие сценарии выполнятся не будут.	Atunci opresc pașii tuturor scripturilor.	Încetează pașii de performanță. Alte scripturi nu vor fi difuzate.	
Затем Я подключаю уже запущенный клиент тестирования "%1 ИмяПрофиля"	Подключает запущенный ранее клиент тестирования, который мог быть запущен из другой программы. Если сеанс не найден - выдёт исключение.	Atunci conectez clientul de testare deja pornit "%1 "	Conectează un client de test care a funcționat anterior, care ar fi putut fi lansat dintr-un alt program. Dacă sesiunea nu este găsită, va fi aruncată o excepție.	
Затем я рисую стрелку от "%1 Vanessa_Automation" до "%2 Запуск_сценариев"	Рисует стрелку от одной картинки до другой. Поиск картинок на экране делается с помощью SikuliX. Если первый параметр равен пустой сроке, тогда точкой "от" будет центр экрана. Дополнительные параметры задаются через таблицу Gherkin.	Atunci trag o săgeată de la "%1 Vanessa_Automation" la "%2 Rularea_scripturilor"	Desenează o săgeată de la o imagine la alta. Căutarea de imagini pe ecran se face folosind SikuliX. Dacă primul parametru este gol, atunci punctul "de la" este centrul ecranului. Parametrii suplimentari sunt setați prin tabelul Gherkin.	
Затем я создаю пустую базу "%1 ПараметрыСозданияБазы"	Создаёт пустую базу по указанным параметрам.	Atunci creez o bază de date goală "%1 ParametriiCreăriiBazei"	Creează o bază de date goală pentru parametrii specificați.	
Затем я сохраняю имя файла без расширения из переменной "%1 ПолноеИмяФайла" как "%2 ИмяФайла"	Получает имя файла без расширения из переменной, в которой хранится полный путь к файлу	Atunci salvez numele fișierului fără o extensie din variabila "%1 " ca "%2 NumeFișier"	Obține numele fișierului fără extensie dintr-o variabilă care stochează calea completă la fișier.	
Затем я сохраняю имя файла из переменной "%1 ПолноеИмяФайла" как "%2 ИмяФайла"	Получает имя файла из переменной, в которой хранится полный путь к файлу	Atunci salvez numele fișierului din variabila "%1 NumeFișierComplet" ca "%2 NumeFișier"	Obține numele fișierului dintr-o variabilă care stochează calea completă la fișier.	
"И в группе ""%1 Заголовок группы"" не содержатся элементы
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет, что в группа с указанным заголовком не содержит элементы из таблицы. Элемент по умолчанию ищется заголовку. Чтобы искать по внутреннему имени нужно перед именем элемента добавить символ "!".	"Si în grup ""%1 Titlulul grupului"" nu conține elemente
  | ""ElementNume1""|
  | ""ElementNume2""|"	Verifică faptul că grupul cu Titlulul specificat nu conține elemente din tabel. Elementul implicit este căutat pentru un Titlul. Pentru a căuta după numele intern, adăugați caracterul "!" Înainte de numele elementului.	
"И в группе ""%1 Заголовок группы"" содержатся элементы
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет, что в группа с указанным заголовком содержит элементы из таблицы. Элемент по умолчанию ищется заголовку. Чтобы искать по внутреннему имени нужно перед именем элемента добавить символ "!".	"Si grupul ""%1 Titlulul grupului"" conțin elementele
  | ""ElementNume1""|
  | ""ElementNume2""|"	Verifică dacă grupul cu Titlulul specific conține elemente din tabel. Elementul implicit este căutat pentru un Titlul. Pentru a căuta după numele intern, adăugați caracterul "!" Înainte de numele elementului.	
"И в группе с именем ""%1 ИмяГруппы"" не содержатся элементы
 | 'ИмяЭлемента1' |
 | 'ИмяЭлемента2' |"	Проверяет, что в группа с указанным заголовком не содержит элементы из таблицы. Элемент по умолчанию ищется заголовку. Чтобы искать по внутреннему имени нужно перед именем элемента добавить символ "!".	"Si grupul cu numele ""%1 NumeGrup"" nu se conțin elementele
 | ""ElementNume1""|
 | ""ElementNume2""|"	Verifică faptul că grupul cu Titlulul specificat nu conține elemente din tabel. Elementul implicit este căutat pentru un Titlul. Pentru a căuta după numele intern, adăugați caracterul "!" Înainte de numele elementului.	
