Шаг оригинал	Описание	Перевод шага	Перевод описания
И у группы страниц "%1 ГруппаСтраниц" текущая страница "%2 ИмяСтраницы"	Проверяет что у заданной группы текущей страницей является указанная	Un lappušu grupai "%1 LappušuGrupa" pašreizējā lappuse "%2 LappusesVārds"	Pārbauda, ka uzdotajai grupai pašreizējā lappuse ir norādītā
И я выбираю пункт контекстного меню "%1 ИмяПунктаМеню" на элементе формы "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	Un es izvēlos kontekstizvēlnes punktu "%1 IzvēlnesPunktaVārds" uz formas elementa "%2 FormasElements"	Izvēlas vajadzīgo formas elementa kontekstizvēlnes punktu
И я выбираю пункт контекстного меню "%1 ИмяПунктаМеню" на элементе формы с именем "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	Un es izvēlos kontekstizvēlnes punktu "%1 IzvēlnesPunktaVārds" uz formas elementa ar vārdu "%2 FormasElements"	Izvēlas vajadzīgo formas elementa kontekstizvēlnes punktu
И я жду открытия окна "%1 Имя окна" в течении "%2 600" секунд	Ожидает, что окно появится в течении указанного числа секунд	Es gaidu loga "%1 Loga vārds" atvēršanu "%2 600" sekunžu laikā	Gaida, ka logs parādīsies norādītā sekunžu daudzuma laikā
И я жду что таблица "%1 ИмяТаблицы" станет равна данной в течении "%2 20" секунд	Проверяет, что таблица TestClient станет равной таблице Gherkin в течении нужного числа секунд	Un es gaidu ka tabula "%1 TabulasVārds" kļūs vienāda ar doto "%2 20" sekunžu laikā	Pārbauda, ka tabula TestClient kļūst vienāda ar tabulu Gherkin vajadzīgā sekunžu daudzuma laikā
И я жду что у группы страниц "%1 ГруппаСтраниц" текущей страницей станет "%2 ИмяСтраницы" в течении "%3 20" секунд	Ожидает, что у заданной группы текущей страницей станет нужная группа в течении указанного числа секунд	Un lappušu grupai "%1 LappušuGrupa" par pašreizējo lappusi kļūs "%2 LappusesVārds" "%3 20" sekunžu laikā	Gaida, ka uzdotajai grupai par pašreizējo lappusi kļūs vajadzīgā grupa norādītajā sekunžu daudzuma laikā
Когда Я задаю параметры считывания макета НачСтр "%1 1" НачКол "%2 1" КолСтр "%3 100" КолКол "%4 20"	Указывает область чтения макета, когда он считывается по одной ячейке из данных TestClient	Kad Es uzdodu maketa nolasīšanas parametrus "R1C1:R100C20"	Norāda maketa lasīšanas apgabalu, kad tas tiek nolasīts pēc vienas šūnas no TestClient datiem
Дано Я открыл новый сеанс TestClient или подключил уже существующий	Открывает новый TesClient в той же базе, что и TestManager или подключает уже существующий	Dots Es atvēru jaunu seansu TestClient vai pieslēdzu jau esošo	Atver jaunu TesClient tajā pašā bāzē, kur ir TestManager vai pieslēdz jau esošo
Дано Я запускаю сценарий открытия TestClient или подключаю уже существующий	Подключает новый TestClient если необходимо и закрывает в нём все окна	Dots Es palaižu TestClient atvēršanas scenāriju vai pieslēdzu jau esošo	Pieslēdz jaunu TestClient, ja nepieciešams, un aizver tajā visus logus
Когда Я нажимаю кнопку командного интерфейса "%1 Имя кнопки"	Нажимает на кнопку командного интерфейса	Un Es nospiežu komandu interfeisa pogu "%1 Pogas vārds"	Nospiež komandu interfeisa pogu
Когда В панели разделов я выбираю "%1 ИмяКоманды"	Нажатие кнопки на панели разделов	Kad Uz sadaļu paneļa es izvēlos "%1 KomandasVārds"	Sadaļu paneļa pogas nospiešana
И В панели функций я выбираю "%1 ИмяКоманды"	Нажатие кнопки на панели функций	Un Uz funkciju paneļa es izvēlos "%1 KomandasVārds"	Funkciju paneļa pogas nospiešana
Тогда открылось окно "%1 ИмяФормы"	Проверяет, что на экране есть активное окно с нужым заголовком	Tad atvērās logs "%1 FormasVārds"	Pārbauda, ka uz ekrāna ir aktīvs logs ar vajadzīgo virsrakstu
И в поле с именем "%1 ИмяПоля" я ввожу текст "%2 Значение поля"	Вводит текст в поле	Un laukā ar vārdu "%1 LaukaVārds" es ievadu tekstu "%2 Lauka nozīme"	Ievada laukā tekstu
И я открываю выпадающий список с именем "%1 ИмяСписка"	Открывает выпадающий список	Un es atveru izkrītošo sarakstu ar vārdu "%1 SarakstaVārds"	Atver izkrītošo sarakstu
И я нажимаю кнопку выбора у поля с именем "%1 ИмяПоля"	Нажимает на кнопку выбора у поля	Un es nospiežu izvēles pogu pie lauka ar vārdu "%1 LaukaVārds"	Nospiež izvēles pogu pie lauka
И из выпадающего списка с именем "%1 МойВыпадающийСписок" я выбираю "%2 ЗначениеИзСписка"	Выбор из выпадающего списка	Un no izkrītošā saraksta ar vārdu "%1 MansIzkrītošaisSaraksts" es izvēlos  "NozīmeNoSaraksta"	Izvēle no izkrītošā saraksta
И в таблице "%1 ИмяТаблицы" я нажимаю на кнопку "%2 Добавить"	Нажимает на кнопку таблицы. Кнопка ищется по заголовку.	Un tabulā "%1 TabulasVārds" es nospiežu pogu "%2 Pievienot"	Nospiež tabulas pogu. Poga tiek meklēta pēc virsraksta.
И в таблице "%1 ИмяТаблицы" в поле "%2 ИмяПоля" я ввожу текст "%3 НужныйМнеТекст"	Ввод текста в поле таблицы	Un tabulā "%1 TabulasVārds" laukā "%2 LaukaVārds" es ievadu tekstu "%3 ManVajadzīgaisTeksts"	Teksta ievade tabulas laukā
И В таблице "%1 ИмяТаблицы" я завершаю редактирование строки	Завершение редактирования строки	Un tabulā "%1 TabulasVārds" es pabeidzu rindas rediģēšanu	Rindas rediģēšanas beigas
И я нажимаю на кнопку "%1 Создать"	Нажимает на кнопку с нужным заголовокм	Un es nospiežu pogu "%1 Izveidot"	Nospiež pogu ar vajadzīgo virsrakstu
Дано В активном окне открылась форма с заголовком "%1 Заголовок формы"	Шаг проверяет, что в активном окне есть нужная форма.	Dots Aktīvajā logā atvērās forma ar virsrakstu "%1 Formas virsraksts"	Solis pārbauda, ka aktīvajā logā ir vajadzīgā forma.
Дано В последнем сообщении TestClient есть строка "%1 Стр"	Шаг позволяет проверить содержание самого нового сообщения пользователю.	Dots Pēdējā TestClient ziņojumā ir rinda "%1 Rinda"	Solis ļauj pārbaudīt paša jaunākā ziņojuma lietotājam saturu
Дано Ожидаем завершения фонового формирования отчета в течение "%1 10" секунд	Шаг ждёт указанное время, что завершились активные фоновые задания.	Dots Gaidām atskaites fona sastādīšanas beigas "%1 10" sekunžu laikā	Solis gaida norādīto laiku, kad aktīvie fona uzdevumi pabeigti.
Дано Открылось окно предупреждения с заголовком "%1 Заголовок" и текстом "%2 Текст"	Шаг проверяет, что сейчас на экране появилось окно предупреждения.	Dots Atvēries brīdinājuma logs ar virsrakstu "%1 Virsraksts" un tekstu "%2 Teksts"	Solis pārbauda, ka tagad uz ekrāna parādījies brīdinājuma logs.
Дано Табличный документ формы с именем "%1 РеквизитТабличныйДокумент" стал равен макету с именем "%2 ИмяМакета"	Шаг позволяет проверить, что макет на форме соответствует эталону.	Dots Formas tabulas dokuments ar vārdu "%1 RekvizītsTabulasDokuments" kļuva vienāds ar maketu ar vārdu "%2 MaketaVārds"	Solis ļauj pārbaudīt, ka makets uz formas atbilst etalonam.
Дано Я открываю основную форму обработки "%1 Обработка1"	Открывает форму обработки по её имени в метаданных	Dots Es atveru apstrādes pamatformu "%1 Apstrāde1"	Atver apstrādes formu pēc tās vārda metadatos
Дано Я открываю основную форму списка документа "%1 Документ1"	Открывает основную форму списка документа по его имени в метаданных	Dots Es atveru dokumenta "%1 Dokuments1" saraksta pamatformu	Atver dokumenta saraksta pamatformu pēc tā vārda metadatos
Дано Я открываю основную форму списка справочника "%1 Справочник1"	Открывает основную форму списка справочника по его имени в метаданных	Dots Es atveru kataloga "%1 Katalogs1" saraksta pamatformu	Atver kataloga saraksta pamatformu pēc tā vārda metadatos
Дано Я открыл сеанс TestClient от имени "%1 МойПользователь" с паролем "%2 МойПароль" или подключаю уже существующий	Позволяет подключить TestClient с нужным логином и паролем в тойже базе, в которой запущен TestManager	Dots Es atvēru seansu TestClient ar vārdu "%1 MansLietotājs" ar paroli "%2 ManaParole" vai pieslēdzu jau eksistējošo	Ļauj pieslēgt TestClient ar vajadzīgo login un paroli tajā pašā bazē, kur palaists TestManager
Если "%1 Истина" тогда	Условие. Проверяет выражение встроенного языка	Ja "%1 Īsts" tad	Nosacījums. Pārbauda iebūvetās valodas izteiksmi
Если в окне предупреждения нет текста "%1 Нужный текст" тогда	Условие. Истинно, когда в окне предупреждения нет искомого текста.	Ja brīdinājuma logā nav teksta "%1 Vajadzīgais teksts" tad	Nosacījums. Īsts, kad brīdinājuma logā nav meklējamā teksta.
"Если в таблице ""%1 ИмяТаблицы"" есть строка Тогда
	| 'Реквизит строка' |
	| '2'               |"	Условие. Истинно, если в таблице есть нужная строка/строки.	"Ja tabulā ""%1 TabulasVārds"" ir rinda Tad
 | 'Rekvizīts rinda' |
 | '2' |"	Nosacījums. Īsts, ja tabulā ir vajadzīgā rinda/rindas.
Если в таблице "%1 ИмяТаблицы" количество строк "%2 меньше или равно" "%3 2" Тогда	Условие. Проверяет количество строк в таблице	Ja tabulā "%1 TabulasVārds" rindu daudzums "%2 mazāks vai vienāds" "%3 2" Tad	Nosacījums. Pārbauda rindu daudzumu tabulā
Если в текущем окне есть сообщения пользователю Тогда	Условие. Проверяет, что в текущем окне есть сообщения пользователю.	Ja pašreizējā logā ir ziņojums lietotājam Tad	Nosacījums. Pārbauda, ka pašreizējā logā ir ziņojumi lietotājam.
Если Версия платформы "%1 >=" "%2 8.3.6" Тогда	Условие. Проверяет версию платформы	Ja Platformas versija "%1 >=" "%2 8.3.6" Tad	Nosacījums. Pārbauda platformas versiju
Если имя текущей формы "%1 ПечатьДокументов" Тогда	Условие. Проверяет имя текущей формы	Ja pašreizējās formas vārds ir "%1 DokumentuDruka" Tad	Nosacījums. Pārbauda pašreizējās formas vārdu
Если поле "%1 ИмяПоля" имеет значение "%2 тест" тогда	Условие. Проверяет значение поля.	Ja laukam "%1 LaukaVārds" ir nozīme "%2 tests" tad	Nosacījums. Pārbauda lauka nozīmi.
Если поле с именем "%1 ИмяПоля" имеет значение "%2 тест" тогда	Условие. Проверяет значение поля.	Ja laukam ar vārdu "%1 LaukaVārds" ir nozīme "%2 tests" tad	Nosacījums. Pārbauda lauka nozīmi.
Если появилось окно с заголовком "%1 ИмяОкна" Тогда	Условие. Проверяет, что на экране есть активное окно с нужным заголовком	Ja parādījās logs ar virsrakstu "%1 LogaVārds" Tad	Nosacījums. Pārbauda, ka uz ekrāna ir aktīvs logs ar vajadzīgo virsrakstu
Если появилось окно с заголовком из таблицы Тогда	Условие. Проверяет, что есть окно с заголовком из таблицы	Ja parādījās logs ar virsrakstu no tabulas Tad	Nosacījums. Pārbauda, ka ir logs ar virsrakstu no tabulas
Если текущее окно "%1 не равно" ожидаемому окну "%2 НужноеОкно" Тогда	Условие. Проверяет что текущее окно равно/неравно нужному окну, которое запомнили ранее	Ja pašreizējais logs "%1 nav vienāds" ar gaidāmo logu "%2 VajadzīgaisLogs" Tad	Nosacījums. Pārbauda, ka pašreizējais logs vienāds/nav vienāds ar vajadzīgo logu, kurš iegaumēts iepriekš
Если элемент "%1 ИмяЭлементаФормы" не присутствует на форме Тогда	Условие. Проверяет видимость элемента на форме	Ja elements "%1 FormasElementaVārds" nav uz formas Tad	Nosacījums. Pārbauda elementa redzamību uz formas
Если элемент "%1 ИмяЭлементаФормы" присутствует на форме Тогда	Условие. Проверяет видимость элемента на форме	Ja elements "%1 FormasElementaVārds" ir uz formas Tad	Nosacījums. Pārbauda elementa redzamību uz formas
Если это не начальная страница Тогда	Условие. Проверяет, то текущее окно это не начальная страница	Ja tā nav sākumlapa Tad	Nosacījums. Pārbauda, ka pašreizējais logs nav sākumlapa
Затем Если появилось окно диалога я нажимаю на кнопку "%1 ИмяКнопки"	Если на экране появилось диалоговое окно - нажимает на нужную кнопку.	Pēc tam Ja parādījās dialoga logs es nospiežu pogu "%1 PogasVārds"	Ja uz ekrāna parādījies dialoga logs - nospiež vajadzīgo pogu.
Затем я останавливаю выполнение шагов	Останавливает выполнение шагов	Pēc tam es apturu soļu izpildi	Aptur soļu izpildi
И В панели функций в группе "%1 Основное" я выбираю "%2 ИмяКоманды"	Нажатие кнопки на панели функций нужной группы	Un Uz funkciju paneļa grupā "%1 Pamata" es izvēlos "%2 KomandasVārds"	Pogas nospiešana uz vajadzīgās grupas funkciju paneļa
И в поле "%1 ИмяПоля" я ввожу текст "%2 Значение поля"	Вводит текст в поле	Un laukā "%1 LaukaVārds" ievadu tekstu "%2 Lauka nozīme"	Ievada laukā tekstu
И в поле "%1 ИмяПоля" ввожу значение глобального ключа "%2 Ключ"	Вставка значения ранее сохраненного ключа в реквизит	Un laukā "%1 LaukaVārds" ievadu globālās atslēgas nozīmi "%2 Atslēga"	Iepriekš saglabātās atslēgas nozīmes ievietošana rekvizitā
И в поле "%1 ИмяПоля" ввожу значение глобальной переменной "%2 НомерДокумента"	Вставка значения ранее сохраненной переменной в реквизит	Un laukā "%1 LaukaVārds" ievadu globālā mainīgā nozīmi "%2 DokumentaNumurs"	Iepriekš saglabātā mainīgā nozīmes ievietošana rekvizitā
И в поле "%1 ИмяПоля" ввожу значение ключа "%2 Номер документа"	Вставка значения ранее сохраненного произвольного ключа в реквизит	Un laukā "%1 LaukaVārds" ievadu atslēgas nozīmi "%2 Dokumenta numurs"	Iepriekš saglabātās izvēlētās atslēgas nozīmes ievietošana rekvizitā
И в поле "%1 ИмяПоля" ввожу значение переменной "%2 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	Un laukā "%1 LaukaVārds" ievadu mainīgā nozīmi "%2 MainīgāVārds"	Iepriekš saglabātā mainīgā nozīmes ievietošana rekvizitā
И в поле с именем "%1 ИмяПоля" ввожу значение глобального ключа "%2 Ключ"	Вставка значения ранее сохраненного произвольного ключа в реквизит	Un laukā ar vārdu "%1 LaukaVārds" ievadu globālās atslēgas nozīmi "%2 DokumentaNumurs"	Iepriekš saglabātās izvēlētās atslēgas nozīmes ievietošana rekvizitā
И в поле с именем "%1 ИмяПоля" ввожу значение глобальной переменной "%2 НомерДокумента"	Вставка значения ранее сохраненной переменной в реквизит	Un laukā ar vārdu "%1 LaukaVārds" ievadu globālā mainīgā nozīmi "%2 DokumentaNumurs"	Iepriekš saglabātā mainīgā nozīmes ievietošana rekvizitā
И в поле с именем "%1 ИмяПоля" ввожу значение ключа "%2 Номер документа"	Вставка значения ранее сохраненного произвольного ключа в реквизит	Un laukā ar vārdu "%1 LaukaVārds" ievadu atslēgas nozīmi "%2 Dokumenta numurs"	Iepriekš saglabātās izvēlētās atslēgas nozīmes ievietošana rekvizitā
И в поле с именем "%1 ИмяПоля" ввожу значение переменной "%2 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	Un laukā ar vārdu "%1 LaukaVārds" ievadu mainīgā nozīmi "%2 DokumentaNumurs"	Iepriekš saglabātā mainīgā nozīmes ievietošana rekvizitā
И в таблице "%1 Список" я начинаю редактирование строки	Начало редактирования строки	Un tabulā "%1 Saraksts" es sāku rindas rediģēšanu	Rindas rediģēšanas sākums
И в таблице "%1 Список" я перехожу на один уровень вверх	Переход на один уровень вверх в списке в режиме "Иерархический список"	Un tabulā "%1 Saraksts" es pāreju vienu līmeni austāk	Pāreja par vienu līmeni uz augšu sarakstā režīmā "Hierarhiskais saraksts"
И в таблице "%1 Список" я перехожу на один уровень вниз	Переход на один уровень вниз в списке в режиме "Иерархический список"	Un tabulā "%1 Saraksts" es pāreju vienu līmeni zemāk	Pāreja par vienu līmeni uz leju sarakstā režīmā "Hierarhiskais saraksts"
И в таблице "%1 Список" я перехожу на одну строку вверх	Переходим в таблице на предыдущую строку	Un tabulā "%1 Saraksts" es pāreju vienu rindu augstāk	Pārejam tabulā uz iepriekšējo rindu
И В таблице "%1 Список" я перехожу на одну строку вверх с выделением	Переходим в таблице на предыдущую строку с выделением	Un Tabulā "%1 Saraksts" es pāreju vienu rindu augstāk ar iezīmēšanu	Pārejam tabulā uz iepriekšējo rindu ar iezīmēšanu
И в таблице "%1 Список" я перехожу на одну строку вниз	Переходим в таблице на следующую строку	Un tabulā "%1 Saraksts" es pāreju vienu rindu zemāk	Pārejam tabulā uz nākamo rindu
И В таблице "%1 Список" я перехожу на одну строку вниз с выделением	Переходим в таблице на следующую строку с выделением	Un Tabulā "%1 Saraksts" es pāreju vienu rindu zemāk ar iezīmēšanu	Pārejam tabulā uz nākamo rindu ar iezīmēšanu
И в таблице "%1 Отборы" я активизирую поле "%2 ИмяПоля"	Активизирует поле таблицы	Un tabulā "%1 Atlases" es aktivizēju lauku "%2 LaukaVārds"	Aktivizē tabulas lauku
И в таблице "%1 Отборы" я активизирую поле с именем "%2 ИмяПоля"	Активизирует поле таблицы	Un tabulā "%1 Atlases" es aktivizēju lauku ar vārdu "%2 LaukaVārds"	Aktivizē tabulas lauku
И в таблице "%1 Список" я выбираю текущую строку	Выбор текущей строки с указанием таблицы	Un tabulā "%1 Saraksts" es izvēlos pašreizējo rindu	Aktuālās rindas izvēle ar tabulas norādīšanu
И в таблице "%1 Список" я добавляю строку	Добавление строки	Un tabulā "%1 Saraksts" es pievienoju rindu	Rindas pievienošana
И в таблице "%1 Список" я перехожу к первой строке	Переход к первой строке данной таблицы	Un tabulā "%1 Saraksts" es pāreju uz pirmo rindu	Pāreja uz dotās tabulas pirmo rindu
И в таблице "%1 Список" я перехожу к последней строке	Переход к последней строке данной таблицы	Un tabulā "%1 Saraksts" es pāreju uz pēdējo rindu	Pāreja uz dotās tabulas pēdējo rindu
И в таблице "%1 Список" я перехожу к предыдущей строке	Переход к предыдущей строке данной таблицы	Un tabulā "%1 Saraksts" es pāreju uz iepriekšējo rindu	Pāreja uz dotās tabulas iepriekšējo rindu
И в таблице "%1 Список" я перехожу к следующей строке	Переход к следующей строке данной таблицы	Un tabulā "%1 Saraksts" es pāreju uz nākamo rindu	Pāreja uz dotās tabulas nakamo rindu
"И в таблице ""%1 Список"" я перехожу к строке
		| Наименование |
		|    Товар1    |"	Переход к нужной строке данной таблицы	"Un tabulā ""%1 Saraksts"" es pāreju uz rindu:
  | Nosaukums |
  | Prece1 |"	Pāreja uz dotās tabulas vajadzīgo rindu
И в таблице "%1 Список" я удаляю строку	Удаление строки	Un tabulā "%1 Saraksts" es dzēšu rindu	Rindas dzēšana
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я ввожу текст "%3 НужныйМнеТекст"	Ввод текста в поле таблицы	Un tabulā "%1 TabulasVārds" laukā ar vārdu "%2 LaukaVārds" es ievadu tekstu "%3 ManVajadzīgaisTeksts"	Teksta ievade tabulas laukā
И в таблице "%1 ИмяТаблицы" из выпадающего списка "%2 ИмяПоля" я выбираю "%3 ЗначениеПоля"	Выбор значения из выпадающего списка	Un tabulā "%1 TabulasVārds" no izkrītošā saraksta "%2 LaukaVārds" es izvēlos "%3 ТestaElements21"	Nozīmes izvēle no izkrītošā saraksta
