Шаг оригинал	Описание	Перевод шага	Перевод описания
Закрыть сеанс	Категория шагов	Close Session	Steps category
Закрыть сеанс TestClient	Категория шагов	Close TestClient session	Steps category
Заполненность	Категория шагов	Filling	Steps category
Заполнить данными	Категория шагов	Fill with data	Steps category
Запомнить значение поля	Категория шагов	Save field value	Steps category
Запомнить значение таблицы	Категория шагов	Save table value	Steps category
Запомнить имя поля	Категория шагов	Save field name	Steps category
Зафиксировать форму	Категория шагов	Fix form	Steps category
Значение выпадающего списка	Категория шагов	Drop-down list value	Steps category
Значение поля	Категория шагов	Field value	Steps category
Значение ячейки таблицы	Категория шагов	Table cell value	Steps category
Иерархический список	Категория шагов	Hierarchical list	Steps category
Имя формы	Категория шагов	Form name	Steps category
Исключения	Категория шагов	Exceptions	Steps category
Календарь	Категория шагов	Calendar	Steps category
Кнопка выбора	Категория шагов	Choice button	Steps category
Кнопки	Категория шагов	Buttons	Steps category
Количество строк	Категория шагов	Number of lines	Steps category
Колонки	Категория шагов	Columns	Steps category
Командный интерфейс	Категория шагов	No duplicate messages	Steps category
Константы	Категория шагов	Constants	Steps category
Контекст	Категория шагов	Waiting for the message	Steps category
Контекст сохраняемый	Категория шагов	Clearing messages window	Steps category
Контекстное меню	Категория шагов	Context menu	Steps category
Лог	Категория шагов	Log	Steps category
Макет	Категория шагов	Template	Steps category
Навигационные ссылки	Категория шагов	Navigation links	Steps category
Нет одинаковых сообщений	Категория шагов	No duplicate messages	Steps category
Новое подключение к базе	Категория шагов	New connection to the database	Steps category
Новое подключение к той же базе, где запущен TestManager	Категория шагов	New connection to the database where TestManager runs	Steps category
Нумерация	Категория шагов	Numbering	Steps category
Область	Категория шагов	Area	Steps category
Область чтения	Категория шагов	Reading area	Steps category
Ожидание доступности элемента	Категория шагов	Waiting for attribute availability	Steps category
Ожидание завершения процесса	Категория шагов	Waiting for the process completion	Steps category
Ожидание значения	Категория шагов	Waiting for value	Steps category
Ожидание значения таблицы	Категория шагов	Waiting for table value	Steps category
Ожидание значения элемента	Категория шагов	Waiting for attribute value	Steps category
Ожидание значения ячейки таблицы	Категория шагов	Waiting for table cell value	Steps category
Ожидание появления элемента	Категория шагов	Waiting for attribute appearance	Steps category
Ожидание сообщения	Категория шагов	Waiting for the message	Steps category
Окна	Категория шагов	Windows	Steps category
Окно	Категория шагов	Window	Steps category
Остановить выполнение сценариев	Категория шагов	Stop running scripts	Steps category
Открыть	Категория шагов	Open	Steps category
Открыть картинку	Категория шагов	Open picture	Steps category
Открыть список	Категория шагов	Open list	Steps category
Открыть форму объекта	Категория шагов	Open object form	Steps category
Отчеты	Категория шагов	Reports	Steps category
Очистить поле	Категория шагов	Clear field	Steps category
Очистка окна сообщений	Категория шагов	Clearing messages window	Steps category
Пакетный режим	Категория шагов	Batch mode	Steps category
Панель открытых	Категория шагов	Opened items panel	Steps category
Панель разделов	Категория шагов	Sections panel	Steps category
Панель функций	Категория шагов	Functions panel	Steps category
Перебор массива	Категория шагов	Iterating over array	Steps category
Перебор строк	Категория шагов	For each line	Steps category
Перейти к следующему реквизиту	Категория шагов	Go to next attribute	Steps category
Переключатели	Категория шагов	Switches	Steps category
Переменные среды	Категория шагов	Environment variables	Steps category
Переход к строке	Категория шагов	Go to the line	Steps category
Переход к ячейке	Категория шагов	Move to cell	Steps category
Подключение TestClient	Категория шагов	TestClient connection	Steps category
Подменю	Категория шагов	Submenu	Steps category
Подсказка	Категория шагов	Tooltip	Steps category
Поле таблицы	Категория шагов	Table field	Steps category
Поле формы	Категория шагов	Form field	Steps category
Поля	Категория шагов	Fields	Steps category
Пометка удаления	Категория шагов	Deletion mark	Steps category
Представление элемента	Категория шагов	Item View	Steps category
Проверка видимости	Категория шагов	Visibility check	Steps category
Проверка доступности	Категория шагов	Availability check	Steps category
Проверка значений именнованных областей	Категория шагов	Check named areas values	Steps category
Проверка значения	Категория шагов	Value check	Steps category
Проверка значения колонки таблицы	Категория шагов	Table column value check	Steps category
Проверка значения поля	Категория шагов	Field value check	Steps category
Проверка значения таблицы	Категория шагов	Table value check	Steps category
Проверка значения табличного документа	Категория шагов	Spreadsheet value check	Steps category
Проверка значения текущей строки таблицы	Категория шагов	Current table line values check	Steps category
Проверка колонки	Категория шагов	Column check	Steps category
Проверка на пустоту	Категория шагов	Check if empty	Steps category
Проверка отсутствия сообщений	Категория шагов	Check messages absence	Steps category
Проверка режима совестимости	Категория шагов	Compatibility mode check	Steps category
Проверка состава колонок	Категория шагов	Check column set	Steps category
Проверка существования	Категория шагов	Check existence	Steps category
Проверка текста сообщений	Категория шагов	Check messages text	Steps category
Проверка типа TestClient	Категория шагов	TestClient type check	Steps category
Произвольная база	Категория шагов	Arbitrary database	Steps category
Произвольная строка	Категория шагов	Arbitrary string	Steps category
Просмотр	Категория шагов	View	Steps category
Профиль TestClient	Категория шагов	TestClient Profile	Steps category
Прочее	Категория шагов	Miscellaneous	Steps category
Прочитать значение	Категория шагов	Read value	Steps category
Работа с подключенными TestClient	Категория шагов	Work with connected TestClient	Steps category
Равенство по шаблону	Категория шагов	Equality by template	Steps category
Развернуть/Свернуть	Категория шагов	Expand/Collapse	Steps category
Развернуть/свернуть группу	Категория шагов	Expand/collapse group	Steps category
Редактирование строки	Категория шагов	Line edititng	Steps category
Режим выполнения шагов	Категория шагов	Steps execution mode	Steps category
Результат выполнения сценария	Категория шагов	Result of the script execution	Steps category
Результат выражения в поле	Категория шагов	Expression result in the field	Steps category
Реквизиты	Категория шагов	Attributes	Steps category
Сделать паузу	Категория шагов	Make pause	Steps category
Скриншоты	Категория шагов	Screenshots	Steps category
Содержит значения	Категория шагов	Contains values	Steps category
Содержит строки	Категория шагов	Contains strings	Steps category
Содержит текст	Категория шагов	Contains text	Steps category
Содержит элементы	Категория шагов	Contains items	Steps category
Создать	Категория шагов	Create	Steps category
Сообщения пользователю	Категория шагов	User message	Steps category
Сохранить в переменную	Категория шагов	Save in the variable	Steps category
Сохранить в файл	Категория шагов	Save to file	Steps category
Сохранить значение	Категория шагов	Save value	Steps category
Сохранить список	Категория шагов	Save list	Steps category
Сравнить табличные документы	Категория шагов	Compare spreadsheet documents	Steps category
Стандартные формы	Категория шагов	Standard forms	Steps category
Строки	Категория шагов	Lines	Steps category
Таблица	Категория шагов	Table	Steps category
Таблица Gherkin	Категория шагов	Gherkin table	Steps category
Таблицы	Категория шагов	Tables	Steps category
Таблицы в памяти	Категория шагов	Tables in memory	Steps category
Табличный документ	Категория шагов	Spreadsheet document	Steps category
Текущая база	Категория шагов	Current database	Steps category
Текущая страница	Категория шагов	Current page	Steps category
Текущая строка	Категория шагов	Current line	Steps category
Текущее окно	Категория шагов	Current window	Steps category
Только просмотр	Категория шагов	Read only	Steps category
Точное значение	Категория шагов	Exact value	Steps category
Точное равенство	Категория шагов	Exact equality	Steps category
Увеличить значение	Категория шагов	Increase value	Steps category
Удаление строк	Категория шагов	Lines deletion	Steps category
Удалить строку	Категория шагов	Delete line	Steps category
Уменьшить значение	Категория шагов	Decrease value	Steps category
Условие	Категория шагов	Condition	Steps category
Установить заголовок приложения	Категория шагов	Set application header	Steps category
Установить значение	Категория шагов	Set value	Steps category
Установить значение константы	Категория шагов	Set constant value	Steps category
Установить синоним	Категория шагов	Set synonym	Steps category
Устаревшее	Категория шагов	Obsolete	Steps category
Файлы	Категория шагов	Files	Steps category
Фильтр	Категория шагов	Filter	Steps category
Фильтр формы списка	Категория шагов	List form filter	Steps category
Флаги	Категория шагов	Checkboxes	Steps category
Форма	Категория шагов	Form	Steps category
Формы	Категория шагов	Forms	Steps category
Циклы	Категория шагов	Cycles	Steps category
Эталонный макет	Категория шагов	Standard pattern	Steps category
Ячейки	Категория шагов	Cells	Steps category
Если в таблице "%1 ИмяТаблицы" текущая строка не помечена на удаление тогда	Проверяет, что текущая строка в списке не имеет пометку удаления.	If the current row in "%1 TableName" table is not marked for deletion Then	Checks if the current row in the list is not marked for deletion.
Если в таблице "%1 ИмяТаблицы" текущая строка помечена на удаление тогда	Условие. Проверяет, что текущая строка в списке имеет пометку удаления.	If the current row in "%1 TableName" table is marked for deletion Then	Condition. Checks if the current row in the list is marked for deletion.
И в таблице "%1 ИмяТаблицы" текущая строка не помечена на удаление	Проверяет, что текущая строка в списке не имеет пометку удаления.	And the current row in "%1 TableName" table is not marked for deletion	Checks if the current row in the list is not marked for deletion.
И в таблице "%1 ИмяТаблицы" текущая строка помечена на удаление	Проверяет, что текущая строка в списке имеет пометку удаления.	And the current row in "%1 TableName" table is marked for deletion	Checks if the current row in the list is marked for deletion.
И для каждого файла "%1 ТекФайл" из каталога "%2 ИмяКаталога" включая подкаталоги	Делает перебор файлов в каталоге, включая подкаталоги. Также создаёт переменные:  _Имя, _ПолноеИмя, _ИмяБезРасширения, _Путь, _Расширение.	And for each "%1 CurrentFile" file from "%2 Directory" including subdirectories	Checks each file in the directory, including its subdirectories. Also creates variables:  _Name, _FullName, _NameWithoutExtension, _Path, _Extenstion.
"И я жду, что таблица ""%1 ИмяТаблицы"" не станет содержать строки в течение ""%2 20"" секунд:
 | ИмяКолонки1 | ИмяКолонки2 |
 | Значение1 | Значение2 |"	Проверяет, что таблица TestClient не станет содержать в себе строки из переданной таблицы Gherkin в течение нужного числа секунд.	"And I wait that ""%1 TableName"" table will not contain lines for ""%2 20"" seconds
 | ColumnName1 | ColumnName2 |
 | Value1 | Value2 |"	Checks if the TestClient table will not contain Gherkin table lines for the specified number of seconds.
И я удаляю переменную '%1 ИмяПеременной'	Удаляет локальную и глобальную переменную с таким именем, если они будут найдены. Если такой переменной, то исключение вызвано не будет.	And I delete '%1 VariableName' variable	Deletes both local and global variables with the specified name, if they exist. If the variable does not exist, no exception will be raised.
Дано двойной клик на текст "%1 Текст"	Делает двойной клик по картинке. Картинка генерируется по переданному тексту.	Given double click at the text "%1 Text"	Double clicks the picture. The picture is generated by the passed text.
Дано клик правой кнопкой на текст "%1 Текст"	Эмулирует клик правой кнопкой мышки по картинке. Картинка генерируется по переданному тексту.	Given right-click at the text "%1 Text"	Emulates right-click at the picture. The picture is generated by the passed text.
Дано курсор к тексту "%1 Текст"	Эмулирует перемещение курсора мышки к картинке. Картинка генерируется по переданному тексту.	Given cursor to the text "%1 Text"	Emulates cursor movement to the picture. The picture is generated by the passed text.
Если в таблице "%1 ИмяТаблицы" поле "%2 Заголовок поля" имеет значение по шаблону "%3 ШаблонЗначенияПоля" тогда	Условие. Проверяет значение ячейки таблицы по шаблону. Имя ячейки указывается как оно отображено в заголовке.	If "%2 FieldHeader" field in "%1 TableName" table has the value "%3 FieldValue"  by template Then	Condition. Checks cell value by the template. Cell name is specified as it appears in the header.
Если в таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" имеет значение по шаблону "%3 ШабонЗначенияПоля" тогда	Условие. Проверяет значение ячейки таблицы по шаблону. Имя ячейки указывается как оно задано в конфигураторе.	If the field named "%2 FieldHeader" in "%1 TableName" table has the value "%3 FieldValue"  by template Then	Condition. Checks cell value by the template. Cell name is specified as it appears in the Designer.
Если поле с именем "%1 ИмяПоля" имеет заголовок "%2 Заголовок" тогда	Условие. Проверка, что у поля нужный заголовок. Поле ищется по внутреннему идентификатору.	If the header of the field named "%1 FieldName" is "%2 Header"	Condition. Check the field has specified header. Field search by internal ID.
Затем клик на текст "%1 Текст"	Эмулирует клик левой кнопкой мышки по картинке. Картинка генерируется по переданному тексту.	Then click at the text "%1 Text"	Emulates left click at the picture. The picture is generated by the passed text.
И видеовставка картинки "%1 ИмяКартинки" "%2 ТекстДиктора"	Добавляет в видео вставку из указанной картинки с указанным текстом диктора.	And video snippet of the picture "%1 PictureName" "%2 NarratorText"	Inserts the snippet consisting of the specified picture and text in the video.
И у элемента с именем "%1 ИмяЭлемента" я жду значения "%2 Значение" в течение "%3 20" секунд по шаблону	Ожидание что элемент формы примет нужное значение в течение нужного времени. Иначе будет вызвано исключение. Возможно использование символа * при указании ожидаемого значения.	And I wait "%2 Value" value by template of the attribute named "%1 AttributeName" for "%3 20" seconds	Waiting for required value of form attribute in specified time.  Else an exception will be risen. You can use * character in the expected value.
И я сохраняю скриншот "%1 ПутьКФайлу"	Снимает скриншот с экрана и сохраняет по указнному пути.	And I save the screenshot to "%1 FilePath"	Makes a snapshot and saves it to the specified path.
"И я устанавливаю основной профиль цвета
		| 'Шрифт'      | 'arial' |
		| 'ЦветФона'   | 'white' |
		| 'ЦветШрифта' | 'black' |
		| 'Размер'     | '13'    |"	Устанавливает параметры для генерации картинок по тексту. Можно передать таблицу параметров либо передать имя готового профиля.	"And I set the main profile of the color
 | 'Font' | 'arial' |
 | 'BackgroundColor' | 'white' |
 | 'FontColor' | 'black' |
 | 'Size' | '13' |"	Sets the parameters to generate pictures by text. You can pass a table of parameter or profile name.
"И я устанавливаю профиль цвета ""%1 ИмяПрофиля""
		| 'Шрифт'      | 'arial' |
		| 'ЦветФона'   | 'white' |
		| 'ЦветШрифта' | 'black' |
		| 'Размер'     | '13'    |"	Устанавливает параметры для генерации картинок по тексту. Нужно передать имя профиля и значения параметров.	"And I set the color profile to ""%1 ProfileName""
 | 'Font' | 'arial' |
 | 'BackgroundColor' | 'white' |
 | 'FontColor' | 'black' |
 | 'Size' | '13' |"	Sets the parameters to generate pictures by text. You need to pass profile name and parameter values.
Дано Я выполняю команду командного интерфейса "%1 ИмяКоманды"		Given I execute command interface command "%1 CommandName"	
Дано Я открываю основную форму документа "%1 ИмяДокумента"		Given I open "%1 DocumentName1" document main form	
Дано Я открываю основную форму списка регистра накопления "%1 РегистрНакопления1"	Открывает основную форму регистра накопления по его имени в метаданных	Given I open "%1 AccumulationRegister1" accumulation register list form	Opens accumulation register default form by it's name in metadata
Дано Я открываю основную форму списка регистра сведений "%1 РегистрСведений1"	Открывает основную форму регистра сведений по его имени в метаданных	Given I open "%1 InformationRegister1" information register list form	Opens information register default form by it's name in metadata
Дано Я открываю основную форму справочника "%1 ИмяСправочника"	Открывает основную форму справочника по его имени в метаданных	Given I open "%1 CatalogName1" reference main form	Opens reference default form by it's name in metadata
Если появилось предупреждение, тогда	Условие. Проверяет, что появилось окно предупреждения.	If the warning is displayed then	Condition. Checks if warning window is displayed.
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я ввожу текущую дату	Ввод текущей даты в поле таблицы	And I input current date in the field named "%2 FieldName" of "%1 TableName" table	Input of current date in the table field.
И таблица "%1 ИмяТаблицы" содержит строки из макета "%2 ИмяМакета" по шаблону	Проверяет, что таблица TestClient содержит строки таблицы из макета. Т.е. если в таблице в TestClient 10 строк, то в шаге можно проверять наличие, например, только 3 строк. Также строки указанные в макете могут идти в любом порядке. При этом возможно использовать символ * в значении ячеек.	And "%1 TableName" table contains "%2 TemplateName" template lines by template	Checks if TestClient table contains the lines from template. I.e. if in the table at TestClient contains 10 lines, then in step you can check, for example, only 3 lines. Also the lines specified in the template may go in any order. You can use * character in cell values.
И у элемента "%1 Заголовок элемента" я жду значения "%2 Значение" в течение "%3 20" секунд по шаблону	Ожидание что элемент формы примет нужное значение в течение нужного времени. Иначе будет вызвано исключение. Возможно использование символа * при указании ожидаемого значения.	And I wait "%2 Value" value of "%1 AttributeName" attribute for "%3 20" seconds by template	Waiting for required value of form attribute in specified time.  Else an exception will be risen. You can use * character in the expected value.
И я включаю асинхронный режим выполнения шагов с интервалом "%1 ЗначениеИнтервала"	Включает режим асинхронного выполнения шагов.	And I turn on asynchronous execution mode with interval "%1 IntervalValue"	Turns asynchronous steps execution mode on.
И Я добавляю к шагу файл из "%1 ИмяПеременной" с типом "%2 ТипФайла"	Добавляет файл к текущему шагу в отчете Allure.	And I add to the step a file from "%1 variable Name" with type " %2 file Type"	Attaches the file to the current step in Allure report.
И я запоминаю текущую форму как "%1 ИмяФормы"	Сохранение имени формы текущего окна в переменную.	And I save current form as "%1 FormName"	Saving current form name to a variable.
И я набираю текст "%1 текст"	Эмулирует ввод текста с помощью утилиты KeyboardType. Возможен ввод на русском и английском языке. Для переключения расскладки эмулируется сочетание клавиш Ctrl+Shift.	And I type the text "%1 Text"	Emulates text input using the KeyboardType utility. Input in Russian and English is supported. Ctrl+Shift is emulated to switch the layout.
И я отключаю асинхронный режим выполнения шагов	Выключает режим асинхронного выполнения шагов.	And I turn off asynchronous execution mode	Turns asynchronous steps execution mode off.
И я сохраняю выпадающий список "%1 Заголовок списка" как "%2 Имя переменной"	Сохраняет представление выпадающего списка выбора в виде таблицы в памяти с колонками ПредставлениеДанных и ОтображаемыйТекст	And I save the dropdown list "%1 ListHeader " as " % 2 VariableName"	Saves dropdown list as a value table with columns DataPresentation and DisplayText
Если в панели открытых есть команда "%1 ИмяКоманды" Тогда	Условие. Проверяет наличие команды в панели открытых.	If opened panel contains "%1 CommandName" command Then	Condition. Checks the command presence in the opened panel.
Если в панели разделов есть команда "%1 ИмяКоманды" Тогда	Условие. Проверяет наличие команды в панели разделов.	If sections panel contains "%1 CommandName" command Then	Condition. Checks the command presence in the sections panel.
Если в панели функций есть команда "%1 ИмяКоманды" Тогда	Условие. Проверяет наличие команды в панели функций.	If functions panel contains "%1 CommandName" command Then	Condition. Checks the command presence in the functions panel.
Если в таблице "%1 ИмяТаблицы" есть колонка "%2 Заголовок колонки" Тогда	Условие.Проверяет наличие колонки в таблице.	If "%1 TableName" table contains "%2 ColumnHeader" column Then	Condition. Checks the column presence in the table.
Если в таблице "%1 ИмяТаблицы" есть колонка с именем "%2 ИмяКолонки" Тогда	Условие.Проверяет наличие колонки в таблице.	If "%1 TableName" table contains column named "%2 ColumnName" Then	Condition. Checks the column presence in the table.
Если в таблице "%1 ИмяТаблицы" нет колонки "%2 Заголовок колонки" Тогда	Условие.Проверяет отсутствие колонки в таблице.	If "%1 TableName" table does not contain "%2 ColumnHeader" column Then	Condition. Checks the column absence in the table.
Если в таблице "%1 ИмяТаблицы" нет колонки с именем "%2 ИмяКолонки" Тогда	Условие.Проверяет отсутствие колонки в таблице.	If "%1 TableName" table does not contain column named "%2 ColumnName" Then	Condition. Checks the column absence in the table.
Если в таблице "%1 ИмяТаблицы" поле "%2 Заголовок поля" заполнено Тогда	Условие. Проверяет заполненность ячейки таблицы. Имя ячейки указывается как оно отображено в заголовке.	If "%2 FieldHeader" field is filled in "%1 TableName" table Then	Condition. Checks table cell filling. Cell name is specified as it appears in the header.
Если в таблице "%1 ИмяТаблицы" поле "%2 Заголовок поля" не заполнено Тогда	Условие. Проверяет незаполненность ячейки таблицы. Имя ячейки указывается как оно отображено в заголовке.	If "%2 FieldHeader" field is not filled in "%1 TableName" table Then	Condition. Checks table cell emptiness. Cell name is specified as it appears in the header.
Если в таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" заполнено Тогда	Условие. Проверяет заполненность ячейки таблицы. Имя ячейки указывается как оно задано в конфигураторе.	If the field named "%2 FieldName" is filled in "%1 TableName" table Then	Condition. Checks table cell filling. Cell name is specified as it appears in the Designer.
Если в таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" не заполнено Тогда	Условие. Проверяет незаполненность ячейки таблицы. Имя ячейки указывается как оно задано в конфигураторе.	If the field named "%2 FieldName" is not filled in "%1 TableName" table Then	Condition. Checks table cell emptiness. Cell name is specified as it appears in the Designer.
Если появилось предупреждение, содержащее текст "%1 Текст" тогда	Условие. Проверяет, что появилось окно предупреждения, содержащее нужный текст.	If warning message containing text "%1 Text" appeared Then	Condition. Checks if warning window with required text is displayed.
Если элемент "%1 ИмяЭлементаФормы" доступен не только для просмотра Тогда	Условие. Проверяет флаг "Только просмотр" у элемента формы. Поиск поля производится по имени.	If "%1 AttributeName" attribute is not read-only Then	Condition. Checks the Read-only flag of the form attribute. Field search by name.
Если элемент "%1 ИмяЭлементаФормы" доступен только для просмотра Тогда	Условие. Проверяет флаг "Только просмотр" у элемента формы. Поиск поля производится по имени.	If "%1 AttributeName" attribute is read-only Then	Condition. Checks the Read-only flag of the form attribute. Field search by name.
И В панели функций я активизирую '%1 ИмяКоманды'	Активизация кнопки панели функций	And in functions panel I activate "%1 CommandName"	Activation of the functions panel button
И видеовставка "%1 Текст"	Выводит в автовидеоинструкцию нужный текст в виде вставки. Белые буквы на черном фоне.	And video insert "%1 PictureName" "%2 Text"	Inserts the specified text into the automatic video manual. White letters on black background.
И я включаю проверку только просмотр элементов с учётом групп элементов	Включает проверку флага "Только просмотр" элементов с учетом родителя.	And I turn ON items editability checking considering item groups visibility	Turns on Read-only check considering the parent.
И я выключаю проверку только просмотр элементов с учётом групп элементов	Выключает проверку "Только просмотр" элементов с учетом родителя.	And I turn OFF items editability checking considering item groups visibility	Turns off Read-only check considering the parent.
"И я выполняю код встроенного языка на сервере без контекста
	| 'Сообщить(""Hellow world."")' |"	Позволяет выполнить произвольный код на встроенном языке на сервере без контекста. Код передаётся через таблицу Gherkin.	"And I execute 1C:Enterprise script at server no context
 | ""Message (""Hello world."") "" |"	Allows execution of 1C:Enterprise language code at server no context. Code is passed through the Gherkin table.
И я жду когда завершится процесс с ИД процесса "%1 PID" в течение "%2 10" секунд	Ожидает завершение процесса по его PID.	And I am waiting for "%1 PID" process completion for "%2 10" seconds	Waits for the process completion by its PID.
И я жду когда закроется TestClient "%1 ИмяПрофиля" в течение "%2 10" секунд	Ожидает завершения сеанса тест клиента по имени его профиля.	And I am waiting for "%1 ProfileName" Test client closing for "%2 10" seconds	Waits for the test client session completion by its profile name.
И я запоминаю значение ячейки табличного документа "%1 РеквизитТабличныйДокумент" "%2 АдресЯчейки" в переменную "%3 ИмяПеременной"	Запоминает значение ячейки табличного документа в переменную.	And I save spreadsheet document cell value "%1 SpreadsheetDocumentAttribute" "%2 CellAddress" to "%3 VariableName" variable	Saves the value of spreadsheet document cell in a variable.
Тогда я копирую файл "%1 ИмяФайлаИсточник" "%2 ИмяФайлаПриемник"	Копирует файл.	Then I copy file "%1 SourceFile" to "%2 ReceiverFile"	Copies the file.
Тогда я перемещаю файл "%1 ИмяФайлаИсточник" "%2 ИмяФайлаПриемник"	Перемещает файл.	Then I move file "%1 SourceFile" to "%2 ReceiverFile"	Moves the file.
Дано двойной клик на картинку "%1 ИмяКартинки"	Делает двойной клик по картинке. Картинка, поиск которой будет происходить на экране, должна находится в каталоге проекта.	Given double click at "%1 PictureName" picture	Double clicks the picture Picture search area is the project directory.
Дано клик правой кнопкой на картинку "%1 ИмяКартинки"	Эмулирует клик правой кнопкой мышки по картинке. Картинка, поиск которой будет происходить на экране, должна находится в каталоге проекта.	Given right click at "%1 PictureName" picture	Emulates right click at the picture Picture search area is the project directory.
Дано курсор к картинке "%1 ИмяКартинки"	Эмулирует перемещение курсора мышки к картинке. Картинка, поиск которой будет происходить на экране, должна находится в каталоге проекта.	Given cursor to "%1 PictureName" picture	Emulates cursor movement to the picture Picture search area is the project directory.
Дано я открываю картинку в основном редакторе "%1 ИмяКартинки"	Вызывает команду системы. Будет открыто приложение, которое ассоциировано для данного типа файлов.	Given I open "%1 PictureName" picture in main editor	Calls system command. The application associated with this file type will be opened
Если есть картинка "%1 ИмяКартинки" Тогда	Условие. Проверяет, есть ли на экране нужная картинка.	If "%1 PictureName" picture exists Then	Condition. Checks if there is the required picture on the screen.
Затем Я подключаю уже запущенный клиент тестирования "%1 ИмяПрофиля"	Подключает запущенный ранее клиент тестирования, который мог быть запущен из другой программы. Если сеанс не найден - выдёт исключение.	Then I connect launched Test client "%1 ProfileName"	Connect previously started test client, which could be launched from another application. Raises an exception If the session is not found.
