Шаг оригинал	Описание	Перевод шага	Перевод описания
Когда Я задаю параметры считывания макета НачСтр "%1 1" НачКол "%2 1" КолСтр "%3 100" КолКол "%4 20"	Указывает область чтения макета, когда он считывается по одной ячейке из данных TestClient	Quando io imposto i parametri della lettura del modello PrimaPag "%1 1" PrimaCol "%2 1" NumRig "%3 100" NumCol "%4 20"	Specifica la zona di lettura del modello quando viene letto cella per cella dai dati TestClient
Дано Я открыл новый сеанс TestClient или подключил уже существующий	Открывает новый TesClient в той же базе, что и TestManager или подключает уже существующий	Dato Io apro una nuova sessione di TestClient o collego una già esistente	Apre nuovo TestClient nello stesso database, come anche il TestManager, o collega uno esistente
Дано Я запускаю сценарий открытия TestClient или подключаю уже существующий	Подключает новый TestClient если необходимо и закрывает в нём все окна	Dato Io eseguo lo scenario dell'apertura TestClient o collego uno già esistente	Collegare nuovo TestClient se necessario e chiude tutte le finestre in esso
Когда Я нажимаю кнопку командного интерфейса "%1 Имя кнопки"	Нажимает на кнопку командного интерфейса	Quando Io premo un pulsante dall'interfaccia di comando "%1 NomePulsante"	Fare clic sul pulsante di interfaccia di comando
Когда В панели разделов я выбираю "%1 ИмяКоманды"	Нажатие кнопки на панели разделов	Quando nel pannello sezioni io seleziono "%1 NomeComando"	Clicca pulsante sul pannello delle sezioni
И В панели функций я выбираю "%1 ИмяКоманды"	Нажатие кнопки на панели функций	E nel pannello delle funzioni seleziono "%1 NomeComando"	Premere un pulsante sulla barra funzioni
Тогда открылось окно "%1 ИмяФормы"	Проверяет, что на экране есть активное окно с нужым заголовком	Allora si aprire la finestra "%1 NomeForma"	Verifica che sullo schermo presente una finestra attiva con il titolo desiderato
И в поле с именем "%1 ИмяПоля" я ввожу текст "%2 Значение поля"	Вводит текст в поле	E nel campo con il nome "%1 NomeCampo" inserisco il testo "%2 Valore del campo"	Inserisce il testo in un campo
И я открываю выпадающий список с именем "%1 ИмяСписка"	Открывает выпадающий список	E io apro l'elenco a discesa con il nome "%1 NomeElenco"	Si apre un elenco a discesa
И я нажимаю кнопку выбора у поля с именем "%1 ИмяПоля"	Нажимает на кнопку выбора у поля	E io premo il pulsante Select vicino al campo con il nome "%1 NomeCampo"	Fare clic sul pulsante Seleziona nel campo
И из выпадающего списка с именем "%1 МойВыпадающийСписок" я выбираю "%2 ЗначениеИзСписка"	Выбор из выпадающего списка	E dal menu a tendina con il nome "%1 MioElencoADiscesa" io scelgo "%2 ValoreDallElenco"	Selezionare dal menu a tendina
И в таблице "%1 ИмяТаблицы" я нажимаю на кнопку "%2 Добавить"	Нажимает на кнопку таблицы. Кнопка ищется по заголовку.	E nella tabella "%1 NomeTabella" io clicco il bottone "%2 Aggiungere"	Fare clic sul pulsante dellatabella. Il pulsante si cerca per titolo.
И в таблице "%1 ИмяТаблицы" в поле "%2 ИмяПоля" я ввожу текст "%3 НужныйМнеТекст"	Ввод текста в поле таблицы	E nella tabella "%1 NomeTabella" nel campo "%2 NomeCampo" inserisco il testo "%3 TestoDesiderato"	Inserisce il testo nel campo della tabella
И В таблице "%1 ИмяТаблицы" я завершаю редактирование строки	Завершение редактирования строки	E la tabella "%1 Nome tabella" ho finito l'editing della riga	Completamento di modifica della riga
И я нажимаю на кнопку "%1 Создать"	Нажимает на кнопку с нужным заголовокм	E clicco sul pulsante "%1 Creare"	Preme il pulsante con il nome desiderato
Дано В активном окне открылась форма с заголовком "%1 Заголовок формы"	Шаг проверяет, что в активном окне есть нужная форма.	Dato Nella finestra attiva per aprire la forma con l'intestazione "%1 Titolo forma"	Passaggio verifica che ci sia la forma corretta nella finestra attiva.
Дано В последнем сообщении TestClient есть строка "%1 Стр"	Шаг позволяет проверить содержание самого нового сообщения пользователю.	Dato Nell'ultimo messaggio del TestClient c'è una riga "%1 Riga"	Passaggio consente di controllare il contenuto del nuovo messaggio per l'utente.
Дано Ожидаем завершения фонового формирования отчета в течение "%1 10" секунд	Шаг ждёт указанное время, что завершились активные фоновые задания.	Dato Attendiamo la conclusione della generazione del report durante "%1 10" secondi	Passaggio attende per un tempo determinato per concludere i processi in background attivi.
Дано Открылось окно предупреждения с заголовком "%1 Заголовок" и текстом "%2 Текст"	Шаг проверяет, что сейчас на экране появилось окно предупреждения.	Dato Si è aperta una finestra di avviso con l'intestazione "%1 Titolo" e il testo "%2 Testo"	Il passaggio controlla che ora appare sullo schermo una finestra di avviso.
Дано Табличный документ формы с именем "%1 РеквизитТабличныйДокумент" стал равен макету с именем "%2 ИмяМакета"	Шаг позволяет проверить, что макет на форме соответствует эталону.	Dato Il documento tabellare della forma denominato "%1 RequisitoDocumentoTabellare" è diventato al layout denominato "%2 NomeModello"	Passaggio permette di controllare che il layout sulla forma corrisponde allo standard.
Дано Я открываю основную форму обработки "%1 Обработка1"	Открывает форму обработки по её имени в метаданных	Dato Io apro la principale forma di trattamento "%1 Obrabotka1"	Apre una forma di elaborazione dal suo nome nei metadati
Дано Я открываю основную форму списка документа "%1 Документ1"	Открывает основную форму списка документа по его имени в метаданных	Dato Io apro la forma principale della lista documento "%1 Documento1"	Apre la forma della lista principale del documento dal suo nome nei metadati
Дано Я открываю основную форму списка справочника "%1 Справочник1"	Открывает основную форму списка справочника по его имени в метаданных	Dato Io apro la forma principale della lista catalogo '%1 Catalog1"	Apre la forma di lista principale del catalogo dal suo nome nei metadati
Дано Я открыл сеанс TestClient от имени "%1 МойПользователь" с паролем "%2 МойПароль" или подключаю уже существующий	Позволяет подключить TestClient с нужным логином и паролем в той же базе, в которой запущен TestManager	Dato Io apro la sessione TestClient per conto di "%1 MioUtente" con la password "%2 MiaPassword" o collego una esistente	Consente collegare TestClient con utente e password appropriati nella stessa base, dove è già in esecuzione TestManager
Если "%1 Истина" тогда	Условие. Проверяет выражение встроенного языка	Se "%1 VERO" allora	Condizioni. Controlla l'espressione del linguaggio interno
Если в окне предупреждения нет текста "%1 Нужный текст" тогда	Условие. Истинно, когда в окне предупреждения нет искомого текста.	Se la finestra di avviso non ha alcun testo "%1 Testo desiderato" allora	Condizioni. E' Vero quando nel messaggio di avviso non c'è il testo desiderato.
"Если в таблице ""%1 ИмяТаблицы"" есть строка Тогда
	| 'Реквизит строка' |
	| '2'               |"	Условие. Истинно, если в таблице есть нужная строка/строки.	"Se nella tabella ""%1 NomeTabella"" esiste una stringa Allora
 | 'Requisito riga' |
 | '2'               |"	Condizioni. E' Vero se nella tabella troviamo linea / linee desiderate.
Если в таблице "%1 ИмяТаблицы" количество строк "%2 меньше или равно" "%3 2" Тогда	Условие. Проверяет количество строк в таблице	Se nella tabella "%1 NomeTabella" il numero di righe "%2 minore o uguale a" "%3 2" Quindi	Condizione. Controlla il numero di righe nella tabella
Если в текущем окне есть сообщения пользователю Тогда	Условие. Проверяет, что в текущем окне есть сообщения пользователю.	Se c'è un messaggio per un utente nella finestra corrente, Allora	Condizioni. Si controlla che la finestra corrente ha un messaggio per l'utente.
Если Версия платформы "%1 >=" "%2 8.3.6" Тогда	Условие. Проверяет версию платформы	Se la versione della piattaforma "%1 > =" "%2 8.3.6" Allora	Condizioni. Verifica la versione della piattaforma
Если имя текущей формы "%1 ПечатьДокументов" Тогда	Условие. Проверяет имя текущей формы	Se il nome corrente della forma "%1 StampaDocumenti" Allora	Condizioni. Controlla il nome corrente della forma
Если поле "%1 ИмяПоля" имеет значение "%2 тест" тогда	Условие. Проверяет значение поля.	Se il campo "%1 NomeCampo" è uguale "%2 Test" allora	Condizioni. Controlla il valore del campo.
Если поле с именем "%1 ИмяПоля" имеет значение "%2 тест" тогда	Условие. Проверяет значение поля.	Se il campo denominato "%1 NomeCampo" ha un valore di "%2 test" allora	Condizioni. Controlla il valore del campo.
Если появилось окно с заголовком "%1 ИмяОкна" Тогда	Условие. Проверяет, что на экране есть активное окно с нужным заголовком	Se viene visualizzata una finestra intitolata "%1 NomeFinestra" Allora	Condizioni. Si verifica che lo schermo ha la finestra attiva con il titolo desiderato
Если появилось окно с заголовком из таблицы Тогда	Условие. Проверяет, что есть окно с заголовком из таблицы	Se viene visualizzata una finestra con il titolo dalla tabella Allora	Condizioni. Si verifica che c'è una finestra con un titolo dal tavolo
Если текущее окно "%1 не равно" ожидаемому окну "%2 НужноеОкно" Тогда	Условие. Проверяет что текущее окно равно/неравно нужному окну, которое запомнили ранее	Se la finestra corrente "%1 non è uguale" prevista finestra "%2 FinestraDesiderata" Allora	Condizioni. Verifica che la finestra corrente è uguale / non uguale alla finestra desiderata memorizzata in precedenza
Если элемент "%1 ИмяЭлементаФормы" не присутствует на форме Тогда	Условие. Проверяет видимость элемента на форме	Se l'elemento "%1 NomeElementoModulo" non è presente sulla forma allora	Condizioni. Verifica la visibilità dell'elemento sulla forma
Если элемент "%1 ИмяЭлементаФормы" присутствует на форме Тогда	Условие. Проверяет видимость элемента на форме	Se la voce "%1 NomeElementoForma" è presente sulla forma allora	Condizioni. Verifica la visibilità dell'elemento della maschera
Если это не начальная страница Тогда	Условие. Проверяет, то текущее окно это не начальная страница	Se questo non è la home page Allora	Condizioni. Verifica che la finestra corrente non è una home page
Затем Если появилось окно диалога я нажимаю на кнопку "%1 ИмяКнопки"	Если на экране появилось диалоговое окно - нажимает на нужную кнопку.	Quindi Se viene visualizzata la finestra di dialogo io clicco sul pulsante "%1 NomePulsante"	Quando viene visualizzata la finestra di dialogo - cliccare sul pulsante appropriato.
Затем я останавливаю выполнение шагов	Останавливает выполнение шагов	Quindi io fermo l'esecuzione dei passaggi	Interrompe l'esecuzione di passaggi
И В панели функций в группе "%1 Основное" я выбираю "%2 ИмяКоманды"	Нажатие кнопки на панели функций нужной группы	E Nel gruppo di pannello di funzioni "%1 Principale" io scelgo "%2 NomeComando"	Premere il pulsante del pannello funzioni del gruppo desiderato
И в поле "%1 ИмяПоля" я ввожу текст "%2 Значение поля"	Вводит текст в поле	E nel campo "%1 NomeCampo" inserisco il testo "%2 Valore del campo"	Inserisce il testo in un campo
И в поле "%1 ИмяПоля" ввожу значение глобального ключа "%2 Ключ"	Вставка значения ранее сохраненного ключа в реквизит	E nel campo "%1 NomeCampo" inserisco il valore della chiave globale "%2 Chiave"	Inserimento nel requisito del valore della chiave precedentemente memorizzato
И в поле "%1 ИмяПоля" ввожу значение глобальной переменной "%2 НомерДокумента"	Вставка значения ранее сохраненной переменной в реквизит	E nel campo "%1 NomeCampo" inserisco la variabile globale "%2 NumeroDocumento"	Inserimento nel requisito del valore nella variabile precedentemente memorizzata
И в поле "%1 ИмяПоля" ввожу значение ключа "%2 Номер документа"	Вставка значения ранее сохраненного произвольного ключа в реквизит	E nel campo "%1 NomeCampo" io inserisco il valore della chiave '%2 Numero documento"	Inserimento nel requisito del valore della chiave precedentemente memorizzato
И в поле "%1 ИмяПоля" ввожу значение переменной "%2 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	E nel campo "%1 NomeCampo" inserisco il valore della variabile "%2 NomeVariabile"	Inserimento nel requisito del valore della variabile precedentemente memorizzato
И в поле с именем "%1 ИмяПоля" ввожу значение глобального ключа "%2 Ключ"	Вставка значения ранее сохраненного произвольного ключа в реквизит	E nel campo denominato "%1 NomeCampo"  inserisco il valore della chiave globale "%2 Chiave"	Inserimento nel requisito del valore della chiave precedentemente memorizzato
И в поле с именем "%1 ИмяПоля" ввожу значение глобальной переменной "%2 НомерДокумента"	Вставка значения ранее сохраненной переменной в реквизит	E nel campo denominato "%1 NomeCampo" inserisco il valore della variabile globale "%2 NumeroDocumento"	Inserimento nel requisito del valore di variabile precedentemente memorizzata
И в поле с именем "%1 ИмяПоля" ввожу значение ключа "%2 Номер документа"	Вставка значения ранее сохраненного произвольного ключа в реквизит	E nel campo con il nome "%1 NomeCampo" io inserisco il valore della chiave '%2 Numero documento"	Inserimento nel requisito del valore di una chiave precedentemente memorizzata
И в поле с именем "%1 ИмяПоля" ввожу значение переменной "%2 ИмяПеременной"	Вставка значения ранее сохраненной переменной в реквизит	E nel campo denominato "%1 NomeCampo" inserisco il valore della variabile "%2 NomeVariabile"	Inserimento nel requisito del valore di variabile precedentemente memorizzata
И в таблице "%1 Список" я начинаю редактирование строки	Начало редактирования строки	E nella tabella "%1 Lista" sto iniziando la modifica della riga	Inizia modifica della riga
И в таблице "%1 Список" я перехожу на один уровень вверх	Переход на один уровень вверх в списке в режиме "Иерархический список"	E nella tabella "%1 Lista" mi sposto di un livello su	Salire di un livello nella lista nel regime "Lista gerarchica"
И в таблице "%1 Список" я перехожу на один уровень вниз	Переход на один уровень вниз в списке в режиме "Иерархический список"	E nella tabella "%1 Lista" mi sposto di un livello giù	Sciendere di un livello nella lista nel regime "Lista gerarchica"
И в таблице "%1 Список" я перехожу на одну строку вверх	Переходим в таблице на предыдущую строку	E nella tabella "%1 Lista" mi sposto su di una riga	Va nella tabella sulla riga precedente
И В таблице "%1 Список" я перехожу на одну строку вверх с выделением	Переходим в таблице на предыдущую строку с выделением	E nella tabella "%1 Lista" mi sposto su di una riga selezionandola	Va nella tabella sulla riga precedente selezionandola
И в таблице "%1 Список" я перехожу на одну строку вниз	Переходим в таблице на следующую строку	E nella tabella "%1 Lista" mi sposto giù di una riga	Va nella tabella sulla riga successiva
И В таблице "%1 Список" я перехожу на одну строку вниз с выделением	Переходим в таблице на следующую строку с выделением	E nella tabella "%1 Lista" mi sposto giù di una riga selezionandola	Va nella tabella sulla riga successiva selezionandola
И в таблице "%1 Отборы" я активизирую поле "%2 ИмяПоля"	Активизирует поле таблицы	E nella tabella "%1 Selezioni" io attivo il campo "%2 NomeCampo"	Attiva il campo della tabella
И в таблице "%1 Отборы" я активизирую поле с именем "%2 ИмяПоля"	Активизирует поле таблицы	E nella tabella "%1 Selezioni" io attivo il campo con il nome "%2 NomeCampo"	Attiva il campo della tabella
И в таблице "%1 Список" я выбираю текущую строку	Выбор текущей строки с указанием таблицы	E nella tabella "%1 Lista" scelgo la riga corrente	Selezione della riga corrente con l'indicazione della tabella
И в таблице "%1 Список" я добавляю строку	Добавление строки	E nella tabella "%1 Lista", aggiungo una riga	Aggiungere una riga
И в таблице "%1 Список" я перехожу к первой строке	Переход к первой строке данной таблицы	E nella tabella "%1 Lista" vado alla prima riga	Va alla prima riga di questa tabella
И в таблице "%1 Список" я перехожу к последней строке	Переход к последней строке данной таблицы	E nella tabella "%1 Lista" vado nell'ultima riga	Va all'ultima riga di questa tabella
И в таблице "%1 Список" я перехожу к предыдущей строке	Переход к предыдущей строке данной таблицы	E nella tabella "%1 Lista" mi sposto alla riga precedente	Va alla riga precedente di questa tabella
И в таблице "%1 Список" я перехожу к следующей строке	Переход к следующей строке данной таблицы	E nella tabella "%1 Lista" mi sposto alla riga successiva	Va alla riga successiva di questa tabella
"И в таблице ""%1 Список"" я перехожу к строке
		| Наименование |
		|    Товар1    |"	Переход к нужной строке данной таблицы	"E nella tabella ""%1 Lista"" vado alla riga
  | Denominazione |
  |    Merce1    |"	Va alla riga d'interesse della tabella
И в таблице "%1 Список" я удаляю строку	Удаление строки	E nella tabella "%1 Lista" io cancello la riga	Eliminazione di una riga
И в таблице "%1 ИмяТаблицы" в поле с именем "%2 ИмяПоля" я ввожу текст "%3 НужныйМнеТекст"	Ввод текста в поле таблицы	E nella tabella "%1 NomeTabella" nel campo denominato "%2 NomeCampo" Ho immettere il testo "%3 TestoDesiderato"	Inserisce il testo nel campo della tabella
И в таблице "%1 ИмяТаблицы" из выпадающего списка "%2 ИмяПоля" я выбираю "%3 ЗначениеПоля"	Выбор значения из выпадающего списка	E nella tabella "%1 NomeTabella" dalla lista a discesa "%2 NomeCampo" scelgo "%3 ValoreCampo"	Selezione del valore dall'elenco a discesa
И в таблице "%1 ИмяТаблицы" из выпадающего списка с именем "%2 ИмяПоля" я выбираю "%3 ЗначениеПоля"	Выбор значения из выпадающего списка	E nella tabella "%1 NomeTabella" dal menu a discesa con il nome "%2 NomeCampo" Io scelgo "%3 ValoreCampo"	Selezione del valore dall'elenco a discesa
И в таблице "%1 ИмяТаблицы" поле "%2 ИмяФлага" имеет значение "%3 Да"	Проверка значения поля текущей строки таблицы	Nella tabella "%1 NomeTabell" il campo "%2 NomeFlag" è "%3 Sì"	Controlla il valore del campo nella riga corrente della tabella
И в таблице "%1 ИмяТаблицы" я выбираю значение реквизита "%2 Реквизит справочник выбор из формы списка" из формы списка	Выбор значения реквизита из выпадающего списка	E nella tabella "%1 NomeTabella" scelgo il valore del requisito "%2 Requisito del catalogo selezione da forma di elenco" dalla forma di elenco	Selezione del valore del requisito dall'elenco a discesa
И в таблице "%1 ИмяТаблицы" я выбираю значение реквизита с именем "%2 Реквизит справочник выбор из формы списка" из формы списка	Выбор значения реквизита из выпадающего списка	E nella tabella "%1 NomeTabella" scelgo il valore del requisito con il nome "%2 Requisito del catalogo selezione da forma di elenco" dalla forma di elenco	Selezione del valore del requisito dall'elenco a discesa
И в таблице "%1 ИмяТаблицы" я изменяю флаг "%2 ИмяФлага"	Изменяет текущее состояние флага	E nella tabella "%1 NomeTabella" cambio il flag '%2 NomeFlag "	Cambia lo stato attuale del flag
И в таблице "%1 ИмяТаблицы" я изменяю флаг с именем "%2 ИмяФлага"	Изменяет текущее состояние флага	E nella tabella "%1 NomeTabella" cambio il flag con il nome '%2 NomeFlag "	Cambia lo stato attuale del flag
И в таблице "%1 ИмяТаблицы" я нажимаю на кнопку с именем "%2 Добавить"	Нажимает на кнопку таблицы. Кнопка ищется по имени.	E nella tabella "%1 NomeTabella" clicco sul pulsante con il nome "%2 Aggiungi"	Fa clic sul pulsante della tabella. Pulsante si cerca per il nome.
