Шаг оригинал	Описание	Перевод шага	Перевод описания
Иерархический список	Категория шагов	Danh sбch phвn nhбnh	Thể loại các bước
Имя формы	Категория шагов	Tên biểu mẫu	Thể loại các bước
Исключения	Категория шагов	Loại trừ	Thể loại các bước
Календарь	Категория шагов	Lịch	Thể loại các bước
Кнопка выбора	Категория шагов	Nút chọn	Thể loại các bước
Кнопки	Категория шагов	Nъt	Thể loại các bước
Количество строк	Категория шагов	Số lượng dòng	Thể loại các bước
Командный интерфейс	Категория шагов	Giao diện lệnh	Thể loại các bước
Контекст	Категория шагов	Ngữ cảnh	Thể loại các bước
Контекст сохраняемый	Категория шагов	Ngữ cảnh đã lưu	Thể loại các bước
Контекстное меню	Категория шагов	Menu nуng	Thể loại các bước
Макет	Категория шагов	Khuфn in	Thể loại các bước
Новое подключение к базе	Категория шагов	Kết nối mới đến cơ sở thông tin	Thể loại các bước
Новое подключение к той же базе, где запущен TestManager	Категория шагов	Kết nối mới đến chính cơ sở thông tin mà đã khởi động TestManager	Thể loại các bước
Нумерация	Категория шагов	Đánh số	Thể loại các bước
Область	Категория шагов	Vщng	Thể loại các bước
Область чтения	Категория шагов	Vùng đọc	Thể loại các bước
Ожидание доступности элемента	Категория шагов	Đợi tính khả dụng của phần tử	Thể loại các bước
Ожидание значения	Категория шагов	Đợi giá trị	Thể loại các bước
Ожидание значения таблицы	Категория шагов	Đợi giá trị của bảng	Thể loại các bước
Ожидание значения элемента	Категория шагов	Đợi giá trị của phần tử	Thể loại các bước
Ожидание появления элемента	Категория шагов	Đợi sự xuất hiện của phần tử	Thể loại các bước
Окна	Категория шагов	Cửa sổ	Thể loại các bước
Окно	Категория шагов	Cửa sổ	Thể loại các bước
Остановить выполнение сценариев	Категория шагов	Ngừng thực hiện kịch bản	Thể loại các bước
Открыть	Категория шагов	Mở	Thể loại các bước
Открыть список	Категория шагов	Mở danh sách	Thể loại các bước
Открыть форму объекта	Категория шагов	Mở biểu mẫu đối tượng	Thể loại các bước
Отчеты	Категория шагов	Bбo cбo	Thể loại các bước
Очистить поле	Категория шагов	Xóa trường	Thể loại các bước
Пакетный режим	Категория шагов	Chế độ đóng gói	Thể loại các bước
Перебор массива	Категория шагов	Phân loại mảng	Thể loại các bước
Перебор строк	Категория шагов	Phân loại dòng	Thể loại các bước
Перейти к следующему реквизиту	Категория шагов	Chuyển đến mục tin tiếp theo	Thể loại các bước
Переключатели	Категория шагов	Nút gạt	Thể loại các bước
Переход к строке	Категория шагов	Chuyển đến dòng	Thể loại các bước
Переход к ячейке	Категория шагов	Chuyển đến ô	Thể loại các bước
Подключение TestClient	Категория шагов	Kết nối TestClient	Thể loại các bước
Подсказка	Категория шагов	Chỉ dẫn	Thể loại các bước
Поле таблицы	Категория шагов	Trường bảng	Thể loại các bước
Поле формы	Категория шагов	Trường biểu mẫu	Thể loại các bước
Поля	Категория шагов	Trường	Thể loại các bước
Представление элемента	Категория шагов	Trình bày phần tử	Thể loại các bước
Проверка видимости	Категория шагов	Kiểm tra tính hiện hình	Thể loại các bước
Проверка доступности	Категория шагов	Kiểm tra tính khả dụng	Thể loại các bước
Проверка значений именнованных областей	Категория шагов	Kiểm tra giá trị vùng đã đặt tên	Thể loại các bước
Проверка значения колонки таблицы	Категория шагов	Kiểm tra giá trị cột trong bảng	Thể loại các bước
Проверка значения поля	Категория шагов	Kiểm tra giá trị của trường	Thể loại các bước
Проверка значения таблицы	Категория шагов	Kiểm tra giá trị của bảng	Thể loại các bước
Проверка значения табличного документа	Категория шагов	Kiểm tra giá trị của văn bản dạng bảng	Thể loại các bước
Проверка значения текущей строки таблицы	Категория шагов	Kiểm tra giá trị dòng hiện tại của bảng	Thể loại các bước
Проверка колонки	Категория шагов	Kiểm tra cột	Thể loại các bước
Проверка на пустоту	Категория шагов	Kiểm tra đối với việc trống rỗng	Thể loại các bước
Проверка состава колонок	Категория шагов	Kiểm tra thành phần cột	Thể loại các bước
Проверка существования	Категория шагов	Kiểm tra sự tồn tại	Thể loại các bước
Произвольная строка	Категория шагов	Dтng tщy э	Thể loại các bước
Просмотр	Категория шагов	Xem	Thể loại các bước
Профиль TestClient	Категория шагов	Hồ sơ TestClient	Thể loại các bước
Прочее	Категория шагов	Khбc	Thể loại các bước
Прочитать значение	Категория шагов	Đọc giá trị	Thể loại các bước
Работа с подключенными TestClient	Категория шагов	Làm việc với TestClient đã kết nối	Thể loại các bước
Равенство по шаблону	Категория шагов	Công bằng theo khuôn mẫu	Thể loại các bước
Развернуть/Свернуть	Категория шагов	Mở rộng/Thu gọn	Thể loại các bước
Редактирование строки	Категория шагов	Soạn dòng	Thể loại các bước
Результат выполнения сценария	Категория шагов	Kết quả thực hiện kịch bản	Thể loại các bước
Результат выражения в поле	Категория шагов	Kết quả biểu thức trong trường	Thể loại các bước
Реквизиты	Категория шагов	Mục tin	Thể loại các bước
Сделать паузу	Категория шагов	Tạm dừng	Thể loại các bước
Содержит значения	Категория шагов	Có chứa giá trị	Thể loại các bước
Содержит строки	Категория шагов	Có chứa dòng	Thể loại các bước
Содержит текст	Категория шагов	Có chứa nội dung	Thể loại các bước
Создать	Категория шагов	Tạo	Thể loại các bước
Сообщения пользователю	Категория шагов	Thông báo cho người sử dụng	Thể loại các bước
Сохранить в переменную	Категория шагов	Lưu vào biến	Thể loại các bước
Сохранить в файл	Категория шагов	Lưu vào tệp	Thể loại các bước
Сохранить значение	Категория шагов	Lưu giá trị	Thể loại các bước
Сравнить табличные документы	Категория шагов	So sánh văn bản dạng bảng	Thể loại các bước
Таблица	Категория шагов	Bảng	Thể loại các bước
Таблица Gherkin	Категория шагов	Bảng Gherkin	Thể loại các bước
Таблицы	Категория шагов	Bảng	Thể loại các bước
Табличный документ	Категория шагов	Văn bản dạng bảng	Thể loại các bước
Текущая строка	Категория шагов	Dòng hiện tại	Thể loại các bước
Точное значение	Категория шагов	Giá trị chính xác	Thể loại các bước
Точное равенство	Категория шагов	Sự công bằng chính xác	Thể loại các bước
Увеличить значение	Категория шагов	Tăng giá trị	Thể loại các bước
Удаление строк	Категория шагов	Xуa dтng	Thể loại các bước
Уменьшить значение	Категория шагов	Giảm giá trị	Thể loại các bước
Условие	Категория шагов	Điều kiện	Thể loại các bước
Установить значение	Категория шагов	Thiết lập giá trị	Thể loại các bước
Установить синоним	Категория шагов	Thiết lập sự đồng nghĩa	Thể loại các bước
Файлы	Категория шагов	Tệp	Thể loại các bước
Фильтр формы списка	Категория шагов	Bộ lọc biểu mẫu danh sách	Thể loại các bước
Флаги	Категория шагов	Hộp kiểm	Thể loại các bước
Формы	Категория шагов	Biểu mẫu	Thể loại các bước
Циклы	Категория шагов	Chu trмnh	Thể loại các bước
Эталонный макет	Категория шагов	Khuôn mẫu tiêu chuẩn	Thể loại các bước
Ячейки	Категория шагов	Ф	Thể loại các bước
Дано Я сохраняю макет из обработки "%1 ИмяМакетаВОбработке" в файл "%2 ИмяФайла"	Сохраняет макет из обработки, связанной с фичей, в нужный файл.	Đã đưa ra Tôi lưu khuôn in từ bộ xử lý "%1 TênKhuônInTrongBộXửLý" sang tệp "%2 TênTệp"	Lưu khuôn in từ bộ xử lý mà có liên quan đến tính năng đưa vào tệp cần thiết.
Дано В активном окне открылась форма с заголовком "%1 Заголовок формы"	Шаг проверяет, что в активном окне есть нужная форма.	Đã đưa ra Trong cửa sổ hiện tại đã mở ra biểu mẫu có tiêu đề "%1 Tiêu đề biểu mẫu"	Bước kiểm tra, trong cửa sổ hiện hoạt có biểu mẫu cần thiết.
Дано В последнем сообщении TestClient есть строка "%1 НужнаяСтрока"	Шаг позволяет проверить содержание самого нового сообщения пользователю.	Đã đưa ra Trong thông báo tiếp theo TestClient có dòng "%1 DòngCầnThiết"	Bước cho phép kiểm tra nội dung thông báo mới nhất cho người sử dụng.
Дано В последнем сообщении TestClient есть строка по шаблону "%1 Д*"	Шаг позволяет проверить содержание самого нового сообщения пользователю. Допускается использовать символ *.	Đã đưa ra Trong thông báo tiếp theo TestClient có dòng theo khuôn mẫu "%1  Đ*"	Bước cho phép kiểm tra nội dung thông báo mới nhất cho người sử dụng. Cho phép sử dụng ký tự *.
Дано Ожидаем завершения фонового формирования отчета в течение "%1 10" секунд	Шаг работает только когда TestManager и TestClient работают в одной и той же базе. Шаг ждёт указанное время, что завершились активные фоновые задания.	Đã đưa ra Đợi hoàn tất tạo báo cáo theo chế độ nền trong "%1 10" giây	Bước này hoạt động chỉ khi TestManager và TestClient hoạt động trong cùng một cơ sở thông tin. Bước này đợi thời gian cụ thể khi các nhiệm vụ nền hiện tại đã kết thúc.
Дано Открылось окно предупреждения с заголовком "%1 Заголовок" и текстом "%2 Текст"	Шаг проверяет, что сейчас на экране появилось окно предупреждения.	Đã đưa ra Mở cửa sổ cảnh báo với tiêu đề "%1 Tiêu đề" và có nội dung "%2 Nội dung"	Bước kiểm tra, hiện nay trên màn hình xuất hiện cửa sổ cảnh báo.
Дано Табличный документ "%1 РеквизитТабличныйДокумент" равен макету "%2 ИмяМакета"	Шаг позволяет проверить, что табличный документ соответствует эталону. Макет ищется сначала в обработке фича файла, затем в каталоге проекта. Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	Đã đưa ra Văn bản dạng bảng "%1 MụcTinVănBảnDạngBảng" bằng khuôn in "%2 TênKhuônIn"	Bước cho phép kiểm tra, văn bản dạng bảng tương ứng với mẫu chuẩn. Khuôn in được tìm đầu tiên khi xử lý tệp tính năng, sau đó trong thư mục dự án. Để nhận tệp xml từ TestClient, trong Client mỏng sẽ thử lưu văn bản dạng bảng vào tệp. Trong Web Client sẽ luôn đọc tệp theo các ô. Chi tiết trong trợ giúp, trong mục dành để so sánh văn bản dạng bảng với mẫu chuẩn.
Дано Табличный документ "%1 РеквизитТабличныйДокумент" равен макету "%2 ИмяМакета" по шаблону	Шаг позволяет проверить, что табличный документ соответствует эталону. В значениях эталонного макета допускается использовать символы *. Макет ищется сначала в обработке фича файла, затем в каталоге проекта. Чтобы получить mxl файл из TestClient, в тонком клиенте будет сделана попытка сохранить табличный документ в файл. В Web клиенте он всегда будет считываться по ячейкам. Детали в справке, в разделе, посвященному сравнению табличного документа с эталоном.	Đã đưa ra Văn bản dạng bảng "%1 MụcTinVănBảnDạngBảng" bằng khuôn in "%2 TênKhuônIn" theo khuôn mẫu	Bước cho phép kiểm tra, văn bản dạng bảng tương ứng với mẫu chuẩn. Trong các giá trị của mẫu chuẩn, cho phép sử dụng ký tự *. Khuôn in được tìm thấy đầu tiên khi xử lý tệp tính năng, sau đó trong thư mục dự án. Để nhận tệp xml từ TestClient, trong Client mỏng sẽ thử lưu văn bản dạng bảng vào tệp. Trong Web Client sẽ luôn đọc tệp theo các ô. Chi tiết trong trợ giúp, trong mục dành để so sánh văn bản dạng bảng với mẫu chuẩn.
Дано текст субтитров "%1 Текст"	Выводит в автовидеоинструкцию нужный текст в виде субтитров.	Đã đưa ra nội dung phụ đề "%1 Nội dung"	Đưa vào bản hướng dẫn tự động Video nội dung cần thiết dưới dạng phụ đề.
"Дано Я задаю таблицу строк ""%1 ТаблицаИсключений""
| 'Товар1' |
| 'Товар2' |"	Создает в памяти таблицу строк по переданной таблице	"Đã đưa ra Tôi đưa ra bảng các dòng ""%1 BảngLoạiTrừ""
| 'HàngHóa1' |
| 'HàngHóa2' |"	Sẽ tạo bảng các dòng theo bảng đã truyền trong bộ nhớ
Дано Я запускаю сценарий открытия TestClient или подключаю уже существующий	Подсценарий. Подключает новый TestClient если необходимо и закрывает в нём все окна	Đã đưa ra Tôi khởi động kịch bản mở TestClient hoặc đã có kết nối	Theo kịch bản. Kết nối TestClient mới nếu cần và đóng tất cả cửa sổ trong đó
Дано Я открываю навигационную ссылку "%1 e1cib/data/Справочник.Справочник1?ref=ad018df0619b11d5458a440b8c472f30"	Открывает навигационную ссылку. Аналог Shift+F11	Đã đưa ra Tôi mở tham chiếu định vị "%1 e1cib/data/Catalog.Catalog1?ref=ad018df0619b11d5458a440b8c472f30"	Mở tham chiếu dẫn hướng. Tương tự Shift+F11
Дано Я открываю основную форму обработки "%1 Обработка1"	Открывает форму обработки по её имени в метаданных	Đã đưa ra Tôi mở biểu mẫu chính của bộ xử lý "%1 BộXửLý1"	Mở biểu mẫu bộ xử lý theo tên trong metadata
Дано Я открываю основную форму отчета "%1 Отчет1"	Открывает форму отчета по его имени в метаданных	Đã đưa ra Tôi mở biểu mẫu chính của báo cáo "%1 BáoCáo1"	Mở biểu mẫu báo cáo theo tên trong metadata
Дано Я открываю основную форму регистра накопления "%1 РегистрНакопления1"	Открывает основную форму регистра накопления по его имени в метаданных	Đã đưa ra Tôi mở biểu mẫu chính của biểu ghi tích lũy "%1 BiểuGhiTíchLũy1"	Mở biểu mẫu chính của biểu ghi tích lũy theo tên trong metadata
Дано Я открываю основную форму регистра сведений "%1 РегистрСведений1"	Открывает основную форму регистра накопления по его имени в метаданных	Đã đưa ra Tôi mở biểu mẫu chính của biểu ghi thông tin "%1 BiểuGhiThôngTin1"	Mở biểu mẫu chính của biểu ghi thông tin theo tên trong metadata
Дано Я открываю основную форму списка документа "%1 Документ1"	Открывает основную форму списка документа по его имени в метаданных	Đã đưa ra Tôi mở biểu mẫu chính của danh sách chứng từ "%1 ChứngTừ1"	Mở biểu mẫu chính của danh sách chứng từ theo tên trong metadata
Дано Я открываю основную форму списка справочника "%1 Справочник1"	Открывает основную форму списка справочника по его имени в метаданных	Đã đưa ra Tôi mở biểu mẫu chính của danh sách danh mục  "%1 DanhMục1"	Mở biểu mẫu chính của danh sách danh mục theo tên trong metadata
Дано Я открыл новый сеанс TestClient или подключил уже существующий	Открывает новый TesClient в той же базе, что и TestManager или подключает уже существующий	Đã đưa ra Tôi mở phiên làm việc mới TestClient hoặc đã tồn tại kết nối	Mở TestClient mới trong chính cơ sở thông tin cùng với TestManager hoặc kết nối đã tồn tại
Дано Я открыл сеанс TestClient от имени "%1 МойПользователь" с паролем "%2 МойПароль" или подключаю уже существующий	Позволяет подключить TestClient с нужным логином и паролем в тойже базе, в которой запущен TestManager	Đã đưa ra Tôi mở phiên làm việc theo tên "%1 NgườiSửDụngCủaTôi" có mật khẩu "%2 MậtKhẩuCủaTôi" hoặc hiện đã kết nối	Cho phép kết nối TestClient với tên đăng nhập và mật khẩu cần thiết trong chính cơ sở thông tin mà trong đó đã khởi động TestManager
Если "%1 Истина" тогда	Условие. Проверяет выражение встроенного языка	Nếu  "%1 Đúng" khi đó	Điều kiện. Kiểm tra biểu thức của ngôn ngữ hệ thống
Если в окне предупреждения нет текста "%1 Нужный текст" тогда	Условие. Истинно, когда в окне предупреждения нет искомого текста.	Nếu trong cửa sổ cảnh báo không có nội dung "%1 Nội dung cần thiết" khi đó	Điều kiện. Đúng, khi mà trong cửa sổ cảnh báo không có nội dung tìm kiếm.
Если в сообщениях пользователю есть строка "%1 МояСтрока" Тогда	Условие. Проверяет, что в сообщениях пользователю содержится нужная строка или подстрока.	Nếu trong thông báo cho người sử dụng có dòng %1 DòngCủaTôi" khi đó	Điều kiện. Kiểm tra, trong các thông báo dành cho người sử dụng có dòng hoặc chỉ dẫn cần thiết.
"Если в таблице ""%1 ИмяТаблицы"" есть колонки Тогда
	| 'Колонка1' |
	| 'Колонка2' |"	Условие. Проверяет, есть ли в таблице указанные колоноки. Заголовки колонок надо передать в шаг в виде таблицы Gherkin.	"Nếu trong bảng ""%1 TênBảng"" có cột Khi đó
 | 'Cột1' |
 | 'Cột2' |"	Điều kiện. Kiểm tra, trong bảng có hoặc không có các cột đã chỉ ra. Cần chuyển tiêu đề cột vào bước dưới dạng Bảng Gherkin.
"Если в таблице ""%1 ИмяТаблицы"" есть строка Тогда
	| 'Имя колонки' |
	| 'Значение'               |"	Условие. Истинно, если в таблице есть нужная строка. Допускается передвать только одну строку для поиска. Шаг пытается сделать переход к строке и возвращает Истина если это получилось сделать.	"Nếu trong bảng ""%1 TênBảng"" có dòng Khi đó
 | 'Tên cột' |
 | 'Giá trị'               |"	Điều kiện. Đúng, nếu trong bảng có dòng cần thiết. Cho phép chuyển chỉ một dòng để tìm kiếm. Bước này thử chuyển đến dòng và trả lại giá trị Đúng nếu đã thực hiện xong điều này.
"Если в таблице ""%1 ИмяТаблицы"" есть строки Тогда
	| 'Имя колонки' |
	| 'Значение'               |"	Условие. Истинно, если в таблице есть нужная строка/строки. Поиск строк производится через получение всех строк таблицы , а затем нужные строки будут искаться в полученных строках таблицы.	"Nếu trong bảng ""%1 TênBảng"" có dòng Khi đó
 | 'Tên cột' |
 | 'Giá trị'               |"	Điều kiện. Đúng, nếu trong bảng có dòng/các dòng cần thiết. Tiến hành tìm kiếm các dòng qua việc nhận tất cả các dòng của bảng, còn sau đó sẽ tìm kiếm các dòng cần thiết trong các dòng đã nhận của bảng.
Если в таблице "%1 ИмяТаблицы" количество строк "%2 меньше или равно" "%3 2" Тогда	Условие. Проверяет количество строк в таблице	Nếu trong bảng "%1 TênBảng" số lượng dòng "%2 nhỏ hơn hoặc bằng" "%3 2" Khi đó	Điều kiện. Kiểm tra số lượng các dòng trong bảng
"Если в таблице ""%1 ИмяТаблицы"" нет строк Тогда
	| 'Имя колонки' |
	| 'Значение'               |"	Условие. Истинно, если в таблице нет нужных строк.	"Nếu trong bảng ""%1 TênBảng"" không có dòng Khi đó
 | 'Tên cột' |
 | 'Giá trị'               |"	Điều kiện. Đúng, nếu trong bảng không có các dòng cần thiết.
"Если в таблице ""%1 ИмяТаблицы"" нет строки Тогда
	| 'Имя колонки' |
	| 'Значение'               |"	Условие. Истинно, если в таблице нет нужной строки. Шаг пытается сделать переход к строке и возвращает Ложь если это получилось сделать.	"Nếu trong bảng ""%1 TênBảng"" không có dòng Khi đó
 | 'Tên cột' |
 | 'Giá trị'               |"	Điều kiện. Đúng, nếu trong bảng không có các dòng cần thiết. Bước này thử chuyển đến dòng và trả lại giá trị Sai nếu đã thưc hiện điều này.
Если в таблице "%1 ИмяТаблицы" поле "%2 ИмяПоля" имеет значение "%3 ЗначениеПоля" тогда	Условие. Проверяет значение ячейки таблицы. Имя ячейки указывается как оно отображено в заголовке.	Nếu trong bảng "%1 TênBảng" trường "%2 TênTrường" có giá trị "%3 GiáTrịCủaTrường" khi đó	Điều kiện. Kiểm tra giá trị ô của bảng. Tên ô được chỉ ra như cửa sổ được hiển thị trong tiêu đề.
Если в таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяПоля" имеет значение "%3 ЗначениеПоля" тогда	Условие. Проверяет значение ячейки таблицы. Имя ячейки указывается как оно задано в конфигураторе.	Nếu trong bảng "%1 TênBảng" trường có tên gọi "%2 TênTrường" có giá trị "%3 GiáTrịTrường" khi đó	Điều kiện. Kiểm tra giá trị ô của bảng. Tên ô được chỉ ra như cửa sổ đã xác định trong bộ thiết kế.
Если в текущем окне есть сообщения пользователю Тогда	Условие. Проверяет, что в текущем окне есть сообщения пользователю.	Nếu trong cửa sổ hiện tại có thông báo cho người sử dụng Khi đó	Điều kiện. Kiểm tra, trong cửa sổ hiện tại có thông báo cho người sử dụng.
Если Версия платформы "%1 >=" "%2 8.3.6" Тогда	Условие. Проверяет версию платформы	Nếu Phiên bản nền tảng "%1 >=" "%2 8.3.6" Khi đó	Điều kiện. Kiểm tra phiên bản nền tảng
Если имя текущей формы "%1 ИмяФормы" Тогда	Условие. Проверяет имя текущей формы	Nếu tên gọi của biểu mẫu hiện tại "%1 TênBiểuMẫu" Khi đó	Điều kiện. Kiểm tra tên biểu mẫu hiện tại
Если переменная "%1 ИмяПеременной" имеет значение "%2 ЗначениеПеременной" Тогда	Условие. Проверяет значение переменной контекста	Nếu biến "%1 TênBiến" có giá trị "%2 GiáTrịBiến" Khi đó	Điều kiện. Kiểm tra giá trị biến của ngữ cảnh
Если поле "%1 ИмяПоля" имеет значение "%2 тест" тогда	Условие. Проверяет значение поля.	Nếu trường "%1 TênTrường" có giá trị "%2 nội dung" khi đó	Điều kiện. Kiểm tra giá trị trường.
Если поле "%1 ИмяПоля" стало равно "%2 ЗначениеПоля" в течение "%3 10" секунд Тогда	Условие. Проверяет значение поля формы в течение нужного числа секунд.	Nếu trường "%1 TênTrường" trở nên bằng "%2 GiáTrịTrường" trong vòng "%3 10" giây Khi đó	Điều kiện. Kiểm tra giá trị trường của biểu mẫu với số giây cần thiết.
Если поле с именем "%1 ИмяПоля" имеет значение "%2 тест" тогда	Условие. Проверяет значение поля.	Nếu trường có tên gọi "%1 TênTrường" có giá trị "%2 nội dung" khi đó	Điều kiện. Kiểm tra giá trị trường.
Если поле с именем "%1 ИмяПоля" стало равно "%2 ЗначениеПоля" в течение "%3 10" секунд Тогда	Условие. Проверяет значение поля формы в течение нужного числа секунд. Поиск поля производится по имени.	Nếu trường có tên gọi "%1 TênTrường" trở nên bằng "%2 GiáTrịTrường" trong vòng "%3 10" giây Khi đó	Điều kiện. Kiểm tra giá trị trường của biểu mẫu với số giây cần thiết. Tìm kiếm trường theo tên gọi.
Если появилось окно с заголовком "%1 ИмяОкна" в течение "%2 10" секунд Тогда	Условие. Проверяет, что на экране появилось окно с нужным заголовком в течение нужного числа секунд	Nếu xuất hiện cửa sổ với tiêu đề "%1 TênCửaSổ" trong vòng "%2 10" giây Khi đó	Điều kiện. Kiểm tra, trên màn hình đã xuất hiện cửa sổ với tiêu đề cần thiết với số giây cần thiết
Если появилось окно с заголовком "%1 ИмяОкна" Тогда	Условие. Проверяет, что среди всех окон есть окно с нужным заголовком	Nếu xuất hiện cửa sổ với tiêu đề "%1 TênCửaSổ" Khi đó	Điều kiện. Kiểm tra, trong số tất cả các cửa sổ có cửa sổ với tiêu đề cần thiết
Если появилось окно с заголовком из таблицы Тогда	Условие. Проверяет, что есть окно с заголовком из таблицы	Nếu xuất hiện cửa sổ với tiêu đề từ bảng Khi đó	Điều kiện. Kiểm tra, có cửa sổ với tiêu đề từ bảng
Если таблица "%1 ИмяТаблицы" равна макету "%2 ИмяМакета" тогда	Условие. Истинно, если в таблица равна переданному макету.	Nếu bảng "%1 TênBảng" bằng khuôn in "%2 TênKhuônIn" khi đó	Điều kiện. Đúng, nếu bảng v bằng khuôn in.
"Если таблица ""%1 ИмяТаблицы"" равна переданной тогда
	| 'Имя колонки' |
	| 'Значение'               |"	Условие. Истинно, если в таблица равна переданной таблице Gherkin.	"Nếu bảng ""%1 TênBảng"" bằng biến khi đó
| 'Tên cột' |
| 'Giá trị'               |"	Điều kiện. Đúng, nếu bảng v bằng bảng đã truyền Gherkin.
Если текущее окно "%1 не равно" ожидаемому окну "%2 НужноеОкно" Тогда	Условие. Проверяет что текущее окно равно/неравно нужному окну, которое запомнили ранее	Nếu cửa sổ hiện tại "%1 không bằng" cửa sổ mong đợi "%2 CửaSổCầnThiết" Khi đó	Điều kiện. Kiểm tra, cửa sổ hiện tại bằng/không bằng cửa sổ cần thiết mà đã ghi nhớ trước đó
Если текущее окно имеет заголовок "%1 ИмяОкна" Тогда	Условие. Проверяет, что в данный момент активным окном является окно с нужным заголовком	Nếu cửa sổ hiện tại có tiêu đề "%1 TênCửaSổ" Khi đó	Điều kiện. Kiểm tra, vào thời điểm hiện tại, cửa sổ hiện tại là cửa sổ với tiêu đề cần thiết
Если элемент "%1 ИмяЭлементаФормы" доступен для редактирования Тогда	Условие. Проверяет доступность элемента на форме. Поиск поля производится по имени.	Nếu phần tử "%1 TênPhầnTửBiểuMẫu" được phép để soạn Khi đó	Điều kiện. Kiểm tra tính khả dụng của phần tử trên biểu mẫu. Tìm kiếm trường theo tên gọi.
Если элемент "%1 ИмяЭлементаФормы" не доступен для редактирования Тогда	Условие. Проверяет доступность элемента на форме. Поиск поля производится по имени.	Nếu phần tử "%1 TênPhầnTửBiểuMẫu" không được phép để soạn Khi đó	Điều kiện. Kiểm tra tính khả dụng của phần tử trên biểu mẫu. Tìm kiếm trường theo tên gọi.
Если элемент "%1 ИмяЭлементаФормы" не присутствует на форме Тогда	Условие. Проверяет видимость элемента на форме. Поиск поля производится по имени.	Nếu phần tử "%1 TênPhầnTửBiểuMẫu" không có trên biểu mẫu Khi đó	Điều kiện. Kiểm tra tính hiện hình của phần tử trên biểu mẫu. Tìm kiếm trường theo tên gọi.
Если элемент "%1 ИмяЭлементаФормы" присутствует на форме Тогда	Условие. Проверяет видимость элемента на форме. Поиск поля производится по имени.	Nếu phần tử "%1 TênPhầnTửBiểuMẫu" có trên biểu mẫu Khi đó	Điều kiện. Kiểm tra tính hiện hình của phần tử trên biểu mẫu. Tìm kiếm trường theo tên gọi.
Если это начальная страница Тогда	Условие. Проверяет, то текущее окно это начальная страница	Nếu đây là trang đầu tiên Khi đó	Điều kiện. Kiểm tra, cửa sổ hiện tại đây là trang đầu
Если это не начальная страница Тогда	Условие. Проверяет, то текущее окно это не начальная страница	Nếu đây không là trang đầu tiên Khi đó	Điều kiện. Kiểm tra, cửa sổ hiện tại đây không phải là trang đầu
